epoch,method,comparison,signal,axis,mean_cosine,norm_ratio,linear_cka,pairwise_geometry_corr,geometry_rows
12,C_new_checkpoint,C_E10_to_C_E12,seg_stage0,feature,0.9986182323842979,0.9952229213077152,0.805390588760329,0.7229700596020503,96
12,C_new_checkpoint,C_E10_to_C_E12,seg_stage1,feature,0.9983160649269799,0.9999948541656444,0.9649035454305097,0.9836151046046018,96
12,C_new_checkpoint,C_E10_to_C_E12,seg_stage2,feature,0.971436250508854,0.9911862446731899,0.764243479337939,0.6642768809983118,96
12,C_new_checkpoint,C_E10_to_C_E12,det_stage0,feature,0.8909246195204382,0.9988107526984126,0.961763578793296,0.9258912921921857,96
12,C_new_checkpoint,C_E10_to_C_E12,det_stage1,feature,0.7385791697666754,1.174470312122561,0.9282307330199314,0.6939270809749556,96
12,C_new_checkpoint,C_E10_to_C_E12,det_stage2,feature,0.8596389992949512,1.0676195881927069,0.7737604893404691,0.7447824026550782,96
12,C_new_checkpoint,C_E10_to_C_E12,native_weights_stage0,group_class,0.9988238578821402,1.0866355775263434,0.9991657011930348,0.9018236388990263,96
12,C_new_checkpoint,C_E10_to_C_E12,native_weights_stage1,group_class,0.997519456895177,1.1371592063837512,0.9981657269764836,0.9098372269654051,96
12,C_new_checkpoint,C_E10_to_C_E12,native_weights_stage2,group_class,0.9954808815031293,1.3782063966846934,0.9937302817523901,0.6077976993592376,96
12,C_new_checkpoint,C_E10_to_C_E12,group_margins_stage0,patch_group,0.9970426822378922,1.009088191987282,0.8855660401094212,0.9115553787083699,96
12,C_new_checkpoint,C_E10_to_C_E12,group_margins_stage1,patch_group,0.9965317222457792,1.0202198260779545,0.9540454625290506,0.986270373203823,96
12,C_new_checkpoint,C_E10_to_C_E12,group_margins_stage2,patch_group,0.9422415066372571,1.298950547177898,0.5954261901075208,0.447059975949479,96
12,C_new_checkpoint,C_E10_to_C_E12,native_margin_stage0,patch,0.9994724448659217,0.9966212944492078,0.9387526662864366,0.955857308569649,96
12,C_new_checkpoint,C_E10_to_C_E12,native_margin_stage1,patch,0.9995130825980377,1.0018487828216394,0.9879011919231477,0.9882211897288158,96
12,C_new_checkpoint,C_E10_to_C_E12,native_margin_stage2,patch,0.9556291517053839,1.0766299686464025,0.6168529167647974,0.44044544323358586,96
12,C_new_checkpoint,C_E10_to_C_E12,cir_margin_stage0,patch,0.9994714607403008,0.9963290240668815,0.9389654376378197,0.9559983827458924,96
12,C_new_checkpoint,C_E10_to_C_E12,cir_margin_stage1,patch,0.9995095634878343,1.0015253998697968,0.9878598584329105,0.9882105714794364,96
12,C_new_checkpoint,C_E10_to_C_E12,cir_margin_stage2,patch,0.9556295816323046,1.0760196502201078,0.6163877620246949,0.4404282089070967,96
14,C_new_checkpoint,C_E12_to_C_E14,seg_stage0,feature,0.9993372242252893,1.007118390069595,0.9699280620543373,0.9759584027035356,96
14,C_new_checkpoint,C_E12_to_C_E14,seg_stage1,feature,0.9981977869589036,0.996325843563878,0.9841030881181201,0.9930413451542683,96
14,C_new_checkpoint,C_E12_to_C_E14,seg_stage2,feature,0.9821912192642595,1.0001639795599029,0.8165647618644583,0.8265666464817777,96
14,C_new_checkpoint,C_E12_to_C_E14,det_stage0,feature,0.8490320633998202,0.9609226225391989,0.9071529536650582,0.8413326900609617,96
14,C_new_checkpoint,C_E12_to_C_E14,det_stage1,feature,0.791578739008527,1.4071634217052071,0.8826313814492369,0.7504440584234989,96
14,C_new_checkpoint,C_E12_to_C_E14,det_stage2,feature,0.9528015800276636,0.9813298310365312,0.9056048523925618,0.9160718775638051,96
14,C_new_checkpoint,C_E12_to_C_E14,native_weights_stage0,group_class,0.992697573588716,1.030236440687114,0.9992653182562441,0.9217223965372687,96
14,C_new_checkpoint,C_E12_to_C_E14,native_weights_stage1,group_class,0.9890344124186312,1.0391269732714667,0.999018819680089,0.950531532195777,96
14,C_new_checkpoint,C_E12_to_C_E14,native_weights_stage2,group_class,0.9827199265684755,1.0450546850180598,0.9994019504352933,0.8702505660515482,96
14,C_new_checkpoint,C_E12_to_C_E14,group_margins_stage0,patch_group,0.9983265339903771,1.0233890868427145,0.8750636896046681,0.9181778138966765,96
14,C_new_checkpoint,C_E12_to_C_E14,group_margins_stage1,patch_group,0.9971763323239798,1.0057908618780538,0.9654745086481548,0.9861500663416874,96
14,C_new_checkpoint,C_E12_to_C_E14,group_margins_stage2,patch_group,0.9674038389923723,1.0223294160291168,0.7474414794222671,0.8942209979951796,96
14,C_new_checkpoint,C_E12_to_C_E14,native_margin_stage0,patch,0.9993476438444718,1.0069984090939015,0.9345687784598499,0.9503278375323833,96
14,C_new_checkpoint,C_E12_to_C_E14,native_margin_stage1,patch,0.9993958029779174,0.9966960962496673,0.9859728102760562,0.9891232910828532,96
14,C_new_checkpoint,C_E12_to_C_E14,native_margin_stage2,patch,0.9818907740219661,0.9772315917574549,0.8066745351431622,0.8951736566569785,96
14,C_new_checkpoint,C_E12_to_C_E14,cir_margin_stage0,patch,0.9993441622484575,1.0069918092587844,0.9336593592263599,0.9500804348097365,96
14,C_new_checkpoint,C_E12_to_C_E14,cir_margin_stage1,patch,0.9993909763518806,0.9971045519069844,0.9858550591596367,0.9891039551209758,96
14,C_new_checkpoint,C_E12_to_C_E14,cir_margin_stage2,patch,0.981890314761693,0.9773546275727899,0.8062822148704648,0.8951815360236289,96
