epoch,method,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,recomputed,source,checkpoint_sha256,evaluation_seconds
10,P0,96,0.9718331156740962,0.4949767817164079,0.9691840277777778,0.9739874960951798,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
10,P05,96,0.9713765273849103,0.4949581111947311,0.9691840277777778,0.9739874960951798,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
10,C0,96,0.9275117531454271,0.4626210940744351,0.9592013888888888,0.9671114455979801,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
10,C05,96,0.927392559874315,0.4627000914353844,0.9592013888888888,0.9671114455979801,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
12,P0,96,0.9605990320026057,0.4573300920889267,0.9861111111111112,0.986964447863963,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
12,P05,96,0.9603505562256583,0.4573106421731863,0.9861111111111112,0.986964447863963,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
12,C0,96,0.9372797640037236,0.4595460803652942,0.9670138888888888,0.9730585310338221,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
12,C05,96,0.9387040172066397,0.45962888427739906,0.9670138888888888,0.9730585310338221,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
14,P0,96,0.961153083092938,0.4756023564118824,0.9852430555555556,0.986690049743004,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
14,P05,96,0.961102870739338,0.4756070875659294,0.9852430555555556,0.986690049743004,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
14,C0,96,0.9378951387732162,0.513409215690459,0.9822048611111112,0.9844964527264322,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
14,C05,96,0.9392449564117534,0.5135118723113324,0.9822048611111112,0.9844964527264322,False,frozen_SOURCE_BOUNDED_METRICS.csv,,
10,C0,96,0.9363427821187615,0.5241297136356572,0.9565972222222222,0.9621669207389834,True,new_CIR_checkpoint,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,21.915420001838356
10,C05,96,0.935898332156053,0.5240725148188079,0.9565972222222222,0.9621669207389834,True,new_CIR_checkpoint,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,23.37900390289724
12,C0,96,0.9622300274477298,0.5400545272313739,0.94140625,0.9594091520679859,True,new_CIR_checkpoint,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,20.882996262051165
12,C05,96,0.9625702423608328,0.5401075925385356,0.94140625,0.9594091520679859,True,new_CIR_checkpoint,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,22.389985404908657
14,C0,96,0.9585668986124577,0.5402163539878451,0.9769965277777778,0.981158068657559,True,new_CIR_checkpoint,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,20.732928793877363
14,C05,96,0.9588193757406576,0.5401751577807383,0.9769965277777778,0.981158068657559,True,new_CIR_checkpoint,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,22.27516647009179
