epoch,method,split,category,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,source
10,C05,seen_categories,pcb2,8,0.7538358675372674,0.057399930583650324,0.875,0.8875,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,C05,seen_categories,pcb4,8,0.9940871678574814,0.41849686455298535,1.0,1.0,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
12,C0,heldout_categories,__macro__,32,0.9925213781703818,0.4120233943219775,0.98828125,0.9891493055555556,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,heldout_categories,cashew,8,0.9997674388340383,0.8790192670643657,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,heldout_categories,macaroni2,8,0.9447047051841763,0.3948888357313267,0.9375,0.95,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,heldout_categories,pcb3,8,0.9963991627918855,0.5465407611639823,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,heldout_categories,pipe_fryum,8,0.9932106464434401,0.3821958119038393,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,__macro__,64,0.9551576620934084,0.5632080245354404,0.9375,0.9557351224861799,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,candle,8,0.9990482544235622,0.5899275289327405,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,capsules,8,0.9996939407242316,0.9370712590469351,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,C0,seen_categories,chewinggum,8,0.998892375190202,0.8747357688461515,1.0,1.0,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
