threshold,coverage,opposite_sign_rate,opposite_sign_errors,acted_patches
0.33334827423095703,0.5097267430192399,0.11369821790998477,171534,1508678
0.33668153285980223,0.5096274112450325,0.1136859049154592,171482,1508384
0.34001479148864744,0.5093388760913825,0.11363687621473537,171311,1507530
0.3433480501174927,0.5088537045683832,0.1135533373082955,171022,1506094
0.3466813087463379,0.5081989257302406,0.11343770194049022,170628,1504156
0.3500145673751831,0.5073478483859263,0.11328237117226067,170109,1501637
0.3533478260040283,0.506255198869645,0.11310909014464066,169483,1498403
0.3566810846328735,0.5050598389473805,0.1129219026467273,168803,1494865
0.36001434326171877,0.5036847358146456,0.11269557517968601,168006,1490795
0.363347601890564,0.5020836022161121,0.11245673110569185,167117,1486056
0.3666808605194092,0.500308469081127,0.11221014018079392,166161,1480802
0.3700141191482544,0.4983360238504374,0.11192612158669635,165087,1474964
0.3733473777770996,0.49625005659208227,0.11167968191504572,164034,1468790
0.37668063640594485,0.4939127191296104,0.11140783871638557,162864,1461872
0.38001389503479005,0.4914105044364814,0.11109919379346096,161590,1454466
0.38334715366363525,0.4887011796154982,0.11075760121179691,160205,1446447
0.38668041229248046,0.48586177747114817,0.11044523703394127,158825,1438043
0.39001367092132566,0.48278215460754154,0.11012941169883997,157367,1428928
0.3933469295501709,0.4795292079338383,0.10984147114774889,155898,1419300
0.3966801881790161,0.47605394728928996,0.10954610812951468,154352,1409014
0.40001344680786133,0.4724202288144584,0.10924800054925446,152757,1398259
0.40334670543670653,0.4685868332016793,0.10896646004471802,151127,1386913
0.40667996406555174,0.4644655781616054,0.10872289892814146,149463,1374715
0.410013222694397,0.4600851820643305,0.10852359096750505,147782,1361750
0.4133464813232422,0.455549031042193,0.108315953732189,146045,1348324
0.4166797399520874,0.4507425894779946,0.1081944504826482,144342,1334098
0.4200129985809326,0.4456705874562214,0.10811577107178759,142614,1319086
0.4233462572097778,0.44039992188603333,0.10806023233084207,140855,1303486
0.42667951583862307,0.4348343017618213,0.10809681021093027,139122,1287013
0.4300127744674683,0.4290274473288199,0.10827388949352115,137489,1269826
0.4333460330963135,0.4228158328090823,0.10846136573757773,135733,1251441
0.4366792917251587,0.4163332520209286,0.10876329068519965,134024,1232254
0.4400125503540039,0.4095209167714606,0.10918157135066592,132338,1212091
0.44334580898284914,0.40233558057394847,0.10973829885860548,130679,1190824
0.44667906761169435,0.3948046103457759,0.11033311824901972,128928,1168534
0.45001232624053955,0.3867867792787162,0.11117283934441122,127271,1144803
0.45334558486938475,0.37827668156192795,0.11216712887912363,125584,1119615
0.45667884349822996,0.36942804494120846,0.11338134760042984,123974,1093425
0.4600121021270752,0.36018512199225755,0.11474877775151304,122330,1066068
0.4633453607559204,0.35069386960778814,0.11634180366405389,120760,1037976
0.4666786193847656,0.34090968984836023,0.11812982338255947,119195,1009017
0.4700118780136109,0.33110557616145536,0.12000624490433154,117606,979999
0.47334513664245603,0.3212666625672601,0.1221513169933472,116151,950878
0.4766783952713013,0.311434844099794,0.12439763153384004,114667,921778
0.4800116539001465,0.3018043920861632,0.12675729955198517,113229,893274
0.4833449125289917,0.29241956660263035,0.1291512275605808,111780,865497
0.48667817115783696,0.28308001478489264,0.13167926631608848,110328,837854
0.4900114297866821,0.27397257497014976,0.13437448359719717,108964,810898
0.49334468841552737,0.2649800086357828,0.13716112316743212,107573,784282
0.49667794704437257,0.2562276630206725,0.14010709712979164,106254,758377
0.5000112056732178,0.24763445096220055,0.1431325491886818,104908,732943
