epoch,method,cohort,stat,value,n
12,C0,normal,p10,2.473700355665187e-09,12879552
12,C0,normal,p50,2.7368367572222496e-09,12879552
12,C0,normal,p90,5.552879489556517e-09,12879552
12,C0,normal,p95,8.889636582409821e-09,12879552
12,C0,normal,p99,4.129184912216035e-08,12879552
12,C0,normal,p99.5,7.264148855767656e-08,12879552
12,C0,normal,p99.9,1.7543405461139642e-07,12879552
12,C0,anomaly,p10,3.5343403759213743e-09,12879552
12,C0,anomaly,p50,8.641476867410347e-09,12879552
12,C0,anomaly,p90,1.8438826430156054e-07,12879552
12,C0,anomaly,p95,9.357945714327791e-07,12879552
12,C0,anomaly,p99,0.00020752616823301775,12879552
12,C0,anomaly,p99.5,0.0027242776262568482,12879552
12,C0,anomaly,p99.9,0.3194576301275323,12879552
12,C0,all,top_precision_0.001,0.5792926744050623,25759
12,C0,all,top_precision_0.005,0.22951023323705705,128796
12,C0,all,top_precision_0.01,0.1257419707986692,257591
12,C0,all,top_precision_0.02,0.06787310115648451,515182
12,C0,all,top_precision_0.05,0.027707489780310648,1287955
12,C05,normal,p10,2.5757664889880516e-09,12879552
12,C05,normal,p50,2.8288398290499117e-09,12879552
12,C05,normal,p90,5.6814391413695415e-09,12879552
12,C05,normal,p95,9.056880578839355e-09,12879552
12,C05,normal,p99,4.154761054309134e-08,12879552
12,C05,normal,p99.5,7.285117629152046e-08,12879552
12,C05,normal,p99.9,1.7557023345204529e-07,12879552
12,C05,anomaly,p10,3.619259336673508e-09,12879552
12,C05,anomaly,p50,8.81058692669967e-09,12879552
12,C05,anomaly,p90,1.8721571564128687e-07,12879552
12,C05,anomaly,p95,9.452714579083416e-07,12879552
12,C05,anomaly,p99,0.00020818990873522187,12879552
12,C05,anomaly,p99.5,0.002731711290543781,12879552
12,C05,anomaly,p99.9,0.31989783504603947,12879552
12,C05,all,top_precision_0.001,0.57933149578788,25759
12,C05,all,top_precision_0.005,0.22951023323705705,128796
12,C05,all,top_precision_0.01,0.1257574992915125,257591
12,C05,all,top_precision_0.02,0.06787310115648451,515182
12,C05,all,top_precision_0.05,0.027708266204952814,1287955
14,P0,normal,p10,2.5182691487657394e-09,12879552
14,P0,normal,p50,2.7118325363062468e-09,12879552
14,P0,normal,p90,5.026071114855313e-09,12879552
