epoch,component,parameter_count,l2_distance,normalized_l2,cosine_flattened,relative_update_magnitude,max_abs_delta,common_initialization_reference
10,image_adapter,14015247,169.36961364746094,0.7259257103486433,0.7235782146453857,0.7660206515857352,0.8545984625816345,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:det_layer_norms,4608,3.422370672225952,0.07397019863128662,0.9973412156105042,0.07323500514030457,0.2789236903190613,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:det_proj,1379328,60.341793060302734,1.0976917743682861,0.3925812244415283,1.1067875623703003,0.5267764925956726,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:dfg_raw_gamma,3,0.0,0.0,0.0,0.0,0.0,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:dfg_ss2d_branches,3550476,20.88780403137207,0.2338765263557434,0.9735817909240723,0.2284407764673233,0.05483120679855347,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:lora_adapters,6514176,118.55760192871094,0.7877453565597534,0.6742183566093445,0.8309981226921082,0.4620775878429413,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:m_i_w,3072,4.23980188369751,0.39041441679000854,0.9269077777862549,0.3773852586746216,0.37681594491004944,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:seg_layer_norms,4608,2.6323885917663574,0.05564499646425247,0.998460054397583,0.055491428822278976,0.2469272017478943,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:seg_proj,1379328,51.30262756347656,0.9804390668869019,0.5090315341949463,1.0020155906677246,0.3489490747451782,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:vision_text_k,589824,59.17532730102539,0.8118704557418823,0.6385012269020081,0.905105710029602,0.8545984625816345,UNAVAILABLE_NO_INIT_CHECKPOINT
10,image_adapter:vision_text_q,589824,66.23175811767578,0.7292538285255432,0.6978597640991211,0.8733155131340027,0.6679009199142456,UNAVAILABLE_NO_INIT_CHECKPOINT
10,text_adapter,80640,6.483116626739502,0.07693146042971634,0.9970502853393555,0.07675470160957647,0.36703383922576904,UNAVAILABLE_NO_INIT_CHECKPOINT
10,text_adapter:layer_norms,4608,4.330854415893555,0.0902726799249649,0.9959601759910583,0.08980363607406616,0.36703383922576904,UNAVAILABLE_NO_INIT_CHECKPOINT
10,text_adapter:lora_adapters,73728,4.454593658447266,0.06537128984928131,0.9978634119033813,0.06538013368844986,0.10316892713308334,UNAVAILABLE_NO_INIT_CHECKPOINT
10,text_adapter:m_t_w,2304,1.8523250818252563,0.1480351984500885,0.9898431301116943,0.14356699585914612,0.21240542829036713,UNAVAILABLE_NO_INIT_CHECKPOINT
