epoch,method,branch,image_auroc,image_ap,mean_score,n_images
10,P0,classification_only,0.96875,0.9734244330321167,0.5338115644020339,96
10,P0,pixel_max_only,0.9379340277777778,0.9582585588803931,0.10653778165578842,96
10,P0,fused,0.9691840277777778,0.9739874960951798,0.4910841869213985,96
10,C0,classification_only,0.9592013888888888,0.9671114455979801,0.5048416391946375,96
10,C0,pixel_max_only,0.9453125,0.9627596330784756,0.09556537121534348,96
10,C0,fused,0.9592013888888888,0.9671114455979801,0.46391401260397114,96
12,P0,classification_only,0.984375,0.9852020326281784,0.5490867686457932,96
12,P0,pixel_max_only,0.9444444444444444,0.9600429198242111,0.16623179614543915,96
12,P0,fused,0.9861111111111112,0.986964447863963,0.5108012714349578,96
12,C0,classification_only,0.9670138888888888,0.9730585310338221,0.5163983108165363,96
12,C0,pixel_max_only,0.9652777777777778,0.9730000552194082,0.13053546845912933,96
12,C0,fused,0.9670138888888888,0.9730585310338221,0.4778120272095772,96
14,P0,classification_only,0.9852430555555556,0.986690049743004,0.5270083599413434,96
14,P0,pixel_max_only,0.9440104166666666,0.9589561854228051,0.11467402428388596,96
14,P0,fused,0.9852430555555556,0.986690049743004,0.48577492621924184,96
14,C0,classification_only,0.9822048611111112,0.9844964527264322,0.48783868830651045,96
14,C0,pixel_max_only,0.9622395833333334,0.9719498470829494,0.1335028111934662,96
14,C0,fused,0.9822048611111112,0.9844964527264322,0.45240510095384684,96
16,P0,classification_only,0.9908854166666666,0.9918278100290037,0.5675318329595029,96
16,P0,pixel_max_only,0.9600694444444444,0.975200561031464,0.13215197622776031,96
16,P0,fused,0.9908854166666666,0.9918278100290037,0.5239938466542801,96
16,C0,classification_only,0.9921875,0.9932369608741389,0.5632717817400893,96
16,C0,pixel_max_only,0.9704861111111112,0.976919571695793,0.1488034874200821,96
16,C0,fused,0.9921875,0.9932369608741389,0.5218249527091868,96
18,P0,classification_only,0.9704861111111112,0.9763409736229376,0.4961514229265352,96
18,P0,pixel_max_only,0.9557291666666666,0.9715862633405902,0.12762080132961273,96
18,P0,fused,0.9709201388888888,0.9768491037042383,0.4592983609112646,96
18,C0,classification_only,0.9939236111111112,0.9946653189577717,0.5436132699251175,96
18,C0,pixel_max_only,0.9743923611111112,0.9783942483953982,0.17777127027511597,96
18,C0,fused,0.9939236111111112,0.9946653189577717,0.507029069215318,96
20,P0,classification_only,0.9830729166666666,0.9853144415074849,0.4968484826385975,96
20,P0,pixel_max_only,0.9774305555555556,0.9826744301179745,0.1260991245508194,96
20,P0,fused,0.9839409722222222,0.9862724224800008,0.45977354615863136,96
20,C0,classification_only,0.9978298611111112,0.9980345911949685,0.5584216291705767,96
20,C0,pixel_max_only,0.9817708333333334,0.9874060596207335,0.11740151047706604,96
20,C0,fused,0.9978298611111112,0.9980345911949685,0.5143196171547143,96
