epoch,signal,axis,mean_cosine,norm_ratio_c,linear_cka,pairwise_geometry_corr,mean_abs_delta,drift_level,n_images
10,seg_stage0,feature,0.8939092351471801,0.9996982687961903,0.32104992938904,0.07765326226273982,0.012720344027411599,HIGH,96
10,seg_stage0,patch_subsample,0.8657891052233513,0.9999999999475798,0.5337794760588007,0.7327147187974324,0.014429386108496959,HIGH,96
10,det_stage0,feature,0.37255683264032813,0.9604189625528745,0.7376897333278989,0.30356825772182244,0.016046583308662626,HIGH,96
10,native_dfg_weights_stage0,group_class,0.9937695581446759,1.1632927342616524,0.4712497368858756,0.43312366728953616,0.1546659696517357,MODERATE,96
10,group_margin_stage0,patch_group,0.9949950417545959,1.0238477265225678,0.5844582263927918,0.595602991860542,0.09772977564568369,MODERATE,96
10,native_fused_margin_stage0,patch,0.9979043594310409,0.998821995279728,0.6882182350619263,0.6438615915122256,0.42705394072380026,LOW,96
10,transported_margin_stage0,patch,0.9979029767651267,0.9995143760501142,0.6861329920084416,0.6441575163836758,0.4307611148994285,LOW,96
10,seg_stage1,feature,0.8780036427640706,0.9922727402020525,0.32257754047917175,0.2496253311523479,0.01384415474267239,HIGH,96
10,seg_stage1,patch_subsample,0.8632204614266072,1.000000000201639,0.4467807700567518,0.8174984874857932,0.014706398227188226,HIGH,96
10,det_stage1,feature,0.724684090777958,0.879723178773227,0.9207343726785293,0.7799914560156166,0.009262005722138207,HIGH,96
10,native_dfg_weights_stage1,group_class,0.9904264350889461,1.9251202980208169,0.307349915742243,0.4976899718977647,0.20678278024934116,MODERATE,96
10,group_margin_stage1,patch_group,0.9944052267474361,1.0058869496215752,0.7297314676461345,0.877635540615465,0.10677221557467959,MODERATE,96
10,native_fused_margin_stage1,patch,0.9978787234868417,0.9939046497484555,0.7828847813797779,0.8857823707357867,0.2805803851890178,LOW,96
10,transported_margin_stage1,patch,0.9978803580207852,0.9940868005527697,0.7836745684542991,0.8860673060136406,0.28254588928684155,LOW,96
10,seg_stage2,feature,0.8074385730463972,1.010654391440184,0.5770593007418328,0.4564812121381077,0.016441238897623188,HIGH,96
10,seg_stage2,patch_subsample,0.7728639890107322,0.9999999990424415,0.197919175187077,0.5346255807421945,0.018070673665800945,HIGH,96
10,det_stage2,feature,0.690388964205695,1.0760716292171464,0.7590271242901471,0.7000359787339275,0.018753404365770273,HIGH,96
10,native_dfg_weights_stage2,group_class,0.9104208937969867,1.7940600189262679,0.6480131412808325,0.17040260970830945,0.12846794166964376,HIGH,96
10,group_margin_stage2,patch_group,0.963193038068184,1.0057356379120541,0.17677286535795506,0.4562213220362265,0.19619647902290102,MODERATE,96
10,native_fused_margin_stage2,patch,0.9721927899874085,0.9353843194330932,0.45929036811732943,0.4589292204390516,2.0153093456990456,MODERATE,96
10,transported_margin_stage2,patch,0.9721936595198252,0.9351087890279332,0.45799425261484883,0.45896991257526726,2.023234785531685,MODERATE,96
10,text_normal_abnormal_groups,feature,0.9027301931338721,0.9999999998290193,0.9961106675485102,0.9791944537935027,0.01205857855873277,HIGH,96
12,seg_stage0,feature,0.8963434564834296,0.9939609706159623,0.29403789705535965,0.026160316361285043,0.012448790670385537,HIGH,96
12,seg_stage0,patch_subsample,0.8609006610146422,0.9999999992465183,0.6535961993970033,0.8306369720964771,0.014604508297421806,HIGH,96
12,det_stage0,feature,0.5725888920228223,1.0527037569326578,0.833407115078473,0.5242678990150915,0.011434002850985274,HIGH,96
12,native_dfg_weights_stage0,group_class,0.9956344518306438,1.0940199144414413,0.4270182626014512,0.575747629554082,0.15686078391445335,LOW,96
12,group_margin_stage0,patch_group,0.9953279674363741,1.0232716055639635,0.5640751023067947,0.8203621495555857,0.0946530726602787,LOW,96
12,native_fused_margin_stage0,patch,0.9975833442119283,1.0024973895671907,0.8318690350892287,0.820660407308918,0.48492042330111085,LOW,96
12,transported_margin_stage0,patch,0.9975848504702313,1.0030965434921564,0.8313931166874576,0.8211845742995787,0.4834843299138814,LOW,96
12,seg_stage1,feature,0.8847321213724224,0.9945698802029082,0.713410403545382,0.7684003756252705,0.013424311040105878,HIGH,96
12,seg_stage1,patch_subsample,0.8675107265202485,0.9999999992994785,0.5768963470349313,0.9105677975057661,0.014440583388840121,HIGH,96
