epoch,pair,metric,value
18,C05_minus_C0,anomaly_mean_probability_delta,4.02286603647645e-06
20,P05_minus_P0,mean_abs_probability_delta,5.469777266679524e-07
20,P05_minus_P0,max_abs_probability_delta,0.003962606191635132
20,P05_minus_P0,mean_probability_delta,5.457091304901907e-07
20,P05_minus_P0,pearson_probability,0.9999995435203973
20,P05_minus_P0,top1pct_overlap,0.9994176815183761
20,P05_minus_P0,native_margin_mean,-18.75762367248535
20,P05_minus_P0,transported_margin_mean,-18.7283935546875
20,P05_minus_P0,normal_mean_probability_delta,1.213522745550377e-10
20,P05_minus_P0,anomaly_mean_probability_delta,1.0912969087058262e-06
20,C05_minus_C0,mean_abs_probability_delta,3.4592305889926766e-07
20,C05_minus_C0,max_abs_probability_delta,0.0019797682762145996
20,C05_minus_C0,mean_probability_delta,3.2292330234939473e-07
20,C05_minus_C0,pearson_probability,0.9999997405637099
20,C05_minus_C0,top1pct_overlap,0.9992585144667322
20,C05_minus_C0,native_margin_mean,-18.872255325317383
20,C05_minus_C0,transported_margin_mean,-18.84005355834961
20,C05_minus_C0,normal_mean_probability_delta,1.3895300977874458e-10
20,C05_minus_C0,anomaly_mean_probability_delta,6.457076516890105e-07
