epoch,method,split,category,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap
10,P0,heldout_categories,__macro__,32,0.9944454913883898,0.39978793902845966,0.953125,0.9649627976190477
10,P0,heldout_categories,cashew,8,0.9997748661360895,0.8619975213149698,1.0,1.0
10,P0,heldout_categories,macaroni2,8,0.9915615073189656,0.07882819160934702,0.8125,0.8928571428571428
10,P0,heldout_categories,pcb3,8,0.9900242352084128,0.4908657255446978,1.0,1.0
10,P0,heldout_categories,pipe_fryum,8,0.9978491677387796,0.47152812746664624,1.0,1.0
10,P0,seen_categories,__macro__,64,0.9663762763001479,0.5144042936897713,0.9794921875,0.9818517212687818
10,P0,seen_categories,candle,8,0.9987066291282148,0.6202736053124965,1.0,1.0
10,P0,seen_categories,capsules,8,0.9997066857106994,0.9394903881270074,1.0,1.0
10,P0,seen_categories,chewinggum,8,0.9987621036923963,0.862703652078491,1.0,1.0
10,P0,seen_categories,fryum,8,0.9693626326309323,0.06708441300713558,1.0,1.0
10,P0,seen_categories,macaroni1,8,0.9994473646099109,0.3035746070651103,1.0,1.0
10,P0,seen_categories,pcb1,8,0.9080684769270155,0.19613410045955795,1.0,1.0
10,P0,seen_categories,pcb2,8,0.8174466958220808,0.041369320534164394,0.875,0.8875
10,P0,seen_categories,pcb4,8,0.9907864472104868,0.24521960637911724,1.0,1.0
10,P05,heldout_categories,__macro__,32,0.994399619706976,0.3996568691672931,0.953125,0.9649627976190477
10,P05,heldout_categories,cashew,8,0.9997748464515988,0.8618061012811795,1.0,1.0
10,P05,heldout_categories,macaroni2,8,0.9915803148019219,0.07866212175212538,0.8125,0.8928571428571428
10,P05,heldout_categories,pcb3,8,0.989908462698209,0.4906440509107898,1.0,1.0
10,P05,heldout_categories,pipe_fryum,8,0.9978478450145594,0.47161371179665995,1.0,1.0
10,P05,seen_categories,__macro__,64,0.9659276905360384,0.5144080848877536,0.9794921875,0.9818517212687818
10,P05,seen_categories,candle,8,0.998705831621205,0.620249291379807,1.0,1.0
10,P05,seen_categories,capsules,8,0.9997065183095383,0.9394631480459926,1.0,1.0
10,P05,seen_categories,chewinggum,8,0.9987600448832424,0.8626859637797427,1.0,1.0
10,P05,seen_categories,fryum,8,0.9693554085501922,0.06711793837871699,1.0,1.0
10,P05,seen_categories,macaroni1,8,0.999448837719688,0.3038808780315553,1.0,1.0
10,P05,seen_categories,pcb1,8,0.9053209578253302,0.1960526923326873,1.0,1.0
10,P05,seen_categories,pcb2,8,0.8154252402218732,0.04130848103234729,0.875,0.8875
10,P05,seen_categories,pcb4,8,0.9907816711831767,0.2452109257814263,1.0,1.0
10,C0,heldout_categories,__macro__,32,0.9628641517330295,0.3463677180662811,0.96484375,0.9719611528822056
10,C0,heldout_categories,cashew,8,0.9998062485260066,0.8707458536018646,1.0,1.0
10,C0,heldout_categories,macaroni2,8,0.9689635906188683,0.07975894593651808,0.875,0.9166666666666666
10,C0,heldout_categories,pcb3,8,0.9275035710726404,0.48135758295690023,1.0,1.0
10,C0,heldout_categories,pipe_fryum,8,0.9970363280002645,0.4570305725882528,1.0,1.0
10,C0,seen_categories,__macro__,64,0.9189620140587598,0.48654002822028314,0.9609375,0.9686598365660151
10,C0,seen_categories,candle,8,0.9980309137263118,0.3665125180936458,1.0,1.0
10,C0,seen_categories,capsules,8,0.9994233055939243,0.9136354115998737,1.0,1.0
10,C0,seen_categories,chewinggum,8,0.9951749011833009,0.8683545897430758,1.0,1.0
10,C0,seen_categories,fryum,8,0.9452823991027779,0.08948586978291863,1.0,1.0
10,C0,seen_categories,macaroni1,8,0.9994487409494006,0.24097149496987477,1.0,1.0
10,C0,seen_categories,pcb1,8,0.8495785450445307,0.12299642305252804,1.0,1.0
10,C0,seen_categories,pcb2,8,0.6982678425898362,0.06250201220928438,1.0,1.0
10,C0,seen_categories,pcb4,8,0.9828821215347259,0.3723525524769169,1.0,1.0
10,C05,heldout_categories,__macro__,32,0.9623072012752586,0.3464247899407333,0.96484375,0.9719611528822056
10,C05,heldout_categories,cashew,8,0.9998064005340184,0.8706383064592367,1.0,1.0
10,C05,heldout_categories,macaroni2,8,0.9683080405172945,0.07965612921837338,0.875,0.9166666666666666
10,C05,heldout_categories,pcb3,8,0.9274583585678043,0.48145406503394467,1.0,1.0
10,C05,heldout_categories,pipe_fryum,8,0.9970329087208298,0.45723671897706275,1.0,1.0
10,C05,seen_categories,__macro__,64,0.9190423830349115,0.4866217688423983,0.9609375,0.9686598365660151
10,C05,seen_categories,candle,8,0.9980300470805894,0.36645519687302924,1.0,1.0
10,C05,seen_categories,capsules,8,0.9994231817766495,0.9136751042217399,1.0,1.0
10,C05,seen_categories,chewinggum,8,0.9951467381188543,0.8683600992527628,1.0,1.0
10,C05,seen_categories,fryum,8,0.9449843103040779,0.08945166406303734,1.0,1.0
10,C05,seen_categories,macaroni1,8,0.9994472948986138,0.24066694563916197,1.0,1.0
10,C05,seen_categories,pcb1,8,0.8579166646684262,0.12291970334825193,1.0,1.0
10,C05,seen_categories,pcb2,8,0.6973580341207,0.062485378090860424,1.0,1.0
10,C05,seen_categories,pcb4,8,0.9828645583482799,0.3723871919940956,1.0,1.0
12,P0,heldout_categories,__macro__,32,0.9927450149563357,0.3659455318273446,0.9609375,0.959540755404726
12,P0,heldout_categories,cashew,8,0.9994777379658085,0.8562586804273105,1.0,1.0
12,P0,heldout_categories,macaroni2,8,0.9924892553039182,0.12298406497368095,1.0,1.0
12,P0,heldout_categories,pcb3,8,0.9921489702006305,0.49770129865324547,1.0,1.0
12,P0,heldout_categories,pipe_fryum,8,0.9976303956881968,0.45794417403674065,1.0,1.0
12,P0,seen_categories,__macro__,64,0.9507760366757051,0.4798643862174808,0.99609375,0.9965277777777778
12,P0,seen_categories,candle,8,0.9991562699949664,0.6640078390779491,1.0,1.0
12,P0,seen_categories,capsules,8,0.9997128283676353,0.9439099290910544,1.0,1.0
12,P0,seen_categories,chewinggum,8,0.9982743646975516,0.8650126554151628,1.0,1.0
12,P0,seen_categories,fryum,8,0.9631303835402366,0.03742299278383768,1.0,1.0
12,P0,seen_categories,macaroni1,8,0.9994503842097777,0.31936128805777947,1.0,1.0
12,P0,seen_categories,pcb1,8,0.9138215613968955,0.19481048897766146,1.0,1.0
12,P0,seen_categories,pcb2,8,0.7994367834960212,0.04160517307184557,1.0,1.0
12,P0,seen_categories,pcb4,8,0.9913044959312798,0.3570328585243557,1.0,1.0
12,P05,heldout_categories,__macro__,32,0.9927409128558585,0.3658948514709707,0.9609375,0.959540755404726
12,P05,heldout_categories,cashew,8,0.9994817057967263,0.8561672783036486,1.0,1.0
12,P05,heldout_categories,macaroni2,8,0.9924509759772658,0.12288063564052286,1.0,1.0
12,P05,heldout_categories,pcb3,8,0.9921238094212645,0.49762133660242536,1.0,1.0
12,P05,heldout_categories,pipe_fryum,8,0.9976372177675928,0.4580757039308467,1.0,1.0
12,P05,seen_categories,__macro__,64,0.950540994993134,0.4798515600865467,0.99609375,0.9965277777777778
12,P05,seen_categories,candle,8,0.9991561907858661,0.6640026139464555,1.0,1.0
12,P05,seen_categories,capsules,8,0.9997125643987592,0.9438686010752723,1.0,1.0
12,P05,seen_categories,chewinggum,8,0.9982761796079597,0.8650353716892883,1.0,1.0
12,P05,seen_categories,fryum,8,0.9631295018109203,0.03747087350718984,1.0,1.0
12,P05,seen_categories,macaroni1,8,0.999451253766483,0.32041683834073115,1.0,1.0
12,P05,seen_categories,pcb1,8,0.9135113032763813,0.194762712170979,1.0,1.0
12,P05,seen_categories,pcb2,8,0.7986483482855863,0.04160195006739759,1.0,1.0
12,P05,seen_categories,pcb4,8,0.9913017784608483,0.3570210960789835,1.0,1.0
12,C0,heldout_categories,__macro__,32,0.9708286789714116,0.3698050677461347,0.96875,0.9756016042780749
12,C0,heldout_categories,cashew,8,0.999824445900333,0.8816105954247251,1.0,1.0
12,C0,heldout_categories,macaroni2,8,0.9923803514290678,0.286419471365672,0.9375,0.95
12,C0,heldout_categories,pcb3,8,0.9338637234061833,0.5000650116522418,1.0,1.0
12,C0,heldout_categories,pipe_fryum,8,0.9932793310571068,0.36713465154656705,1.0,1.0
12,C0,seen_categories,__macro__,64,0.9288456433010264,0.48180488923868797,0.9716796875,0.976494484287968
12,C0,seen_categories,candle,8,0.9990701645408068,0.5422112343849177,1.0,1.0
12,C0,seen_categories,capsules,8,0.9996338703148779,0.9421566617076945,1.0,1.0
12,C0,seen_categories,chewinggum,8,0.9957548310816943,0.8820042860438616,1.0,1.0
12,C0,seen_categories,fryum,8,0.993894735967505,0.11891583903182362,1.0,1.0
12,C0,seen_categories,macaroni1,8,0.9994053782295024,0.2836976266322484,1.0,1.0
12,C0,seen_categories,pcb1,8,0.8902755658954475,0.17828737445546242,1.0,1.0
12,C0,seen_categories,pcb2,8,0.7432785886017708,0.06462015981602598,1.0,1.0
12,C0,seen_categories,pcb4,8,0.9909792910809982,0.35363716739640433,1.0,1.0
12,C05,heldout_categories,__macro__,32,0.9703778800503353,0.3698576127071649,0.96875,0.9756016042780749
12,C05,heldout_categories,cashew,8,0.999824472614999,0.881537310460912,1.0,1.0
12,C05,heldout_categories,macaroni2,8,0.992381652734736,0.28593486060340945,0.9375,0.95
12,C05,heldout_categories,pcb3,8,0.9336293013931477,0.5000492862952047,1.0,1.0
12,C05,heldout_categories,pipe_fryum,8,0.9932389407131469,0.36755836494462013,1.0,1.0
12,C05,seen_categories,__macro__,64,0.9304972988079899,0.48188545164859187,0.9716796875,0.976494484287968
