epoch,raw_cls_loss,weighted_cls_loss,raw_seg_loss,weighted_seg_loss,kg_loss,weighted_kg_loss,k_loss,weighted_k_loss,total_loss,lr_text_adapter,lr_image_adapter,lr_soft_prompt
1,0.6882685376492339,0.06882685519574423,0.6675831015547254,0.6675831015547254,0.525778998037523,0.0052577898641049245,-4.0724878337744385e-08,-8.144976041903404e-11,0.7416677482967559,0.00045000000000000004,0.0009000000000000001,0.0
2,0.680049849319623,0.0680049864581712,0.5099382556613961,0.5099382556613961,0.5970565736500038,0.005970565608628481,-4.3063461367392816e-08,-8.612692672899545e-11,0.5839138090816749,0.00040500000000000003,0.0008100000000000001,0.0
3,0.6657683905020717,0.06657684024642496,0.4793670227473995,0.4793670227473995,0.5971295503596533,0.005971295372373505,-4.322845693861624e-08,-8.645691786961753e-11,0.5519151581663987,0.0003645,0.000729,0.0
4,0.5925739517880146,0.05925739608112091,0.47384253118483666,0.47384253118483666,0.421999934016627,0.0042199992476463005,0.0001352953474788812,2.7059070873550567e-07,0.5373201974535483,0.00032805000000000003,0.0006561000000000001,5e-05
5,0.5345899636976447,0.05345899723856919,0.45230779787815567,0.45230779787815567,0.24805514895998482,0.00248055143771648,0.00026658161091747145,5.331632469774361e-07,0.5082478816379313,0.000295245,0.00059049,5e-05
6,0.5275084044281587,0.05275084131806573,0.43851811110096817,0.43851811110096817,0.23882979695978462,0.002388297918552346,0.001640622188646514,3.2812445405866646e-06,0.49366052992719267,0.0002657205,0.000531441,5e-05
7,0.5020223252707287,0.050202233401033705,0.42848914619341855,0.42848914619341855,0.23073248848783104,0.0023073248386344387,0.0019523129382760468,3.90462606717463e-06,0.4810026080756864,0.00023914845,0.0004782969,5e-05
8,0.4974122733187098,0.04974122812075599,0.42114098618857587,0.42114098618857587,0.2200040955960132,0.0022000409082661037,0.0016160968873991427,3.232193920160086e-06,0.4730854876158972,0.000215233605,0.00043046721,5e-05
9,0.4945385310682871,0.0494538540387958,0.40978582601053287,0.40978582601053287,0.21725542657721827,0.00217255421392104,0.0013945859643005505,2.7891720652833636e-06,0.4614150228694236,0.0001937102445,0.000387420489,5e-05
10,0.49089743418677045,0.04908974427459149,0.4010799609988309,0.4010799609988309,0.2108808052065463,0.0021088080042425323,0.001994151791644679,3.988303775529474e-06,0.4522825006692055,0.00017433922005,0.0003486784401,5e-05
11,0.4804855347917154,0.04804855422036252,0.3803211061032586,0.3803211061032586,0.20691781117223126,0.0020691780687654617,0.001627969374287242,3.2559389055551577e-06,0.4304420930111078,0.00015690529804500002,0.00031381059609000004,5e-05
12,0.47450496003702025,0.047450496766806474,0.37444504973024234,0.37444504973024234,0.20095420837608588,0.0020095420357606865,0.0017453298217594416,3.4906598009842016e-06,0.42390857881843835,0.00014121476824050002,0.00028242953648100003,5e-05
13,0.4712808417820188,0.04712808495677466,0.3718035293801021,0.3718035293801021,0.19823525598511152,0.0019823525158952676,0.0019554102990315472,3.910820779958888e-06,0.4209178763999246,0.00012709329141645002,0.00025418658283290005,5e-05
14,0.4654527260151701,0.046545273343997016,0.36148249941223837,0.36148249941223837,0.19414883073432224,0.0019414882617922028,0.0018663215926271511,3.7326433743033187e-06,0.4099729938567922,0.00011438396227480502,0.00022876792454961005,5e-05
15,0.4567950883538665,0.04567950965263027,0.35600530642332917,0.35600530642332917,0.18764300123630512,0.0018764299688583633,0.00163852587196441,3.2770519033673324e-06,0.40356452164971707,0.00010294556604732453,0.00020589113209464906,5e-05
