Dataset,Phase2B_pAUROC,Phase2B_pAP,Phase2B_iAUROC,Phase2B_iAP,SABRA_pAUROC,SABRA_pAP,SABRA_iAUROC,SABRA_iAP,Delta_pAUROC,Delta_pAP,Delta_iAUROC,Delta_iAP
Brain,0.9534943172628583,0.39826947626041054,0.7979186991869919,0.9425964887770787,0.9536158267321846,0.39113915079135975,0.8210536077235773,0.9507404991692268,0.00012150946932631967,-0.007130325469050791,0.023134908536585397,0.008144010392148071
Liver,0.9585226883454115,0.04849694857628509,0.5899123285677907,0.4576153115610566,0.9621028583083746,0.050481850213434654,0.6343009931245225,0.5367652412099657,0.0035801699629630646,0.0019849016371495665,0.04438866455673174,0.0791499296489091
Retina,0.9420236638864848,0.5087137757358198,0.8147321091781463,0.8177425750421055,0.9329489609491838,0.48402443452241267,0.8174844465903204,0.8183920888742825,-0.00907470293730106,-0.0246893412134071,0.0027523374121740662,0.00064951383217704
Colon_clinicDB,0.8862964817285434,0.5165374079080675,,,0.8921199074237351,0.5279794734081282,,,0.005823425695191786,0.011442065500060772,,
Colon_colonDB,0.863435414850299,0.36647860996931697,,,0.8646532515780392,0.3651214982521666,,,0.001217836727740229,-0.001357111717150361,,
Colon_Kvasir,0.8626532717699938,0.5463517062530706,,,0.8646602763181975,0.5514607397701684,,,0.0020070045482036836,0.005109033517097794,,
OVERALL_MACRO,0.9110709729739318,0.3974746541171617,0.7341877123109763,0.739318125126747,0.911683513551619,0.395034524492945,0.7576130158128067,0.7686326097511583,0.0006125405776872261,-0.0024401296242166914,0.023425303501830363,0.02931448462441133
