dataset,phase2b_e10_pixel_auc,phase2b_e10_pixel_ap,h2_e15_h_pixel_auc,h2_e15_h_pixel_ap,h2_e15_a_pixel_auc,h2_e15_a_pixel_ap,h2_e15_a_minus_h_auc,h2_e15_a_minus_h_ap,h2_e20_h_pixel_auc,h2_e20_h_pixel_ap,h2_e20_a_pixel_auc,h2_e20_a_pixel_ap,h2_e20_a_minus_h_auc,h2_e20_a_minus_h_ap
Brain,95.24,38.28,94.6826277271934,32.07609393146674,95.45916099288614,36.19614130059037,0.776533265692744,4.12004736912363,94.18540631836704,28.53584679329967,95.1069663827153,34.03753202185813,0.9215600643482634,5.50168522855846
Liver,97.07,6.81,96.71211458064336,6.109344874434843,96.37981585227348,5.467153783529004,-0.332298728369879,-0.642191090905839,96.7400479840098,6.163921548947435,96.51712115877807,5.718712433489552,-0.222926825231733,-0.445209115457883
Retina,92.20,40.39,94.68630963498056,47.59624244960904,95.35977313627198,55.068943277254675,0.673463501291421,7.472700827645635,94.3438310267699,45.98119638773605,95.3388378023818,56.23456593087833,0.9950067756119,10.25336954314228
Colon_clinicDB,89.06,57.46,86.98200226250792,43.96382543029162,88.65676783312772,50.46622745815254,1.6747655706198,6.50240202786092,87.60193276410523,44.61119348059148,87.94250777538447,47.11807949087052,0.340575011279241,2.50688601027904
Colon_colonDB,83.88,35.70,86.15969191295476,32.33571947470023,85.05402767323667,35.475264879717194,-1.10566423971809,3.13954540501696,86.76534765504985,33.57843768030291,85.22673953227236,35.327939326538775,-1.53860812277749,1.74950164623587
Colon_Kvasir,88.40,63.45,85.66924605560678,53.16429111427995,86.60117085657238,54.136487478656825,0.9319248009656,0.972196364376877,86.35812026139699,54.97098121728765,85.81523290558405,52.85077042724192,-0.54288735581294,-2.120210790045732
