target,metric,H_BF16_SEED1,H_tag,A_BF16_SEED1,A_tag,A_minus_H,A_minus_H_tag,historical_H2_Phase2B_best,historical_tag,published_ACD_CLIP,published_tag,notes
Medical,pixel_AUROC,87.15020776913754,MEASURED,88.86938231901159,MEASURED,1.7191745498740545,DERIVED,90.98,HISTORICAL_MEASURED,,UNKNOWN,Historical Phase2B uses stride=4/rounded results; no protocol-matched published Medical macro is stored.
Medical,pixel_AP,30.5610666289404,MEASURED,34.64727107839215,MEASURED,4.086204449451753,DERIVED,40.35,HISTORICAL_MEASURED,,UNKNOWN,Historical Phase2B uses stride=4/rounded results; no protocol-matched published Medical macro is stored.
Medical,image_AUROC,75.61270594596863,MEASURED,75.85834264755249,MEASURED,0.2456367015838623,DERIVED,73.77,HISTORICAL_MEASURED,,UNKNOWN,Historical Phase2B image macro is descriptive only.
Medical,image_AP,76.81697805722554,MEASURED,77.01988021532695,MEASURED,0.2029021581014092,DERIVED,74.24,HISTORICAL_MEASURED,,UNKNOWN,Historical Phase2B image macro is descriptive only.
MVTecAD,pixel_AUROC,84.134375,MEASURED,84.898284,MEASURED,0.7639089999999982,DERIVED,,UNKNOWN,91.4,PUBLISHED,Published N=3 MVTec macro is only approximately comparable; no historical Phase2B MVTec comparator stored.
MVTecAD,pixel_AP,40.431591,MEASURED,41.837265,MEASURED,1.4056740000000048,DERIVED,,UNKNOWN,43.6,PUBLISHED,Published N=3 MVTec macro is only approximately comparable; no historical Phase2B MVTec comparator stored.
MVTecAD,image_AUROC,91.136356,MEASURED,89.958858,MEASURED,-1.177498,DERIVED,,UNKNOWN,90.7,PUBLISHED,Published N=3 MVTec macro is only approximately comparable; no historical Phase2B MVTec comparator stored.
MVTecAD,image_AP,95.798899,MEASURED,95.174308,MEASURED,-0.6245910000000094,DERIVED,,UNKNOWN,95.8,PUBLISHED,Published N=3 MVTec macro is only approximately comparable; no historical Phase2B MVTec comparator stored.
