seed,seed_role,domain,horizon,status,reason,h_pixel_auroc,h_pixel_ap,a_pixel_auroc,a_pixel_ap,delta_pixel_auroc,delta_pixel_ap,pareto
1,confirmatory,Medical,15,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,H_A_GLOBAL_STEP_MISMATCH,NA,NA,NA,NA,NA,NA,NOT_ESTIMABLE
2,confirmatory,Medical,15,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,H_A_GLOBAL_STEP_MISMATCH,NA,NA,NA,NA,NA,NA,NOT_ESTIMABLE
1,confirmatory,MVTec,15,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,H_A_GLOBAL_STEP_MISMATCH,NA,NA,NA,NA,NA,NA,NOT_ESTIMABLE
2,confirmatory,MVTec,15,NOT_EVALUATED_HARD_TRAINING_INVALIDITY,H_A_GLOBAL_STEP_MISMATCH,NA,NA,NA,NA,NA,NA,NOT_ESTIMABLE
