horizon,arm,dataset,pixel_auc,pixel_ap,image_auc,image_ap
15,H,Brain,94.6826277271934,32.07609393146674,83.87342691421509,95.18201351165771
15,H,Colon_Kvasir,85.66924605560678,53.16429111427995,,
15,H,Colon_clinicDB,86.98200226250792,43.96382543029162,,
15,H,Colon_colonDB,86.15969191295476,32.33571947470023,,
15,H,Liver,96.71211458064336,6.109344874434843,65.42708277702332,56.77885413169861
15,H,Retina,94.68630963498056,47.59624244960904,79.14579510688782,76.78913474082947
15,A,Brain,95.45916099288614,36.19614130059037,80.20815849304199,93.90132427215576
15,A,Colon_Kvasir,86.60117085657238,54.136487478656825,,
15,A,Colon_clinicDB,88.65676783312772,50.46622745815254,,
15,A,Colon_colonDB,85.05402767323667,35.475264879717194,,
15,A,Liver,96.37981585227348,5.467153783529004,66.97006225585938,58.16033482551575
15,A,Retina,95.35977313627198,55.068943277254675,78.66995930671692,76.96843147277832
15,C,Brain,94.48108803196996,30.86760901192128,82.69500136375427,94.23387050628662
15,C,Colon_Kvasir,85.2617376253884,51.56403767451554,,
15,C,Colon_clinicDB,87.76387238846702,47.58585709230306,,
15,C,Colon_colonDB,84.34978325818267,28.885183812023556,,
15,C,Liver,96.59639385271943,6.637721754455327,64.23442363739014,55.31821846961975
15,C,Retina,92.86874381163861,41.41721107864147,79.61623072624207,76.84385776519775
15,AC,Brain,94.52053864454847,30.314285139993945,86.67603731155396,95.89169025421143
15,AC,Colon_Kvasir,86.91451866811299,56.2727933651613,,
15,AC,Colon_clinicDB,89.46743985774364,50.69388426505276,,
15,AC,Colon_colonDB,84.16784295888601,33.71580655937562,,
15,AC,Liver,96.1281784805103,5.307801032745095,66.12854599952698,58.677083253860474
15,AC,Retina,93.60919677806017,46.02044414576806,77.0372211933136,75.52732229232788
