horizon,arm,pixel_auc,pixel_ap,image_auc,image_ap,image_n,prompt_config,score_rule,metric_precision,pixel_stride
15,H,90.81533202898113,35.8742528791304,76.14876826604207,76.25000079472859,3,current_shared,cls_only,raw_exact,1
15,A,91.25178605739472,39.46836969631676,75.2827266852061,76.34336352348328,3,current_shared,cls_only,raw_exact,1
15,C,90.22026982806102,34.49293673731004,75.51521857579549,75.46531558036804,3,current_shared,cls_only,raw_exact,1
15,AC,90.80128589797694,37.0541690846828,76.61393483479817,76.69869860013326,3,current_shared,cls_only,raw_exact,1
