domain,epoch,inference,scope,dataset,class_name,prompt_config,score_rule,pixel_auroc,pixel_ap,image_auroc,image_ap,sample_count,pixel_count,dataset_count,image_dataset_count,valid
,7,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.06108453898105,31.272093931476274,,,380,101963120,,,True
,7,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,82.18785430347721,51.129326011124874,,,1000,268324000,,,True
,8,,dataset,Brain,Brain,current_shared,cls_only,95.66370026831655,40.599138241529346,81.51742815971375,94.25825476646423,3715,996823660,,,True
,8,,dataset,Liver,Liver,current_shared,cls_only,94.64290113009665,4.643904509700347,65.12886881828308,57.435786724090576,1493,400607732,,,True
,8,,dataset,Retina,Retina,current_shared,cls_only,90.17558204013616,45.643362905259345,78.66970300674438,78.0718982219696,1805,484324820,,,True
,8,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.77100142277733,48.810932399100935,,,612,164214288,,,True
,8,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.4990990774565,30.15102357196434,,,380,101963120,,,True
,8,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,82.47759277458056,50.0556074886911,,,1000,268324000,,,True
,9,,dataset,Brain,Brain,current_shared,cls_only,95.69032511946193,39.4215389203628,83.29951763153076,94.87695693969727,3715,996823660,,,True
,9,,dataset,Liver,Liver,current_shared,cls_only,94.67244152723286,4.153543736035757,63.263118267059326,57.16290473937988,1493,400607732,,,True
,9,,dataset,Retina,Retina,current_shared,cls_only,88.44702541483672,42.59783719870266,78.39893102645874,78.50387692451477,1805,484324820,,,True
,9,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,83.72124610281698,43.93799311138892,,,612,164214288,,,True
,9,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,77.83848703363019,25.47449004083458,,,380,101963120,,,True
,9,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,80.14341146398348,47.2699185952871,,,1000,268324000,,,True
,10,,dataset,Brain,Brain,current_shared,cls_only,96.00051268338083,41.099238484952714,84.26770567893982,95.30304074287415,3715,996823660,,,True
,10,,dataset,Liver,Liver,current_shared,cls_only,95.24866121410354,4.2326579602183125,61.2858772277832,55.43924570083618,1493,400607732,,,True
,10,,dataset,Retina,Retina,current_shared,cls_only,92.23905133427702,43.58288918122695,79.29013967514038,79.11773920059204,1805,484324820,,,True
,10,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,83.9495640794403,42.215404114244286,,,612,164214288,,,True
,10,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,78.69258275213565,25.168620425764754,,,380,101963120,,,True
,10,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,80.78039097911466,46.949785371053096,,,1000,268324000,,,True
,11,,dataset,Brain,Brain,current_shared,cls_only,95.96496415075855,38.65305370719632,83.28595161437988,94.87333297729492,3715,996823660,,,True
,11,,dataset,Liver,Liver,current_shared,cls_only,95.2173921807982,4.611562043910167,65.5976951122284,59.796226024627686,1493,400607732,,,True
,11,,dataset,Retina,Retina,current_shared,cls_only,91.09937973524137,43.99489831877009,78.49479913711548,77.7783453464508,1805,484324820,,,True
,11,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.94710371217985,45.73392098026109,,,612,164214288,,,True
,11,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.40034905835,27.32053355520826,,,380,101963120,,,True
,11,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,82.52162001125888,50.84744058860902,,,1000,268324000,,,True
,12,,dataset,Brain,Brain,current_shared,cls_only,95.77211344544119,35.226935118927805,83.84093046188354,95.10851502418518,3715,996823660,,,True
,12,,dataset,Liver,Liver,current_shared,cls_only,95.55785913023415,4.848316567445061,62.50200271606445,57.105469703674316,1493,400607732,,,True
,12,,dataset,Retina,Retina,current_shared,cls_only,93.24345703630232,49.82975142343442,79.1548490524292,79.2475938796997,1805,484324820,,,True
,12,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.72932700351234,43.241664587516865,,,612,164214288,,,True
,12,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.15388153758042,25.73910322161403,,,380,101963120,,,True
,12,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,82.64891281605526,50.57914622165344,,,1000,268324000,,,True
,13,,dataset,Brain,Brain,current_shared,cls_only,95.14949755764816,31.89765224286514,83.30919742584229,94.84792351722717,3715,996823660,,,True
,13,,dataset,Liver,Liver,current_shared,cls_only,95.6812414129579,4.675451316287983,63.218194246292114,57.55152106285095,1493,400607732,,,True
,13,,dataset,Retina,Retina,current_shared,cls_only,92.68594914951608,48.047260787337464,78.28670740127563,77.95302867889404,1805,484324820,,,True
,13,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.85644990907402,42.357352420036484,,,612,164214288,,,True
,13,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.3812514517306,24.65331699420124,,,380,101963120,,,True
,13,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,83.8107054334996,51.66037490650145,,,1000,268324000,,,True
,14,,dataset,Brain,Brain,current_shared,cls_only,95.17068286355158,32.589218132900825,83.01159143447876,94.71029043197632,3715,996823660,,,True
,14,,dataset,Liver,Liver,current_shared,cls_only,95.3541873121317,4.360352460589311,63.23511600494385,56.831949949264526,1493,400607732,,,True
,14,,dataset,Retina,Retina,current_shared,cls_only,92.76520685561736,49.7919549897725,78.71195077896118,78.35427522659302,1805,484324820,,,True
,14,,dataset,Colon_clinicDB,Colon_clinicDB,current_shared,cls_only,85.48698408289327,42.411914527342255,,,612,164214288,,,True
,14,,dataset,Colon_colonDB,Colon_colonDB,current_shared,cls_only,80.19443983259812,25.22510931363312,,,380,101963120,,,True
,14,,dataset,Colon_Kvasir,Colon_Kvasir,current_shared,cls_only,83.6295028062588,52.35005983040198,,,1000,268324000,,,True
,15,,dataset,Brain,Brain,current_shared,cls_only,95.22477918899186,33.277751274118636,83.37372541427612,94.8451817035675,3715,996823660,,,True
