a_epoch,c_epoch,parameter_group,a_negative_cosine_rate,c_negative_cosine_rate,a_median_norm_ratio,c_median_norm_ratio,negative_cosine_rate_delta
4,6,hard_text_adapter,0.3333333333333333,0.3333333333333333,9.345880864364595,22.73615650817115,0.0
4,6,m_i_w,0.3333333333333333,0.0,5.6842504896548345,599.0000448631464,-0.3333333333333333
4,6,shared_image_lora,0.3333333333333333,0.0,13.690509721094635,471.3895618838158,-0.3333333333333333
4,6,soft_prompt,0.0,0.3333333333333333,4.588423580562304,13.504286432481432,0.3333333333333333
5,7,hard_text_adapter,0.3333333333333333,0.3333333333333333,10.390688828621375,17.387934697634115,0.0
5,7,m_i_w,0.3333333333333333,0.3333333333333333,10.039590057315174,4.762608573774676,0.0
5,7,shared_image_lora,0.3333333333333333,0.3333333333333333,9.510733425603263,2.4994448934671927,0.0
5,7,soft_prompt,0.0,0.0,6.797561429883531,12.043221320708412,0.0
6,8,hard_text_adapter,0.3333333333333333,0.6666666666666666,19.944898329750583,12.486548975560732,0.3333333333333333
6,8,m_i_w,0.3333333333333333,0.3333333333333333,1032.6300616316053,4.762829006038013,0.0
6,8,shared_image_lora,0.6666666666666666,0.3333333333333333,713.9372194209911,7.2889692148189305,-0.3333333333333333
6,8,soft_prompt,0.0,0.0,12.472004452695844,5.757731461702215,0.0
