epoch,parameter_group,n,median_cosine,negative_cosine_rate,median_norm_ratio,conflict_flag,norm_imbalance_flag
6,hard_text_adapter,3,0.20264340373569784,0.3333333333333333,22.73615650817115,False,True
6,m_i_w,3,0.10830920385885412,0.0,599.0000448631464,False,True
6,shared_image_lora,3,0.41899591483203524,0.0,471.3895618838158,False,True
6,soft_prompt,3,0.07224644565979699,0.3333333333333333,13.504286432481432,False,True
7,hard_text_adapter,3,0.026499583414288264,0.3333333333333333,17.387934697634115,False,True
7,m_i_w,3,0.040294129679180016,0.3333333333333333,4.762608573774676,False,False
7,shared_image_lora,3,0.47703868369382363,0.3333333333333333,2.4994448934671927,False,False
7,soft_prompt,3,0.20697917720701092,0.0,12.043221320708412,False,True
8,hard_text_adapter,3,-0.015094354995460421,0.6666666666666666,12.486548975560732,True,True
8,m_i_w,3,0.10203802264493611,0.3333333333333333,4.762829006038013,False,False
8,shared_image_lora,3,0.3266894576986761,0.3333333333333333,7.2889692148189305,False,False
8,soft_prompt,3,0.3266985863361383,0.0,5.757731461702215,False,False
9,hard_text_adapter,3,-0.03784438568808605,0.6666666666666666,23.914099711644837,True,True
9,m_i_w,3,0.6443947520527326,0.3333333333333333,123.59191908722839,False,True
9,shared_image_lora,3,0.8706332143491511,0.3333333333333333,141.15859899664497,False,True
9,soft_prompt,3,-0.18754592188666885,0.6666666666666666,11.751125943832097,True,True
10,hard_text_adapter,3,0.033083235759057,0.0,3.198587206603455,False,False
10,m_i_w,3,0.18852712199245988,0.3333333333333333,10.862361401727702,False,True
10,shared_image_lora,3,0.5362168693433247,0.3333333333333333,19.473053837845065,False,True
10,soft_prompt,3,0.0029548753829243698,0.3333333333333333,8.668118570877075,False,False
11,hard_text_adapter,3,0.10172739672883868,0.0,1.789926576781949,False,False
11,m_i_w,3,0.09766197188478756,0.3333333333333333,2.1195164826215307,False,False
11,shared_image_lora,3,0.4182728208534362,0.3333333333333333,2.1806918513600055,False,False
11,soft_prompt,3,0.3353041784106737,0.0,1.4645270627706477,False,False
12,hard_text_adapter,3,0.1069729577802669,0.0,25.463866480184237,False,True
12,m_i_w,3,0.1622937283696496,0.0,75.91076042287125,False,True
12,shared_image_lora,3,0.29000136065624516,0.0,86.90618765790829,False,True
12,soft_prompt,3,0.3306705778963895,0.0,14.901934386396693,False,True
13,hard_text_adapter,3,0.12667785230338993,0.3333333333333333,1.7533120500062898,False,False
13,m_i_w,3,0.10660537166234493,0.0,2.3305769258156848,False,False
13,shared_image_lora,3,-0.09821676487495277,0.6666666666666666,1.4751501216439713,True,False
13,soft_prompt,3,0.11249435314268416,0.0,1.1636033660439407,False,False
14,hard_text_adapter,3,0.1324969255409417,0.0,19.476760099737444,False,True
14,m_i_w,3,0.09277875460735162,0.0,34.541784924305546,False,True
14,shared_image_lora,3,0.08239686486730262,0.3333333333333333,21.391796598943593,False,True
14,soft_prompt,3,0.2670232316189929,0.0,12.070440426289926,False,True
15,hard_text_adapter,3,0.1580727172460143,0.0,16.694841622404972,False,True
15,m_i_w,3,0.057946076732698575,0.0,100.34853580805132,False,True
15,shared_image_lora,3,0.19521559702442495,0.3333333333333333,49.16963476487784,False,True
15,soft_prompt,3,0.16718810636775794,0.0,11.152231843860122,False,True
