epoch,dataset,pixel_auroc,pixel_ap
10,Brain,95.01823873051012,44.822703094799124
10,Liver,96.1911026050298,5.044752892410603
10,Retina,93.06232908919276,45.19453549241821
10,Colon_clinicDB,87.63240648726483,48.81828699352107
10,Colon_colonDB,82.57523799264771,29.606517080769724
10,Colon_Kvasir,84.20428030840206,52.41686729542766
11,Brain,93.59062678972971,47.10015186505096
11,Liver,95.1226570732999,5.247726014309175
11,Retina,89.39480353976163,36.43782129547716
11,Colon_clinicDB,85.25268579101144,47.9137378778104
11,Colon_colonDB,79.02053256376442,29.13840457799225
11,Colon_Kvasir,81.54293366145808,51.35378261676784
12,Brain,94.33837705387602,45.66194922129277
12,Liver,93.91273728072422,5.198748162269249
12,Retina,86.26802969423379,29.25395502267633
12,Colon_clinicDB,87.35476386400379,49.302939405732495
12,Colon_colonDB,81.93089118543917,28.779941323297685
12,Colon_Kvasir,83.00340700063225,52.608633569308374
13,Brain,95.8479450688353,51.09865993040579
13,Liver,96.1460127695397,5.2381407694663995
13,Retina,91.44034998759432,41.883541016183386
13,Colon_clinicDB,86.25431597802289,46.91791463237431
13,Colon_colonDB,82.61258904069287,28.47622773232042
13,Colon_Kvasir,82.16653577385074,51.267822619779245
14,Brain,95.47453642115656,51.129667511931956
14,Liver,96.28334349206116,5.733793063590154
14,Retina,92.26143226520588,45.21358805608207
14,Colon_clinicDB,84.79517272619115,45.007797548001
14,Colon_colonDB,82.57694174159393,28.882344482960153
14,Colon_Kvasir,80.79640529350266,48.52065710690525
15,Brain,95.00274254375768,43.8801721561691
15,Liver,96.41675050582717,6.180686047928876
15,Retina,90.69240423357897,42.08588178937556
15,Colon_clinicDB,86.30418923211494,45.39216746951254
15,Colon_colonDB,83.6230999688691,28.118305882112793
15,Colon_Kvasir,83.41306066778542,51.80570173260711
