epoch,pixel_auroc,pixel_ap,image_auroc,image_ap,image_scope
10,89.78059920217454,37.65061047489107,77.28058298428853,76.48027141888936,valid Brain/Liver/Retina only
11,87.32070656983753,36.198604041234624,78.72202197710673,78.89289259910583,valid Brain/Liver/Retina only
12,87.80136767981821,35.134361117429485,77.26115385691325,77.5375743707021,valid Brain/Liver/Retina only
13,89.0779581030893,37.48038445008826,76.54828429222107,76.68781280517578,valid Brain/Liver/Retina only
14,88.6979719899519,37.41464129491177,77.3809274037679,77.00091203053792,valid Brain/Liver/Retina only
15,89.24204119198886,36.24381917961767,76.19847853978474,75.99753340085347,valid Brain/Liver/Retina only
