epoch,pixel_auroc,pixel_ap,image_auroc,image_ap
10,86.144059,39.18373,89.224411,94.905409
11,81.88613,37.735513,88.217883,94.320238
12,82.727817,39.813637,88.86934,94.981158
13,83.729967,39.390236,88.880726,94.777391
14,84.292417,39.756918,89.14745,94.950707
15,84.588163,41.524673,89.150273,95.054912
