metric_type,dataset,epoch,prompt_config,score_rule,pixel_auc,pixel_ap,image_auc,image_ap
pixel,Brain,15,current_shared,,95.00274254375768,43.8801721561691,,
pixel,Liver,15,current_shared,,96.41675050582717,6.180686047928876,,
pixel,Retina,15,current_shared,,90.69240423357897,42.08588178937556,,
pixel,Colon_clinicDB,15,current_shared,,86.30418923211494,45.39216746951254,,
pixel,Colon_colonDB,15,current_shared,,83.6230999688691,28.118305882112793,,
pixel,Colon_Kvasir,15,current_shared,,83.41306066778542,51.80570173260711,,
image,Brain,15,current_shared,cls_only,,,83.94250273704529,94.98605728149414
image,Liver,15,current_shared,cls_only,,,63.042670488357544,54.06838059425354
image,Retina,15,current_shared,cls_only,,,81.61026239395142,78.93816232681274
