K_per_anomalous_sample,anchor_loss,anomaly_sample_count,arm,attempt_index,batch,epoch,existing_task_loss,file_names,global_step_after,global_step_before,hard_background_max,hard_background_mean,image_sha256,labels,mask_sha256,nonfinite_grad_skip,nonfinite_loss_skip,optimizer_state_finite,paired_control_skip,parameters_finite,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,status,successful_step,thbr_enabled,thbr_grad_norm,thbr_raw,thbr_weighted,total_loss,violation_fraction,weak_anomaly_mean,weak_anomaly_min
"[1001, 993]",0.3050724267959595,2,A_THBR_R1_CANDIDATE,374,13,12,0.7785700559616089,"[""macaroni2/Data/Images/Normal/0170.JPG"",""capsules/Data/Images/Normal/208.JPG"",""pipe_fryum/Data/Images/Anomaly/023.JPG"",""pcb3/Data/Images/Anomaly/081.JPG"",""macaroni2/Data/Images/Normal/0013.JPG"",""pcb1/Data/Images/Normal/0545.JPG""]",3981,3980,0.9999966621398926,0.5351928025484085,d849eecb04cb749de86631c57bbe79470b0ada77eac98329998fba58b69d9c48,"[0,0,1,1,0,0]",9c1991dae0fa5569a259ed3e4e50583bfeb2cb83472c28a5f2ea611c2c7af56c,0,0,1,0,1,5.355273272024157e-06,0.05794833427988584,success,1,True,,0.603726863861084,0.11303657293319702,0.8916066288948059,0.23106248676776886,0.8075354695320129,6.798992302492479e-08
"[1737, 620, 85, 336]",0.30512741208076477,4,A_THBR_R1_CANDIDATE,375,14,12,1.0492748022079468,"[""pcb1/Data/Images/Normal/0796.JPG"",""macaroni1/Data/Images/Normal/0923.JPG"",""capsules/Data/Images/Anomaly/054.JPG"",""pcb2/Data/Images/Anomaly/066.JPG"",""macaroni1/Data/Images/Anomaly/057.JPG"",""capsules/Data/Images/Anomaly/015.JPG""]",3982,3981,0.9999991655349731,0.623588350135833,f664a95c71a57d8efaf67a662e76950eabc8e2a127676b43b9ff6b6fc8a3988a,"[0,0,1,1,1,1]",f6dd47ba0d1d1ff6fabe3fd220bf0cb247ab208fc835b4b7c5bc1e1e096d0c4b,0,0,1,0,1,5.572313743268471e-06,0.09999993726473196,success,1,True,0.6821538209915161,0.8178917169570923,0.15313494205474854,1.2024097442626953,0.57918930798769,0.456302740436513,6.6534857623423704e-09
"[792, 7740, 438, 500]",0.30517804622650146,4,A_THBR_R1_CANDIDATE,376,15,12,1.1674026250839233,"[""fryum/Data/Images/Anomaly/069.JPG"",""pcb4/Data/Images/Anomaly/040.JPG"",""pcb2/Data/Images/Normal/0739.JPG"",""pcb3/Data/Images/Normal/0725.JPG"",""pcb1/Data/Images/Anomaly/035.JPG"",""pipe_fryum/Data/Images/Anomaly/000.JPG""]",3983,3982,0.999913215637207,0.1557885471593181,1876450c91abdb6944d5f2d365d3609c29820c4ed53a5eded93d9528f7f66559,"[1,1,0,0,1,1]",c6ec0337119b0935d623580892f6c99c39bb85c5f45d233465f0d2e48ffb46a4,0,0,1,0,1,8.248947399529385e-07,0.0266716637821572,success,1,True,,0.615735650062561,0.1152849942445755,1.2826876640319824,0.44213225692510605,0.3972590629400088,1.0305120312636973e-08
"[4688, 381, 499, 140]",0.30522409081459045,4,A_THBR_R1_CANDIDATE,377,16,12,0.9805546402931213,"[""pcb4/Data/Images/Anomaly/081.JPG"",""pcb2/Data/Images/Normal/0457.JPG"",""cashew/Data/Images/Anomaly/039.JPG"",""chewinggum/Data/Images/Anomaly/034.JPG"",""capsules/Data/Images/Anomaly/089.JPG"",""macaroni1/Data/Images/Normal/0484.JPG""]",3984,3983,0.9999030828475952,0.31376145244576037,105586b33ceca23a01b2c0c253f177adadb20cfde52faf98cd89be3bfb7ac3f8,"[1,0,1,1,1,0]",68596aa0341594e375cfe1e2de92bd4a62b104d52b14eaed1ba3b13deb98b2fe,0,0,1,0,1,5.627127692420165e-06,0.05188804192299399,success,1,True,,0.6506487131118774,0.1218218132853508,1.1023764610290527,0.41310783475637436,0.4662171108648181,7.250557043647632e-09
"[94, 259, 1051]",0.3052641451358795,3,A_THBR_R1_CANDIDATE,378,17,12,0.7547308802604675,"[""fryum/Data/Images/Anomaly/027.JPG"",""macaroni1/Data/Images/Normal/0046.JPG"",""pcb1/Data/Images/Normal/0208.JPG"",""cashew/Data/Images/Anomaly/040.JPG"",""pipe_fryum/Data/Images/Anomaly/040.JPG"",""pcb1/Data/Images/Normal/0306.JPG""]",3985,3984,0.9999781847000122,0.6813470323880514,9488856726cd9ac50f5f8d37a3f445f1b32d9f2925ac581e5b4a6a2303ab8321,"[1,0,0,1,1,0]",d5f1904dc157a7288d0c655647331590ca4467442344ac798131ea9efdb33f0d,0,0,1,0,1,6.418757857683191e-06,0.0497192914922239,success,1,True,,0.6668663024902344,0.12485825270414352,0.8795891404151917,0.38147867222627,0.8099313577016195,7.872748710724409e-07
"[122, 3522, 955]",0.3053145110607147,3,A_THBR_R1_CANDIDATE,379,18,12,0.811466634273529,"[""pipe_fryum/Data/Images/Normal/006.JPG"",""macaroni1/Data/Images/Normal/0935.JPG"",""pipe_fryum/Data/Images/Anomaly/059.JPG"",""chewinggum/Data/Images/Anomaly/008.JPG"",""pcb3/Data/Images/Anomaly/082.JPG"",""macaroni1/Data/Images/Normal/0811.JPG""]",3986,3985,0.9999918937683105,0.31625204843779403,ec93a3191d91629e00fb66202a44735670b63796dc531f327b963bd6193f0e25,"[0,0,1,1,1,0]",c32b7adcbe134de7c2bd93e8757021da0121ffd5c83d96741c80e45d72a0fbd6,0,0,1,0,1,9.837040385628722e-06,0.06410437323523845,success,1,True,,0.6321837902069092,0.1183646023273468,0.9298312664031982,0.35245494544506073,0.5868729948997498,1.3545824906202597e-08
"[128, 873, 1274, 223, 154]",0.30535614490509033,5,A_THBR_R1_CANDIDATE,380,19,12,1.2222681045532227,"[""pipe_fryum/Data/Images/Anomaly/053.JPG"",""pcb2/Data/Images/Anomaly/029.JPG"",""pcb4/Data/Images/Anomaly/086.JPG"",""macaroni1/Data/Images/Anomaly/011.JPG"",""macaroni2/Data/Images/Anomaly/098.JPG"",""pcb1/Data/Images/Normal/0957.JPG""]",3987,3986,0.9999674558639526,0.2996441751634393,d1eca2092f3c21a279d2e2e85cb69501d8a69b58f7716bf10fc4bf23656ae5e5,"[1,1,1,1,1,0]",bb8a0d3ff8bcaaff910ad47480e18be1d1082ad2553cb519555b6a285d8b5847,0,0,1,0,1,2.8670347933559187e-06,0.08964686158505453,success,1,True,,0.691325843334198,0.12943784892559052,1.3517059087753296,0.5299859941005707,0.3421355517225038,5.430416560869844e-09
"[10, 818, 37, 24111]",0.3053983151912689,4,A_THBR_R1_CANDIDATE,381,20,12,1.194014310836792,"[""macaroni2/Data/Images/Normal/0892.JPG"",""candle/Data/Images/Anomaly/048.JPG"",""pcb2/Data/Images/Anomaly/006.JPG"",""macaroni1/Data/Images/Anomaly/081.JPG"",""pcb3/Data/Images/Normal/0013.JPG"",""pipe_fryum/Data/Images/Anomaly/095.JPG""]",3988,3987,0.9999785423278809,0.13330988304824132,4a17524d32608036215d4c4b2a6a3dd40d64037df2d547e28eac139e409f0e48,"[0,1,1,1,0,1]",5aad394ea24e1ee830a4e767f7a51afd9d7090bcd68341cd36fba4b01c5e5ad3,0,0,1,0,1,1.5071884236065577e-06,0.014921597838235745,success,1,True,,0.702541708946228,0.1315378099679947,1.3255521059036255,0.6868618614971638,0.15816998807497584,4.608734727185038e-09
"[102, 71, 3639]",0.30542710423469543,3,A_THBR_R1_CANDIDATE,382,21,12,0.8486713171005249,"[""pipe_fryum/Data/Images/Anomaly/061.JPG"",""cashew/Data/Images/Anomaly/065.JPG"",""macaroni2/Data/Images/Normal/0400.JPG"",""pcb1/Data/Images/Normal/0779.JPG"",""candle/Data/Images/Anomaly/094.JPG"",""pcb3/Data/Images/Normal/0514.JPG""]",3989,3988,0.9999626874923706,0.5034988621870676,87553593378e6cf2ca36dfb2c5984f1a0528ad3423810acb0ea456d082fcb03a,"[1,1,0,0,1,0]",a74190741aa0736af4cef68d225bf89d3decbdc5219b5a6089a6b625239a6bd7,0,0,1,0,1,6.578629019516852e-06,0.024632331660694357,success,1,True,,0.7040533423423767,0.13182082772254944,0.980492115020752,0.49261988202730816,0.5880933205286661,1.1365636964910664e-06
"[188, 529]",0.3054422438144684,2,A_THBR_R1_CANDIDATE,383,22,12,0.9510822892189026,"[""pcb4/Data/Images/Normal/0469.JPG"",""pcb4/Data/Images/Normal/0320.JPG"",""pipe_fryum/Data/Images/Normal/104.JPG"",""candle/Data/Images/Anomaly/028.JPG"",""cashew/Data/Images/Anomaly/088.JPG"",""macaroni2/Data/Images/Normal/0923.JPG""]",3990,3989,0.98973149061203,0.395628837260972,474bd34a9c8cb396a49f4a9dc6f8035f0c5e1e95476a57d3dd0239f53ff19a94,"[0,0,0,1,1,0]",b60f84a0541fd3ca6b90277c29eae7b3efd34a6b1ce385498c45da93369bd9b5,0,0,1,0,1,1.5300902223233704e-05,0.09999993755274006,success,1,True,,0.790493905544281,0.14800521731376648,1.0990874767303467,0.6460050940513611,0.24128042685515538,2.5907068490482743e-08
