arm,stage,normal_prototype_margin_mean,anomaly_prototype_margin_mean,prototype_margin_separation,within_normal_dispersion,within_anomaly_dispersion,between_region_centroid_l2,between_region_centroid_cosine
E1,1,-0.05728557202051791,-0.04594277268361129,0.011342799336906614,0.047954902052879333,0.5871244072914124,0.7182292342185974,0.6807382702827454
E1,2,-1.452734808421157,-0.5041552691566135,0.9485795392645436,0.02381008118391037,0.8140076994895935,0.66828453540802,0.9176026582717896
E1,3,-1.3012491410579206,-0.5681907620495688,0.7330583790083518,0.011170219630002975,0.7230634093284607,0.7288568019866943,0.6889594793319702
H,1,-0.7569223189387025,-0.4992691810649937,0.25765313787370886,0.04951615631580353,0.6010335087776184,0.737738847732544,0.6570591330528259
H,2,-1.7662128892681535,0.2844338181183233,2.050646707386477,0.048893336206674576,0.7011323571205139,1.187207579612732,-0.2452218234539032
H,3,-1.8186149374408704,0.09732451887909108,1.9159394563199614,0.2858468294143677,0.606362521648407,1.1075406074523926,0.12403394281864166
A,1,-0.0389584131835237,-0.011360929870862744,0.02759748331266096,0.06172623485326767,0.7154055833816528,0.8318802118301392,0.5336198806762695
A,2,-1.889039215889383,0.17774617420639582,2.0667853900957787,0.047112349420785904,0.7518450617790222,1.0981171131134033,-0.22025442123413086
A,3,-0.9208460266837138,-0.25416383493325473,0.6666821917504591,0.07716389000415802,0.5851482152938843,1.086334228515625,0.2032744288444519
