arm,category,component,count,max,mean,min,stage,std
H,candle,gap_normal,54,0.5601276159286499,0.333333283662796,0.0947546660900116,1,0.1897343248128891
H,candle,gap_abnormal,54,0.5611225962638855,0.3333333432674408,0.04450155422091484,1,0.21497514843940735
H,candle,ss2d_normal,54,0.9999994039535522,0.3333333432674408,1.9459600299608383e-23,1,0.4714040756225586
H,candle,ss2d_abnormal,54,0.9999666213989258,0.3333333432674408,4.2723786664437444e-33,1,0.4713808596134186
H,candle,final_normal,54,0.604114830493927,0.3333333730697632,0.0852791965007782,1,0.21201786398887634
H,candle,final_abnormal,54,0.6050069332122803,0.333333283662796,0.04005139693617821,1,0.2308555245399475
H,candle,entropy_normal,18,0.879509449005127,0.8784849047660828,0.8775807023048401,1,0.0005911368643864989
H,candle,entropy_abnormal,18,0.8024508357048035,0.8014361262321472,0.8005435466766357,1,0.0005845893756486475
H,candle,routing_l1,18,0.09090086817741394,0.09066520631313324,0.09045547246932983,1,0.00013648571621160954
H,candle,gap_ss2d_l1,18,0.8824163675308228,0.8809959888458252,0.8797435760498047,1,0.0008191955275833607
H,candle,gap_normal,54,0.6751249432563782,0.333333283662796,0.040078867226839066,2,0.2584761381149292
H,candle,gap_abnormal,54,0.695901095867157,0.3333333730697632,0.01917264610528946,2,0.2757622301578522
H,candle,ss2d_normal,54,1.0,0.3333333432674408,2.3459301729274525e-34,2,0.471404492855072
H,candle,ss2d_abnormal,54,1.0,0.3333333432674408,1.4993893568275543e-43,2,0.471404492855072
H,candle,final_normal,54,0.6076124310493469,0.333333283662796,0.13607098162174225,2,0.1971421092748642
H,candle,final_abnormal,54,0.6263109445571899,0.33333325386047363,0.11725538223981857,2,0.21224366128444672
H,candle,entropy_normal,18,0.9351627826690674,0.9279453754425049,0.9230623245239258,2,0.0036582357715815306
H,candle,entropy_abnormal,18,0.9045397043228149,0.8978580832481384,0.8933581709861755,2,0.0033793512266129255
H,candle,routing_l1,18,0.04088617116212845,0.038937561213970184,0.03763120621442795,2,0.00098305509891361
