checkpoint,category,anomalous_image_count,near_p95_mean,near_p95_median,near_p95_iqr,near_p99_mean,near_p99_median,near_p99_iqr,far_p95_mean,far_p95_median,far_p95_iqr,boundary_p95_mean,boundary_p95_median,boundary_p95_iqr,interior_mean_mean,interior_mean_median,interior_mean_iqr,boundary_mean_mean,boundary_mean_median,boundary_mean_iqr,near_mean_mean,near_mean_median,near_mean_iqr,interior_mean_minus_near_mean_mean,interior_mean_minus_near_mean_median,interior_mean_minus_near_mean_iqr,boundary_mean_minus_near_mean_mean,boundary_mean_minus_near_mean_median,boundary_mean_minus_near_mean_iqr,near_gt_positive_inversion_mean,near_gt_positive_inversion_median,near_gt_positive_inversion_iqr,near_gt_interior_inversion_mean,near_gt_interior_inversion_median,near_gt_interior_inversion_iqr,leakage_image_fraction,category_shows_leakage_majority_rule
SAFE_ANCHOR_E10,candle,4,0.010721530962227055,0.010158749723473193,0.020877532969139745,0.021781889663406107,0.020829373684023267,0.042608403014379403,1.3505472074015756e-08,1.3975928858656061e-08,9.783762688897468e-10,0.017222823274119614,0.011729351394819787,0.028949262725381564,0.01280772306575173,0.01011266652494669,0.014155241298619003,0.005210969533737231,0.003101502445758797,0.008309828047442291,0.0021122485614084585,0.001849460056348562,0.00395960443430865,0.009991858236518603,0.006415146170184016,0.011780213325244038,0.0030987209723287723,0.001252042389410235,0.004350223613133641,0.2589882396098411,0.254864591107794,0.20006227024565865,0.15183841627263162,0.17985611510791366,0.09828154425612053,0.5,True
SAFE_ANCHOR_E10,pcb3,4,0.00406596691225003,0.003877133596688509,0.0027362699818955782,0.00663675430849775,0.006091549759730697,0.004448528004208363,2.070281812649455e-08,2.10196455796563e-08,1.863368126464593e-09,0.007184364653961328,0.006072702119126916,0.007145468557415935,0.006138656472449711,0.0034714166540652514,0.007472270474344178,0.0019896420363616496,0.0016329404897987843,0.0017853928783628792,0.0008061827801141286,0.0008331641147378832,0.0007358477334052926,0.005583211560027094,0.0028690860490314662,0.006940274916019229,0.001183459256247521,0.0005525769956875592,0.0010119957612521047,0.369921447765461,0.35224408130167295,0.17923623613784095,0.21078983660251438,0.009345794392523364,0.3115118577075099,0.5,True
SAFE_ANCHOR_E10,capsules,4,0.07013856678872799,0.027539487953617936,0.09763954518007267,0.12036510924872346,0.055681121311863535,0.1759883568524856,2.0037186132526585e-08,1.9854925703555182e-08,6.728020807145185e-09,0.20917582900870002,0.19484296542668744,0.4039694766818229,0.19945104654175339,0.09995305718030068,0.29938125941566796,0.042710011311498874,0.03408374301443473,0.07677000589507088,0.011245006716819717,0.00461950908675135,0.015848934989605823,0.18820603982493367,0.08207874495383294,0.27027752128634575,0.03146500459467916,0.02946423392768338,0.06092107090546506,0.24148563432365616,0.2647746497080198,0.062359676001238096,0.17170020523932844,0.16964285714285715,0.11243845022285644,0.75,True
SAFE_ANCHOR_E10,pipe_fryum,4,0.13348654386936687,0.10895287990570068,0.19337244602502324,0.20924230245873332,0.13507454097270966,0.2840037611313164,1.965406104531553e-08,1.9606976486841177e-08,3.750163291016406e-09,0.23387414033641107,0.13675427064299583,0.25655584593187086,0.12803556812771907,0.08131366223096848,0.1499636986409314,0.042977461707778275,0.03176833689212799,0.039231369155459106,0.01998381492740009,0.017031362745910883,0.026140696936636232,0.11038559731484081,0.07423628401011229,0.127544258342823,0.022993646780378185,0.014736974146217108,0.01770861331897322,0.21698844396009734,0.18847352024922118,0.09281959518881738,0.08105796835868305,0.08771929824561403,0.028191699700047257,0.5,True
SAFE_ANCHOR_E10,pcb4,4,0.000780518576402045,0.0006079918141495,0.001386878670292191,0.0011875801525533802,0.0010877204930466178,0.0022733066320839157,1.1161260271563833e-07,4.9202693475081105e-08,8.00415937973753e-08,0.0023856884887933916,0.0018685516998857565,0.004252852061831902,0.0038393572022030753,0.0004348698716398758,0.004273802362654067,0.0005233027921418554,0.000406379238199861,0.0009291588698987496,0.00014744531957244789,0.00011873868668033083,0.00026563937535417637,0.0036919118826306274,0.000258594778268062,0.003950559445670798,0.0003758574725694075,0.0002300748528227814,0.000605945244920747,0.3742576249992357,0.4364055700609225,0.13704172297262868,0.3726835761005843,0.4545040569630734,0.11796388208785746,0.75,True
SAFE_ANCHOR_E10,macaroni2,4,5.382269925746641e-06,3.1161557672021445e-06,7.822949449121097e-06,6.214942473548035e-06,3.67011128332706e-06,9.138205726344495e-06,1.2667949800260203e-08,1.2674699956249924e-08,6.414144770872099e-10,8.77752531280862e-06,5.108763261318927e-06,1.3347867703572547e-05,8.101141536561348e-06,6.761647455277853e-06,8.63334573608654e-06,5.264234925306255e-06,2.716263566071575e-06,7.578193947921363e-06,2.8532475777609534e-06,1.4949057458579773e-06,3.981550536380496e-06,4.367084147342363e-06,3.9826541069487575e-06,4.522507470738901e-06,2.4109873475453014e-06,1.221770727255489e-06,3.596230504498976e-06,0.2538645874082767,0.240268857356236,0.22278963215856418,0.06666666666666667,0.0,0.1,1.0,True
SAFE_ANCHOR_E10,pcb2,4,0.0591825607067733,7.538880794299985e-06,0.05918884727566365,0.11815246741960728,1.1298492609057575e-05,0.11815804654608364,1.4516281288123878e-08,1.4312963703133619e-08,1.7240366911863703e-09,0.1612751827655714,1.4200799569152878e-05,0.1612887086087582,0.137610565580531,3.4965163649758324e-05,0.20639834017225578,0.03900607968703396,6.070899868149127e-06,0.039011992821226915,0.011614509950918173,2.1854437193269405e-06,0.011616451147359985,0.1221245607546475,3.074866572205792e-05,0.18317159557190532,0.027391569736115784,3.91692158530077e-06,0.02739551020843045,0.3087300109290343,0.306341647527424,0.23091469015607685,0.18275074186394114,0.03560830860534125,0.23359468576596837,0.75,True
SAFE_ANCHOR_E10,chewinggum,4,0.11573059692803911,0.0003496889021565863,0.116080240177451,0.19638862279563085,0.000531676351033461,0.19692025182222483,1.80228199031518e-08,1.3430107692613547e-08,6.337793623245602e-09,0.23305625264849006,0.0016086425890566858,0.23466484840853852,0.3032067642359693,0.011410947889089584,0.4491046610103906,0.07140535630150024,0.00047906130196828656,0.0718843880577702,0.01606621361250027,7.529225301716735e-05,0.016141477727659614,0.28178515097764006,0.011260378058068454,0.41704753828908325,0.055339142688999976,0.0004037690489511192,0.055742910330110584,0.2774559552314616,0.29390997563990257,0.328724948561921,0.22176648799813561,0.008156606851549755,0.32857142857142857,0.5,True
SAFE_ANCHOR_E10,macaroni1,4,2.0061828905681978e-05,1.5636178886779817e-05,3.019081790966993e-05,2.3239190056756343e-05,1.7593567918083863e-05,3.3983771402290586e-05,8.799958539640329e-09,8.66697069668021e-09,3.452136354553659e-10,2.4117464818118606e-05,1.440153664589161e-05,3.2921006095421035e-05,2.4668194896548812e-05,1.5301522580557503e-05,2.7825181234675256e-05,1.3491415472799417e-05,8.02056501925108e-06,1.8396174539248022e-05,8.191356386078041e-06,5.2837307293884805e-06,1.1119706897488868e-05,1.3874371575184341e-05,6.17632940702606e-06,1.763931112463979e-05,5.300059086721376e-06,2.946384086044418e-06,7.066917845577336e-06,0.26887117244936526,0.2526592766767439,0.05873710940231891,0.25963912630579294,0.23076923076923078,0.1259259259259259,1.0,True
SAFE_ANCHOR_E10,cashew,4,0.0016797381102759967,9.930662338319962e-05,0.0017759874799667674,0.0026285494005648946,0.00013388953209414467,0.002759137933499245,1.5722732227274605e-08,1.4197165221219166e-08,7.147515690419937e-09,0.005771806718458006,0.00023424031417107471,0.006002821503584332,0.010913141234122866,0.0003092434781137854,0.01621507812913503,0.001990268931223893,8.652192735780773e-05,0.002075096125309317,0.0004585863112629429,3.294094648254031e-05,0.0004901569743560596,0.010301996065064914,0.0002442713230266236,0.015330857806236775,0.0015316826199609501,5.3580980875267414e-05,0.0015849391509532573,0.2538962254088431,0.2715889464594128,0.1758924618432514,0.1519054908827924,0.05172413793103448,0.18909294155221973,0.5,True
