record_type,arm,map,threshold,tpr,fpr,precision,recall,size_stratum,image_count,macro_image_pixel_auroc,macro_image_pixel_ap,positive_negative_mean_margin,p01_positive_minus_p99_negative,component_count,component_area_mean_pixels,compactness_mean,boundary_area_ratio_mean
curve,H,raw,1.0,5.285611105255483e-05,5.5468865326758794e-08,0.8415841584158416,5.285611105255483e-05,,,,,,,,,,
curve,H,raw,0.9921873807888915,0.32123488043170384,0.00011997222209361342,0.9372165824710426,0.32123488043170384,,,,,,,,,,
curve,H,raw,0.9843747615777828,0.38431647254482587,0.00016328300550156328,0.9291886516015206,0.38431647254482587,,,,,,,,,,
curve,H,raw,0.9765621423666743,0.4189599223201719,0.00019446344142336756,0.9231433233905012,0.4189599223201719,,,,,,,,,,
curve,H,raw,0.9687495231555657,0.4427641383101404,0.00021959257081843075,0.9183078228660455,0.4427641383101404,,,,,,,,,,
curve,H,raw,0.9609369039444572,0.4609220779664948,0.00024080247819775015,0.9143201471838991,0.4609220779664948,,,,,,,,,,
curve,H,raw,0.9531242847333485,0.4756888317213774,0.00025911413736374637,0.9109918776061654,0.4756888317213774,,,,,,,,,,
curve,H,raw,0.94531166552224,0.4880456577305638,0.0002756039909841669,0.9080249923786088,0.4880456577305638,,,,,,,,,,
curve,H,raw,0.9374990463111315,0.4986007121894587,0.00029095846626743033,0.9052471559300544,0.4986007121894587,,,,,,,,,,
curve,H,raw,0.9296864271000229,0.5079248410974296,0.00030479274796033225,0.9028247607163009,0.5079248410974296,,,,,,,,,,
curve,H,raw,0.9218738078889143,0.5162136120653712,0.00031767192512838904,0.9005913584211348,0.5162136120653712,,,,,,,,,,
curve,H,raw,0.9140611886778057,0.523711095959026,0.0003299721460145978,0.8984612446806581,0.523711095959026,,,,,,,,,,
curve,H,raw,0.9062485694666972,0.5304745017456508,0.00034136753103516384,0.8965182395568468,0.5304745017456508,,,,,,,,,,
curve,H,raw,0.8984359502555886,0.5366919349969328,0.00035221342760858665,0.8946833196585573,0.5366919349969328,,,,,,,,,,
curve,H,raw,0.89062333104448,0.5424066133566149,0.00036286518315336577,0.8928602136889493,0.5424066133566149,,,,,,,,,,
curve,H,raw,0.8828107118333715,0.5477021738474803,0.00037284611210809947,0.8911824908507188,0.5477021738474803,,,,,,,,,,
curve,H,raw,0.8749980926222629,0.5527228825608723,0.0003823590225116386,0.889614341032901,0.5527228825608723,,,,,,,,,,
curve,H,raw,0.8671854734111544,0.5573658255393888,0.000391568587557922,0.8880894111585601,0.5573658255393888,,,,,,,,,,
curve,H,raw,0.8593728542000457,0.5617877056063855,0.0004003725365265035,0.8866570061157862,0.5617877056063855,,,,,,,,,,
curve,H,raw,0.8515602349889372,0.5659847917422587,0.0004086755323051027,0.8853355575766124,0.5659847917422587,,,,,,,,,,
curve,H,raw,0.8437476157778286,0.5699477563979991,0.0004170825322061896,0.883969724061906,0.5699477563979991,,,,,,,,,,
curve,H,raw,0.8359349965667201,0.5736961874265262,0.0004251844533479793,0.8826624430267845,0.5736961874265262,,,,,,,,,,
curve,H,raw,0.8281223773556114,0.5773186965434279,0.00043318930397544714,0.8813765441621474,0.5773186965434279,,,,,,,,,,
curve,H,raw,0.8203097581445029,0.5807384869285283,0.00044115775316004433,0.8800822307275855,0.5807384869285283,,,,,,,,,,
curve,H,raw,0.8124971389333944,0.5840547415196257,0.0004488644586363809,0.8788500037194148,0.5840547415196257,,,,,,,,,,
curve,H,raw,0.8046845197222858,0.5872267300193795,0.0004565884981331321,0.8776046180203346,0.5872267300193795,,,,,,,,,,
curve,H,raw,0.7968719005111772,0.5903408877152759,0.00046378905021336194,0.8764876439173304,0.5903408877152759,,,,,,,,,,
curve,H,raw,0.7890592813000686,0.5933033172806215,0.00047107280559158195,0.8753380174505307,0.5933033172806215,,,,,,,,,,
curve,H,raw,0.7812466620889601,0.5961718495192737,0.00047821962220852656,0.874216947668852,0.5961718495192737,,,,,,,,,,
curve,H,raw,0.7734340428778516,0.5989629631011488,0.0004849174876967327,0.8731976206847942,0.5989629631011488,,,,,,,,,,
curve,H,raw,0.7656214236667429,0.6017009096536712,0.000491939499366692,0.8721067417502539,0.6017009096536712,,,,,,,,,,
curve,H,raw,0.7578088044556344,0.604322572761878,0.0004989684446448172,0.8710052542543776,0.604322572761878,,,,,,,,,,
curve,H,raw,0.7499961852445258,0.6069401939321807,0.0005057304460085575,0.8699749759898745,0.6069401939321807,,,,,,,,,,
curve,H,raw,0.7421835660334173,0.6095316979652574,0.0005123607088171466,0.8689803435719335,0.6095316979652574,,,,,,,,,,
curve,H,raw,0.7343709468223086,0.6120184225311299,0.0005189493699767406,0.8679859458753931,0.6120184225311299,,,,,,,,,,
curve,H,raw,0.7265583276112001,0.6144616185349592,0.0005256264346404492,0.8669742760956941,0.6144616185349592,,,,,,,,,,
curve,H,raw,0.7187457084000916,0.6167854219114698,0.0005321977617796287,0.8659735400053868,0.6167854219114698,,,,,,,,,,
curve,H,raw,0.710933089188983,0.6190461088730176,0.0005387066864453155,0.8649842189064669,0.6190461088730176,,,,,,,,,,
curve,H,raw,0.7031204699778744,0.621352811743011,0.0005450024026599027,0.864058981622721,0.621352811743011,,,,,,,,,,
curve,H,raw,0.6953078507667658,0.6235196013778656,0.0005511559799070899,0.8631465002421047,0.6235196013778656,,,,,,,,,,
curve,H,raw,0.6874952315556573,0.6256957185617292,0.0005574118278747235,0.8622222184137588,0.6256957185617292,,,,,,,,,,
curve,H,raw,0.6796826123445487,0.6278143158600358,0.0005634960690402524,0.861331728310328,0.6278143158600358,,,,,,,,,,
curve,H,raw,0.6718699931334401,0.6298800570472898,0.0005696565798956055,0.8604228914357795,0.6298800570472898,,,,,,,,,,
curve,H,raw,0.6640573739223316,0.631946109152844,0.0005756368169386466,0.8595597564070033,0.631946109152844,,,,,,,,,,
curve,H,raw,0.656244754711223,0.6339428264774294,0.0005816621224347658,0.8586812875816278,0.6339428264774294,,,,,,,,,,
curve,H,raw,0.6484321355001145,0.6358972589131726,0.000587732496383963,0.8577926473585803,0.6358972589131726,,,,,,,,,,
curve,H,raw,0.6406195162890058,0.6378644389992286,0.0005939571431148503,0.8568818697153626,0.6378644389992286,,,,,,,,,,
curve,H,raw,0.6328068970778973,0.6397905778696438,0.000600025783662006,0.8560027455385,0.6397905778696438,,,,,,,,,,
curve,H,raw,0.6249942778667887,0.6416657261388082,0.0006060476223540422,0.8551304070390174,0.6416657261388082,,,,,,,,,,
curve,H,raw,0.6171816586556802,0.6434786907479109,0.0006119723905317566,0.8542726282828667,0.6434786907479109,,,,,,,,,,
curve,H,raw,0.6093690394445715,0.6453199489223417,0.0006180496980891196,0.8533959792474103,0.6453199489223417,,,,,,,,,,
curve,H,raw,0.601556420233463,0.6471204767994319,0.0006240472691525754,0.8525342507556323,0.6471204767994319,,,,,,,,,,
curve,H,raw,0.5937438010223545,0.6489396597745407,0.0006299997717629533,0.8516916957273635,0.6489396597745407,,,,,,,,,,
curve,H,raw,0.5859311818112459,0.6507268181647177,0.0006358985389100457,0.8508599791281214,0.6507268181647177,,,,,,,,,,
curve,H,raw,0.5781185626001373,0.6524545911595356,0.0006420105145082379,0.8499804767559983,0.6524545911595356,,,,,,,,,,
curve,H,raw,0.5703059433890287,0.6541829859909541,0.0006478416789757135,0.8491630595998426,0.6541829859909541,,,,,,,,,,
curve,H,raw,0.5624933241779202,0.6559098262308711,0.0006538635176677497,0.8483136782447183,0.6559098262308711,,,,,,,,,,
curve,H,raw,0.5546807049668117,0.6576901444184413,0.0006597293501760545,0.8475115118195226,0.6576901444184413,,,,,,,,,,
curve,H,raw,0.546868085755703,0.6594204047596617,0.00066586906020691,0.846651922938739,0.6594204047596617,,,,,,,,,,
curve,H,raw,0.5390554665445945,0.6611404047969719,0.0006717591603437953,0.8458449849837905,0.6611404047969719,,,,,,,,,,
curve,H,raw,0.5312428473334859,0.6628193636186412,0.0006777029959439657,0.8450252677701852,0.6628193636186412,,,,,,,,,,
curve,H,raw,0.5234302281223774,0.6644781127507906,0.0006837092340176289,0.8441952631144436,0.6644781127507906,,,,,,,,,,
curve,H,raw,0.5156176089112687,0.6661175849483207,0.0006898108092035723,0.8433489268500833,0.6661175849483207,,,,,,,,,,
curve,H,raw,0.5078049897001602,0.6677356037831295,0.0006958742495446037,0.8425114374867109,0.6677356037831295,,,,,,,,,,
curve,H,raw,0.49999237048905165,0.6693284382356133,0.0007020763620489518,0.8416483076111073,0.6693284382356133,,,,,,,,,,
curve,H,raw,0.4921950102998398,0.6709327766652085,0.0007082490067185953,0.8407988946797501,0.6709327766652085,,,,,,,,,,
curve,H,raw,0.4843823910887312,0.6725511064183176,0.0007142708454106315,0.8399864086906715,0.6725511064183176,,,,,,,,,,
curve,H,raw,0.47656977187762267,0.6741538902564113,0.0007206064298721722,0.8391174871371158,0.6741538902564113,,,,,,,,,,
curve,H,raw,0.4687571526665141,0.6757722200095203,0.0007267288058826132,0.8382973569862099,0.6757722200095203,,,,,,,,,,
curve,H,raw,0.46094453345540554,0.6773706509914096,0.0007332567979707562,0.8374034114779625,0.6773706509914096,,,,,,,,,,
curve,H,raw,0.45313191424429694,0.6789451412641752,0.0007398073242854381,0.8365065781207384,0.6789451412641752,,,,,,,,,,
curve,H,raw,0.4453192950331884,0.6805566308146774,0.0007461238413245228,0.8356663366801576,0.6805566308146774,,,,,,,,,,
curve,H,raw,0.4375066758220798,0.6822063633161178,0.0007526327659902096,0.8348042125127456,0.6822063633161178,,,,,,,,,,
curve,H,raw,0.42969405661097126,0.6838333987816355,0.0007593548991069962,0.8339045244478518,0.6838333987816355,,,,,,,,,,
curve,H,raw,0.42188143739986267,0.6855092484203018,0.0007662555726340532,0.8329885199040971,0.6855092484203018,,,,,,,,,,
curve,H,raw,0.41406881818875413,0.6871334856211169,0.0007729742389467569,0.8321013787198667,0.6871334856211169,,,,,,,,,,
curve,H,raw,0.40625619897764553,0.6887785543480525,0.0007798731790717725,0.8311921035954725,0.6887785543480525,,,,,,,,,,
curve,H,raw,0.398443579766537,0.6903956404279604,0.0007868067872376174,0.8302772121294609,0.6903956404279604,,,,,,,,,,
curve,H,raw,0.3906309605554284,0.6920714900666267,0.0007938201318973694,0.8293663952903478,0.6920714900666267,,,,,,,,,,
curve,H,raw,0.38281834134431986,0.6936798704341259,0.0008009166798551117,0.8284333729280978,0.6936798704341259,,,,,,,,,,
curve,H,raw,0.37500572213321126,0.6952879398833248,0.000808141499563922,0.8274840265728557,0.6952879398833248,,,,,,,,,,
curve,H,raw,0.3671931029221027,0.6968823289273101,0.0008154269883441835,0.8265277374190018,0.6968823289273101,,,,,,,,,,
curve,H,raw,0.3593804837109941,0.6985177591869363,0.0008227488785673156,0.8255800963666992,0.6985177591869363,,,,,,,,,,
curve,H,raw,0.3515678644998856,0.7001584750576676,0.0008301609056966038,0.8246244266842437,0.7001584750576676,,,,,,,,,,
curve,H,raw,0.343755245288777,0.7018122494970119,0.0008378502771525257,0.8236300345182407,0.7018122494970119,,,,,,,,,,
