map,score_space,auroc,ap,pixel_count,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,near_p95,near_p99,far_p95,far_p99,near_gt_positive_inversion,near_gt_interior_inversion,near_p95_over_interior_p95,near_p99_over_interior_p99,near_gt_far_p95,near_gt_interior_p95,fusion_near_p95_delta_vs_worst_stage,fusion_near_p99_delta_vs_worst_stage,fusion_ratio_p95_delta_vs_worst_stage,fusion_ratio_p99_delta_vs_worst_stage
stage_1_resized,anomaly_probability,0.8812992266809767,0.35170974321142046,25759104,0.09915481626267936,1.2057765843564994e-06,0.188716578978046,1.52569867850616e-06,0.018864619218654458,1.145792452916794e-06,0.008704146370291693,0.15817969173193,6.320698986428397e-08,5.275389088410522e-07,0.31019222886688763,0.20815531078864075,0.008711424420635487,0.1581939292851369,True,False,,,,
stage_2_resized,anomaly_probability,0.8287975383718402,0.3395474243099647,25759104,0.3096202045815763,5.791642252006568e-05,0.4145842729756967,0.00010584191477391869,0.2155221712423948,5.5660690122749656e-05,0.9557069361209868,0.9997995615005493,4.794501684557417e-09,4.211067452075684e-08,0.30271124924741283,0.19820798842734966,0.9557073918377835,0.9997995615005493,True,False,,,,
stage_3_resized,anomaly_probability,0.7454476545375917,0.3000925658090088,25759104,0.01886238849549492,3.9435062149095756e-07,0.03157377240253766,1.8424064762712078e-07,0.007466905784393716,4.748735022985784e-07,0.016371519491076417,0.08413800165057189,1.677548944201135e-08,2.6473740497579062e-08,0.3397200339718025,0.24993279431904505,0.07234773073209154,0.23786997739392482,True,False,,,,
equal_pre_softmax_fused,logit_margin,0.870249505691107,0.39096895266986886,25759104,-10.53549710086754,-12.182928085327148,-9.367147730453762,-12.173531532287598,-11.582897222556854,-12.184019088745117,-2.9265753269195574,-0.7681777119636455,-17.98992347717285,-16.742724571228024,0.29284810286878354,0.1938897529910015,-0.4814038284583512,-0.10352117049098439,True,False,,,,
final_production_fused,anomaly_probability,0.8702495056911068,0.39096895266986886,25759104,0.13351122233112697,5.11704593009199e-06,0.23791767951710008,5.165383981875493e-06,0.03991307546602469,5.111466180096613e-06,0.05085538029670707,0.3168737697601336,1.538422189639732e-08,5.3546010683192163e-08,0.29284810286878354,0.1938897529910015,0.050971832283560094,0.31706352729626053,True,False,-0.9048515558242797,-0.6829257917404157,-0.9047355595542235,-0.6827360342042887
