parameter_name,module_name,stage,shape,requires_grad,selected_for_freeze
image_adapter.lora_adapters.0.conv_lora_blocks.1.conv_lora_B.weight,image_adapter.lora_adapters.0.conv_lora_blocks.1.conv_lora_B,stage1,"[16,8,5,5]",true,false
image_adapter.lora_adapters.0.conv_lora_blocks.1.lora_A,image_adapter.lora_adapters.0.conv_lora_blocks.1,stage1,"[1024,16]",true,false
image_adapter.lora_adapters.0.conv_lora_blocks.1.lora_B,image_adapter.lora_adapters.0.conv_lora_blocks.1,stage1,"[16,1024]",true,false
image_adapter.lora_adapters.0.fusion_conv.weight,image_adapter.lora_adapters.0.fusion_conv,stage1,"[1024,2048,1,1]",true,false
image_adapter.lora_adapters.1.conv_lora_blocks.0.conv_lora_A.weight,image_adapter.lora_adapters.1.conv_lora_blocks.0.conv_lora_A,stage2,"[8,16,3,3]",true,true
image_adapter.lora_adapters.1.conv_lora_blocks.0.conv_lora_B.weight,image_adapter.lora_adapters.1.conv_lora_blocks.0.conv_lora_B,stage2,"[16,8,3,3]",true,true
image_adapter.lora_adapters.1.conv_lora_blocks.0.lora_A,image_adapter.lora_adapters.1.conv_lora_blocks.0,stage2,"[1024,16]",true,true
image_adapter.lora_adapters.1.conv_lora_blocks.0.lora_B,image_adapter.lora_adapters.1.conv_lora_blocks.0,stage2,"[16,1024]",true,true
image_adapter.lora_adapters.1.conv_lora_blocks.1.conv_lora_A.weight,image_adapter.lora_adapters.1.conv_lora_blocks.1.conv_lora_A,stage2,"[8,16,5,5]",true,true
image_adapter.lora_adapters.1.conv_lora_blocks.1.conv_lora_B.weight,image_adapter.lora_adapters.1.conv_lora_blocks.1.conv_lora_B,stage2,"[16,8,5,5]",true,true
image_adapter.lora_adapters.1.conv_lora_blocks.1.lora_A,image_adapter.lora_adapters.1.conv_lora_blocks.1,stage2,"[1024,16]",true,true
image_adapter.lora_adapters.1.conv_lora_blocks.1.lora_B,image_adapter.lora_adapters.1.conv_lora_blocks.1,stage2,"[16,1024]",true,true
