scope,arm,map,score_space,auroc,ap,pixel_count,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,near_p95,near_p99,far_p95,far_p99,near_gt_positive_inversion,near_gt_interior_inversion,near_p95_over_interior_p95,near_p99_over_interior_p99,near_gt_far_p95,near_gt_interior_p95,stage,near_mean,far_mean,checkpoint,resolution,bin,count,mean,median,p90,p95,p99,max,distance_spearman,distance_linear_slope,sample_seed,sample_cap,family,parameter_count,l2_delta,reference_l2,final_l2,relative_l2_delta,cosine_to_e10
distance,CANDIDATE,CANDIDATE_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,2,9000,0.002848867631210148,3.312698737545361e-08,9.158771263173552e-06,3.713828864420063e-05,0.0025200616358780534,0.8843305110931396,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,3-4,18627,0.0018034565065209694,3.299311757132273e-08,5.001035606255759e-06,1.7650888003117875e-05,0.0015000336896628197,0.79449862241745,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,5-8,41079,0.00045837446920898536,2.1089350710212784e-08,1.5642570815543884e-06,4.792089248439878e-06,0.0001804758762591536,0.4971469044685364,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,9-16,98668,1.4236097356302828e-05,1.0754460433304303e-08,2.2814607092414031e-07,5.603378809837518e-07,5.165707962078177e-06,0.05294991657137871,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,>16,12652272,4.094821769222308e-09,3.2707012653787615e-09,4.667528141766297e-09,5.181739481940895e-09,6.113038963917461e-09,0.00012175103620393202,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_2_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,ALL_OUTSIDE,200000,,,,,,,-0.07596572546561263,-1.3510498931272724e-07,1729,200000,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,1,9875,0.3467792589034317,0.0009709816076792777,0.9999502897262573,0.9999932050704956,0.9999990463256836,0.9999998807907104,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,2,9000,0.3228695026428366,0.0003628945705713704,0.999935758113861,0.9999917805194855,0.9999986898899078,0.9999998807907104,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,3-4,18627,0.28799855539075886,0.0001640843547647819,0.9998574256896973,0.999986732006073,0.9999983310699463,0.9999998807907104,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,5-8,41079,0.22073210383600658,2.2266282030614093e-05,0.998554790019989,0.9999377846717834,0.999996542930603,0.9999998807907104,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,9-16,98668,0.1287066235747964,1.2386182106638444e-06,0.8772945940494538,0.9982854098081588,0.999983549118042,0.9999998807907104,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,>16,12652272,0.0023454413130191932,5.245320622293548e-09,1.0036187880757552e-08,1.3745867555314817e-08,3.658829691630366e-06,0.9999997615814209,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_stage_3_resized,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,ALL_OUTSIDE,200000,,,,,,,-0.19918281375616906,-7.967960587091597e-05,1729,200000,,,,,,,
distance,CANDIDATE,CANDIDATE_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,1,9875,0.034852060000279704,1.1276736586296465e-05,0.08719696551561357,0.19498326480388642,0.7129671680927276,0.9651241302490234,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,2,9000,0.027416883879161236,8.372744105145102e-06,0.05738062635064136,0.1570695526897906,0.6053095698356635,0.950687050819397,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,3-4,18627,0.01686470839429493,5.87542490393389e-06,0.024936613067984607,0.08871583566069605,0.4163402682542805,0.9300827383995056,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,5-8,41079,0.00568026073843608,1.8923907418866293e-06,0.0048341157846153,0.01974721830338236,0.13165201336145413,0.8137901425361633,,,,,,,,,,,
distance,CANDIDATE,CANDIDATE_final_production_fused,,,,,,,,,,,,,,,,,,,,,,,,SAFE_ANCHOR_E10,518x518,9-16,98668,0.0008091848884798574,3.1343716955234413e-07,0.00028765379101969334,0.0015979048854205717,0.01877622921019794,0.30188941955566406,,,,,,,,,,,
