transform,n,l1,rmse,pearson,spearman,top1_overlap,feature_cosine,routing_abnormal_l1,routing_raw_score_l1,routing_entropy_abs_delta,gap_ss2d_disagreement_abs_delta,margin_abs_delta,stage_margin_rank_preserved,anomalous_pixel_ap_delta,record_type,stage,linear_CKA,clean_effective_rank,perturbed_effective_rank,effective_rank_ratio,index,category,label,clean_margin,perturbed_margin,clean_pixel_ap,perturbed_pixel_ap,pixel_ap_delta,setting,pixel_auroc,pixel_ap
brightness,,2.9353006387604223e-10,6.5217821027048e-10,0.959505014315848,0.9871645304495997,0.5970928065598211,0.999968409538269,0.00029794809718926746,0.003051201502482096,0.0004258006811141968,0.00033073623975118,0.0001376370588938395,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.009915252526601,,,,,,
brightness,,3.8902087357543724e-10,1.0259390374974676e-09,0.9863175443660094,0.9701513853454616,0.9522922102124487,0.9998034238815308,0.0013125940846900146,0.007384141286214192,0.0019435286521911621,0.0014584263165791829,0.0015113552411397297,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.0091309348742168,,,,,,
brightness,,3.5704775970055356e-10,8.314968697250264e-10,0.9714424475720809,0.9755657311421648,0.8669399925456579,0.9999532699584961,0.0002882974222302437,0.004407068093617757,0.0004074672857920329,0.0003203252951304118,0.0001544952392578125,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.008406162261963,,,,,,
brightness,,2.1158496833286237e-10,5.687632031233854e-10,0.9729111553379233,0.9863734462861607,0.9049571375326128,0.9999750852584839,0.0003318482389052709,0.0014748573303222656,0.000479509433110555,0.000368724266688029,0.00011650721232096355,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.0086880723635356,,,,,,
brightness,,3.141750204179204e-05,0.0007473541534884046,0.992046154437071,0.9766502089975426,0.9720462169213567,0.9998440742492676,0.0013588607932130496,0.003167231877644857,0.0019479642311731975,0.001509837806224823,0.00045096874237060547,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.0108871857325237,0.8371158566584326,0.8108443164617146,-0.026271540196717957,,,
brightness,,4.356002935594697e-06,9.910368486794995e-05,0.9836142581662265,0.9833832542197448,0.9575102497204622,0.9999179840087891,0.000793935110171636,0.004787365595499675,0.0012117127577463787,0.0008821686108907064,0.0004975497722625732,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.0093404750029247,0.6083958137002626,0.5413144844205133,-0.0670813292797493,,,
brightness,,7.182200747705805e-08,1.6489097795792534e-06,0.9907853360259333,0.9854048983986499,0.963473723443906,0.9998347163200378,0.0014304045277337234,0.010344346364339193,0.0020664681990941367,0.0015893479188283284,0.0011150836944580078,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.011132727066676,0.562022013237768,0.5441526652265302,-0.01786934801123785,,,
brightness,,1.2235091457509106e-06,2.7450912547811225e-05,0.9939942356234033,0.9776722382717677,0.9869549012299664,0.9998749494552612,0.0012227751625080903,0.00517733891805013,0.001818731427192688,0.0013586531082789104,0.0004912714163462321,1.0,,,,,,,,3,candle,1,-1.0122383137543995,-1.0118704835573833,0.24731700167458026,0.25453222857159685,0.007215226897016591,,,
contrast,,2.6069484099706294e-10,5.820067249817573e-10,0.9665618670325102,0.98778928610772,0.6526276556093925,0.9999723434448242,0.0004378102409342925,0.0013494491577148438,0.0006398459275563558,0.00048644840717315674,8.081396420796712e-05,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.0100501775741577,,,,,,
contrast,,4.157388713668875e-10,1.1838120101019406e-09,0.9877137679210422,0.9704265350616924,0.9500559075661573,0.9998809099197388,0.0010027078290780385,0.0040750205516815186,0.0014576663573582966,0.0011140257120132446,0.000919799009958903,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.0086249709129333,,,,,,
contrast,,2.6480256610243345e-10,7.01555142256108e-10,0.9812718007326637,0.9849926726455785,0.8814759597465524,0.9999359846115112,0.0006121241798003515,0.005051612854003906,0.0009153087933858236,0.0006801535685857137,0.0008911887804667155,1.0,,,,,,,,9,candle,0,-1.0082555611928303,-1.007431964079539,,,,,,
contrast,,2.83058820616387e-10,7.154796863995619e-10,0.9768144767164063,0.9776319827147624,0.9180022363026463,0.9999675750732422,0.000899300134430329,0.003902435302734375,0.0013100504875183105,0.0009992346167564392,0.00026143590609232586,1.0,,,,,,,,10,candle,0,-1.0086678862571716,-1.008929322163264,,,,,,
contrast,,1.5104153318164042e-05,0.00041065992106911287,0.9986658982039058,0.9787430981935827,0.9821095788296683,0.9998967051506042,0.0010400100921591122,0.0023529728253682456,0.0014694631099700928,0.0011555453141530354,0.00038612882296244305,1.0,,,,,,,,0,candle,1,-1.011217753092448,-1.0109871725241344,0.8371158566584326,0.8342099203933151,-0.0029059362651174814,,,
contrast,,4.5215149610838505e-06,0.00010422668343665762,0.9832074124953042,0.984895815078895,0.9571375326127469,0.9998990893363953,0.0011045639403164387,0.004536588986714681,0.0016446610291798909,0.0012273192405700684,0.000782241423924764,1.0,,,,,,,,1,candle,1,-1.0090133150418599,-1.0097955564657848,0.6083958137002626,0.5456248554478443,-0.0627709582524183,,,
contrast,,5.193389092286004e-07,1.029218952205766e-05,0.9958461527475472,0.9846016246367743,0.9739098024599329,0.9998153448104858,0.0022806228759388127,0.0069777170817057295,0.0032788564761479697,0.002534039318561554,0.0009621083736419678,1.0,,,,,,,,2,candle,1,-1.01030628879865,-1.011268397172292,0.562022013237768,0.5644913309690475,0.0024693177312794523,,,
contrast,,3.8109397863045277e-06,9.86575602341193e-05,0.9850054801828897,0.9769007890166712,0.9802459932910921,0.999854564666748,0.0014428853367765744,0.004923184712727864,0.0020861774682998657,0.0016032134493192036,0.0009012321631113688,1.0,,,,,,,,3,candle,1,-1.0122383137543995,-1.0115172664324443,0.24731700167458026,0.25862665711463334,0.011309655440053079,,,
gamma,,1.672686508350183e-10,3.3340263696852495e-10,0.9954454277083813,0.9931569668937432,0.9131569139023481,0.9999926090240479,0.000199140515178442,0.0013256072998046875,0.0002851933240890503,0.00022127230962117514,0.00024495522181193036,1.0,,,,,,,,4,candle,0,-1.0099693636099498,-1.0099263886610668,,,,,,
gamma,,1.3487522726242317e-10,2.644103142286976e-10,0.9957087342791977,0.9841189933730482,0.9668281774133433,0.9999949336051941,0.00031594202543298405,0.001654525597890218,0.00046466290950775146,0.0003510192036628723,9.225805600484212e-05,1.0,,,,,,,,5,candle,0,-1.0077207485834758,-1.0078130066394806,,,,,,
