cell,metric,value
C_EQ,final_auroc,0.8586242108010145
C_EQ,final_ap,0.36735722441869584
C_EQ,stage1_auroc,0.8952258622573654
C_EQ,stage1_ap,0.31143993600969505
C_EQ,stage2_auroc,0.7584629469002174
C_EQ,stage2_ap,0.3656722202635266
C_EQ,stage3_auroc,0.7409282716819409
C_EQ,stage3_ap,0.2883014235044692
C_EQ,R_late_mean,0.6573854088783264
C_EQ,positive_mean,0.14136296688673047
C_EQ,positive_median,9.123033350988408e-07
C_EQ,positive_p95,0.9965400993824005
C_EQ,positive_p99,0.9999213695526123
C_EQ,interior_mean,0.24051431063570677
C_EQ,interior_median,4.4451421388203016e-07
C_EQ,interior_p95,0.9996470451354981
C_EQ,interior_p99,0.9999511849880218
C_EQ,boundary_mean,0.05247591637070428
C_EQ,boundary_median,1.0378893193774275e-06
C_EQ,boundary_p95,0.44612812995910645
C_EQ,boundary_p99,0.9676061630249024
C_EQ,negative_mean,3.9395804578089684e-05
C_EQ,negative_median,1.8155242642592384e-08
C_EQ,negative_p95,4.1764526059751006e-08
C_EQ,negative_p99,1.3192975018228116e-07
C_EQ,near_background_mean,0.020114190932162407
C_EQ,near_background_median,1.2503797961471719e-06
C_EQ,near_background_p95,0.053023925423622054
C_EQ,near_background_p99,0.7473094570636751
C_EQ,far_background_mean,1.1340722129735278e-05
C_EQ,far_background_median,1.8146794289464196e-08
C_EQ,far_background_p95,4.133649156301544e-08
C_EQ,far_background_p99,1.207593969354551e-07
C_W,final_auroc,0.8629747077329423
C_W,final_ap,0.3688076672325097
C_W,stage1_auroc,0.8952258622573654
C_W,stage1_ap,0.31143993600969505
C_W,stage2_auroc,0.7584629469002174
C_W,stage2_ap,0.3656722202635266
C_W,stage3_auroc,0.7409282716819409
C_W,stage3_ap,0.2883014235044692
C_W,R_late_mean,0.6173033714294434
C_W,positive_mean,0.140743905801909
C_W,positive_median,8.995712050818838e-07
C_W,positive_p95,0.9969175457954407
C_W,positive_p99,0.9999300241470337
C_W,interior_mean,0.2404258159443798
C_W,interior_median,5.59334097260944e-07
C_W,interior_p95,0.9996696174144745
C_W,interior_p99,0.9999572646617889
C_W,boundary_mean,0.05138121390738507
C_W,boundary_median,1.0670412393665174e-06
C_W,boundary_p95,0.42669978737831116
C_W,boundary_p99,0.9661677002906803
C_W,negative_mean,3.76267325843388e-05
C_W,negative_median,1.68912652753761e-08
C_W,negative_p95,4.1869885336609514e-08
C_W,negative_p99,1.4380521406565127e-07
C_W,near_background_mean,0.019406512216543447
C_W,near_background_median,1.2547529877338093e-06
C_W,near_background_p95,0.04961974360048768
C_W,near_background_p99,0.728516005277635
C_W,far_background_mean,1.0558178423178773e-05
C_W,far_background_median,1.688533934895986e-08
C_W,far_background_p95,4.139558740234861e-08
C_W,far_background_p99,1.3118710327830763e-07
T_EQ,final_auroc,0.8651521222234992
T_EQ,final_ap,0.3611152677527105
T_EQ,stage1_auroc,0.8950547322313427
T_EQ,stage1_ap,0.2986537187491768
T_EQ,stage2_auroc,0.7390371230470038
T_EQ,stage2_ap,0.34803912683719496
T_EQ,stage3_auroc,0.8292943730461778
T_EQ,stage3_ap,0.300662460781894
T_EQ,R_late_mean,0.6662814617156982
T_EQ,positive_mean,0.15734276769529768
T_EQ,positive_median,2.876059625123162e-06
T_EQ,positive_p95,0.9978278875350952
T_EQ,positive_p99,0.9998915195465088
T_EQ,interior_mean,0.2589653351069203
T_EQ,interior_median,2.3561347006761935e-06
T_EQ,interior_p95,0.9996490478515625
T_EQ,interior_p99,0.9999359846115112
T_EQ,boundary_mean,0.06624031823224186
T_EQ,boundary_median,2.89919194074173e-06
T_EQ,boundary_p95,0.6204302906990051
T_EQ,boundary_p99,0.9805181980133058
T_EQ,negative_mean,6.42943840728237e-05
T_EQ,negative_median,1.1511595232605032e-08
T_EQ,negative_p95,2.4174955370881435e-08
T_EQ,negative_p99,1.0718016312694138e-07
T_EQ,near_background_mean,0.02926759271388125
T_EQ,near_background_median,2.7106113975605695e-06
T_EQ,near_background_p95,0.16869955807924247
T_EQ,near_background_p99,0.7935448527336123
T_EQ,far_background_mean,2.348196545536625e-05
T_EQ,far_background_median,1.1490426388149899e-08
T_EQ,far_background_p95,2.3927787751176766e-08
T_EQ,far_background_p99,9.226819791763329e-08
T_W,final_auroc,0.8688290333246864
T_W,final_ap,0.3619623353317852
T_W,stage1_auroc,0.8950547322313427
T_W,stage1_ap,0.2986537187491768
T_W,stage2_auroc,0.7390371230470038
T_W,stage2_ap,0.34803912683719496
T_W,stage3_auroc,0.8292943730461778
T_W,stage3_ap,0.300662460781894
T_W,R_late_mean,0.6262476444244385
T_W,positive_mean,0.15133241132779854
T_W,positive_median,2.514997731850599e-06
T_W,positive_p95,0.9975437223911285
T_W,positive_p99,0.9998824238777161
T_W,interior_mean,0.25277915057844264
T_W,interior_median,2.155695142391778e-06
T_W,interior_p95,0.99960777759552
T_W,interior_p99,0.9999313378334045
T_W,boundary_mean,0.06038758803536333
T_W,boundary_median,2.5197318791470025e-06
T_W,boundary_p95,0.5532339215278625
T_W,boundary_p99,0.9760557055473328
T_W,negative_mean,5.460754026163797e-05
T_W,negative_median,1.1369259311777569e-08
T_W,negative_p95,2.4978914936468755e-08
T_W,negative_p99,1.0716654429643483e-07
T_W,near_background_mean,0.02549616676437157
T_W,near_background_median,2.296950697200373e-06
T_W,near_background_p95,0.11891197189688678
T_W,near_background_p99,0.7512984538078311
T_W,far_background_mean,1.9052256279370697e-05
T_W,far_background_median,1.1348114448139768e-08
T_W,far_background_p95,2.470768656337441e-08
T_W,far_background_p99,9.341786366690062e-08
