cohort,arm,map,auroc,ap,pixel_count,pixel_metric_cap,positive_mean,positive_median,positive_p95,positive_p99,interior_mean,interior_median,interior_p95,interior_p99,boundary_mean,boundary_median,boundary_p95,boundary_p99,near_mean,near_median,near_p95,near_p99,far_mean,far_median,far_p95,far_p99,near_gt_positive_inversion,near_gt_interior_inversion,anomaly_vs_near_auroc,anomaly_vs_near_ap,anomaly_vs_near_pixel_count,anomaly_vs_near_pixel_metric_cap,interior_vs_near_auroc,interior_vs_near_ap,interior_vs_near_pixel_count,interior_vs_near_pixel_metric_cap,boundary_vs_near_auroc,boundary_vs_near_ap,boundary_vs_near_pixel_count,boundary_vs_near_pixel_metric_cap,replacement_pixel_count_mean,replacement_pixel_count_total
A,baseline,baseline,0.8534049539747756,0.37977857592507713,200000,200000,0.1156146228313446,0.00024587265215814114,0.9377906322479248,0.9984477758407593,0.2576133906841278,0.00235184608027339,0.9980307817459106,0.999405026435852,0.045417603105306625,3.191438736394048e-05,0.32083773612976074,0.8376560211181641,0.013387675397098064,4.126818112126784e-06,0.056493379175662994,0.34622055292129517,6.475138203398956e-09,6.415274977911167e-09,8.009372720607644e-09,9.870838368897239e-09,0.292669791946666,0.19386573201822413,0.032074442353506996,0.5389524495624,131883,200000,0.6136397815646316,0.6086487836486951,49168,200000,0.552918865337618,0.5040694246161244,56788,200000,,
A,local_s1,local_s1,0.8534207967684518,0.34393894406770903,200000,200000,0.1156146228313446,0.00024587265215814114,0.9377906322479248,0.9984477758407593,0.2576133906841278,0.00235184608027339,0.9980307817459106,0.999405026435852,0.045417603105306625,3.191438736394048e-05,0.32083773612976074,0.8376560211181641,0.042411934584379196,6.104103704274166e-06,0.2947407066822052,0.9053513407707214,6.475138203398956e-09,6.415274977911167e-09,8.009372720607644e-09,9.870838368897239e-09,0.3534000125168104,0.25750254397105304,0.08198689564768012,0.5497420306306828,131883,200000,0.6257388719013472,0.562692025562471,49168,200000,0.5611498672937202,0.4416139741652402,56788,200000,373.7395833333333,35879
A,far_s1,far_s1,0.8533744732986892,0.37977803323409387,200000,200000,0.1156146228313446,0.00024587265215814114,0.9377906322479248,0.9984477758407593,0.2576133906841278,0.00235184608027339,0.9980307817459106,0.999405026435852,0.045417603105306625,3.191438736394048e-05,0.32083773612976074,0.8376560211181641,0.013387675397098064,4.126818112126784e-06,0.056493379175662994,0.34622055292129517,6.553264597641828e-09,6.498211302385926e-09,7.896471920787462e-09,9.693397196031128e-09,0.292669791946666,0.19386573201822413,0.036897058698146606,0.5402144021839024,131883,200000,0.6136397815646316,0.6086487836486951,49168,200000,0.552918865337618,0.5040694246161244,56788,200000,373.7395833333333,35879
A,local_s2,local_s2,0.8534110858994365,0.4100859645433572,200000,200000,0.1156146228313446,0.00024587265215814114,0.9377906322479248,0.9984477758407593,0.2576133906841278,0.00235184608027339,0.9980307817459106,0.999405026435852,0.045417603105306625,3.191438736394048e-05,0.32083773612976074,0.8376560211181641,0.002291447017341852,1.120802380683017e-06,0.004589304327964783,0.04930059239268303,6.475138203398956e-09,6.415274977911167e-09,8.009372720607644e-09,9.870838368897239e-09,0.24235413659549124,0.19957211202318498,0.0151665300163091,0.5357282679366268,131883,200000,0.6137334739499494,0.6569552121248841,49168,200000,0.5806305319446248,0.603118095874687,56788,200000,373.7395833333333,35879
A,far_s2,far_s2,0.8533327308777003,0.3797760813571615,200000,200000,0.1156146228313446,0.00024587265215814114,0.9377906322479248,0.9984477758407593,0.2576133906841278,0.00235184608027339,0.9980307817459106,0.999405026435852,0.045417603105306625,3.191438736394048e-05,0.32083773612976074,0.8376560211181641,0.013387675397098064,4.126818112126784e-06,0.056493379175662994,0.34622055292129517,6.750865200189082e-09,6.569614185991668e-09,9.078697793540869e-09,1.1698770840951056e-08,0.292669791946666,0.19386573201822413,0.061885676096223564,0.5449904471545227,131883,200000,0.6136397815646316,0.6086487836486951,49168,200000,0.552918865337618,0.5040694246161244,56788,200000,373.7395833333333,35879
A,local_s3,local_s3,0.8533977364369938,0.36246160724101834,200000,200000,0.1156146228313446,0.00024587265215814114,0.9377906322479248,0.9984477758407593,0.2576133906841278,0.00235184608027339,0.9980307817459106,0.999405026435852,0.045417603105306625,3.191438736394048e-05,0.32083773612976074,0.8376560211181641,0.030685318633913994,8.80744028108893e-06,0.18072861433029175,0.7607163786888123,6.475138203398956e-09,6.415274977911167e-09,8.009372720607644e-09,9.870838368897239e-09,0.39397090811103713,0.2833165174333999,0.052214707482562496,0.5432623625163542,131883,200000,0.6049774544632551,0.5733203575479586,49168,200000,0.5329592545406638,0.44707567694096295,56788,200000,373.7395833333333,35879
A,far_s3,far_s3,0.8535060352931633,0.3797787807026437,200000,200000,0.1156146228313446,0.00024587265215814114,0.9377906322479248,0.9984477758407593,0.2576133906841278,0.00235184608027339,0.9980307817459106,0.999405026435852,0.045417603105306625,3.191438736394048e-05,0.32083773612976074,0.8376560211181641,0.013387675397098064,4.126818112126784e-06,0.056493379175662994,0.34622055292129517,6.216266612568688e-09,6.1938685291806905e-09,7.833324211503623e-09,9.731405015145356e-09,0.292669791946666,0.19386573201822413,0.013697789357862242,0.5349770256679757,131883,200000,0.6136397815646316,0.6086487836486951,49168,200000,0.552918865337618,0.5040694246161244,56788,200000,373.7395833333333,35879
B,baseline,baseline,0.9937527108906099,0.6007498856918347,200000,200000,0.211749866604805,0.0015674529131501913,0.9794155359268188,0.9977192282676697,0.419537216424942,0.27799034118652344,0.9963770508766174,0.9997225403785706,0.1045335978269577,0.0006000041030347347,0.7482122182846069,0.9843742251396179,0.04495726898312569,7.153175101848319e-05,0.3124694526195526,0.906434953212738,6.431287946639941e-09,6.347903536152444e-09,7.978305127664953e-09,9.811743417742491e-09,0.2741551183803277,0.1632304325073779,0.004966309475276001,0.5032220909601272,136985,200000,0.7799809857990543,0.7348223730718975,59334,200000,0.6067117517153856,0.5409001683533174,67972,200000,,
B,local_s1,local_s1,0.993705694249447,0.5724791331744844,200000,200000,0.211749866604805,0.0015674529131501913,0.9794155359268188,0.9977192282676697,0.419537216424942,0.27799034118652344,0.9963770508766174,0.9997225403785706,0.1045335978269577,0.0006000041030347347,0.7482122182846069,0.9843742251396179,0.0679258182644844,0.00012276702909730375,0.5350808501243591,0.931187093257904,6.431287946639941e-09,6.347903536152444e-09,7.978305127664953e-09,9.811743417742491e-09,0.2956398595960033,0.18609357687511607,0.020859428685775085,0.5061548038869909,136985,200000,0.7620640215272333,0.704175793942662,59334,200000,0.5808589910663347,0.4990928157619143,67972,200000,444.0833333333333,42632
B,far_s1,far_s1,0.9937525282573838,0.6007499008692038,200000,200000,0.211749866604805,0.0015674529131501913,0.9794155359268188,0.9977192282676697,0.419537216424942,0.27799034118652344,0.9963770508766174,0.9997225403785706,0.1045335978269577,0.0006000041030347347,0.7482122182846069,0.9843742251396179,0.04495726898312569,7.153175101848319e-05,0.3124694526195526,0.906434953212738,6.502916871653497e-09,6.419289544368212e-09,7.859886963501594e-09,9.322136840239637e-09,0.2741551183803277,0.1632304325073779,0.006913421847296099,0.5037405918820276,136985,200000,0.7799809857990543,0.7348223730718975,59334,200000,0.6067117517153856,0.5409001683533174,67972,200000,444.0833333333333,42632
