attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels,protocol_id,arm,status,global_step_before,global_step_after,scaler_before,scaler_after,base_task_loss,anchor_loss,classification_loss,segmentation_loss,natural_nonfinite_loss_skip,natural_nonfinite_grad_skip,forced_parity_skip,successful_update,selected_grad_norm_before_suppression,stage2_grad_norm_before_suppression,stage3_grad_norm_before_suppression,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,parameters_finite,optimizer_state_finite
10,11,10,"[""pcb1/Data/Images/Normal/0215.JPG"",""pcb3/Data/Images/Normal/1002.JPG"",""pcb2/Data/Images/Anomaly/059.JPG"",""pcb1/Data/Images/Normal/0784.JPG"",""pcb3/Data/Images/Normal/0569.JPG"",""pcb3/Data/Images/Normal/0735.JPG""]",c7361bc88d6c5b6b19b2e3c23e72e62e136b7045039159f0c4fdbf235520166b,53b293e1d77b7dd549cd5313687ae38b4e0bc593afe8e6e905ec4f248be250fc,"[0,0,1,0,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3617,3618,16384.0,16384.0,0.8685416579246521,0.29296720027923584,0.67626953125,0.18865704536437988,0,0,0,1,1.9132223573396623,1.9131618772876875,0.01521249214907791,4.5169112411411245e-06,0.04045341228508304,1,1
11,11,11,"[""pcb1/Data/Images/Anomaly/086.JPG"",""pcb1/Data/Images/Normal/0619.JPG"",""pcb3/Data/Images/Anomaly/044.JPG"",""chewinggum/Data/Images/Anomaly/073.JPG"",""pipe_fryum/Data/Images/Normal/093.JPG"",""chewinggum/Data/Images/Normal/050.JPG""]",ed0aa29f58d98335cd6214be1dcfc263483134f5008fa92770086a4d0e559e0a,8a3b624a3edf986373c73dc61b91ac2bdf0fcf71d435d784a39f07a4be78860d,"[1,0,1,1,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3618,3619,16384.0,16384.0,1.153518557548523,0.29299089312553406,0.6953125,0.45447149872779846,0,0,0,1,0.02667653891731464,0.02654792886287193,0.002616333636770012,7.341805139940085e-06,0.06137895395199392,1,1
12,11,12,"[""chewinggum/Data/Images/Anomaly/063.JPG"",""cashew/Data/Images/Normal/050.JPG"",""macaroni1/Data/Images/Anomaly/044.JPG"",""pcb4/Data/Images/Normal/0964.JPG"",""pipe_fryum/Data/Images/Anomaly/040.JPG"",""candle/Data/Images/Anomaly/092.JPG""]",216898f1303562395163c514ce95a420524a3eeda3f1e731e6110e2c7faeaf95,62c2f45afe03ecdc2560bcfdcc15e434a67b7ad07ee918b700eb48ee3ba5f17a,"[1,0,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3619,3620,16384.0,16384.0,1.1241049766540527,0.2930213510990143,0.655517578125,0.46479296684265137,0,0,0,1,0.42362292142876484,0.4231334502875982,0.020358359647922417,5.201745229862917e-06,0.042754566535091965,1,1
13,11,13,"[""cashew/Data/Images/Normal/352.JPG"",""fryum/Data/Images/Normal/006.JPG"",""candle/Data/Images/Normal/0457.JPG"",""pcb1/Data/Images/Normal/0755.JPG"",""capsules/Data/Images/Anomaly/074.JPG"",""pcb3/Data/Images/Anomaly/096.JPG""]",dee111763ffdad70630e5de7a0a6793f2ee737cd9fb3af008812126d90a3fa32,54d269149f2e2a995ab88f6b5310ba2a979e0240c78be956810927ea7a0cb0e4,"[0,0,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3620,3621,16384.0,16384.0,0.8403364419937134,0.2930487096309662,0.6726887822151184,0.16389524936676025,0,0,0,1,0.19115739937206896,0.18204727749157046,0.05830900524447161,1.8421027687720557e-06,0.03968315787976426,1,1
14,11,14,"[""pcb1/Data/Images/Anomaly/046.JPG"",""capsules/Data/Images/Anomaly/056.JPG"",""cashew/Data/Images/Anomaly/087.JPG"",""pcb4/Data/Images/Normal/0804.JPG"",""pcb3/Data/Images/Anomaly/054.JPG"",""candle/Data/Images/Normal/0024.JPG""]",02b9c4fb5056ee045d103cd6e38cd3f1516ddc15edae853fccf763154ea297aa,abd16a2bfa9eb48161593db7cfbacbb72d7b453c702593fe2ab6b5ac9c3b13b3,"[1,1,1,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3621,3622,16384.0,16384.0,1.4137756824493408,0.2930748462677002,0.6075846552848816,0.802473783493042,0,0,0,1,0.10181561556116485,0.101340971773989,0.00981972565820848,7.000282799417886e-06,0.06568005329555669,1,1
15,11,15,"[""macaroni2/Data/Images/Normal/0900.JPG"",""macaroni2/Data/Images/Normal/0784.JPG"",""macaroni2/Data/Images/Anomaly/060.JPG"",""chewinggum/Data/Images/Anomaly/033.JPG"",""pcb4/Data/Images/Anomaly/057.JPG"",""chewinggum/Data/Images/Anomaly/054.JPG""]",0e44f9ebabbd4a929ac8d82fc0573ff023c7f417ec490e5023184bf32b38d03f,4bf93384a0ca9e659c161eb131e4872ca278fe15870cd2a3caaa244c5032adaa,"[0,0,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3622,3623,16384.0,16384.0,1.2150434255599976,0.2931009829044342,0.6282551884651184,0.5830492973327637,0,0,0,1,0.07192051393052219,0.07087772640539668,0.012202795730166614,1.4796818464228775e-05,0.09242640288760014,1,1
16,11,16,"[""pipe_fryum/Data/Images/Anomaly/024.JPG"",""pcb1/Data/Images/Normal/0974.JPG"",""capsules/Data/Images/Anomaly/059.JPG"",""pipe_fryum/Data/Images/Anomaly/057.JPG"",""pcb4/Data/Images/Anomaly/081.JPG"",""macaroni1/Data/Images/Normal/0187.JPG""]",e6bf100d6331f78da56860927431c7c39c57288e0c7e14a6c57ae4ffb3e2260b,24c1bc491d3fc557b048075d719c44aabd507da56c16ff2399f64d3ec1ea113e,"[1,0,1,1,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3623,3624,16384.0,16384.0,0.9036750197410583,0.2931296229362488,0.601318359375,0.2986488938331604,0,0,0,1,0.21999848926908175,0.21623253432216163,0.040531794696182274,2.2758492374420454e-06,0.028603404269667097,1,1
17,11,17,"[""fryum/Data/Images/Anomaly/070.JPG"",""macaroni1/Data/Images/Normal/0170.JPG"",""capsules/Data/Images/Anomaly/019.JPG"",""chewinggum/Data/Images/Anomaly/089.JPG"",""macaroni2/Data/Images/Normal/0297.JPG"",""macaroni1/Data/Images/Anomaly/078.JPG""]",e4b10be98d68acbdf2ff0503fd50849f069ea234e2e41f0faea158b9f35a1dc2,6731fa3a517b8d0107032f412dd6bed43593fffd7adb3dafbad53cb2aa2cc10a,"[1,0,1,1,0,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3624,3625,16384.0,16384.0,0.9831790328025818,0.2931560277938843,0.5965169072151184,0.3828776776790619,0,0,0,1,0.07373090044113609,0.07328742898280506,0.00807455465960985,2.0767522044207704e-05,0.09999994586744068,1,1
18,11,18,"[""chewinggum/Data/Images/Normal/284.JPG"",""candle/Data/Images/Anomaly/083.JPG"",""cashew/Data/Images/Anomaly/035.JPG"",""fryum/Data/Images/Normal/324.JPG"",""pcb4/Data/Images/Anomaly/051.JPG"",""macaroni1/Data/Images/Anomaly/014.JPG""]",955e3cbb1536bd037287aed8af6a5134e8185d162fa3936d18682904fe6c3a68,a3a47011ed99a801517b91319324cc261e1f423e064c007b9b29d924b3ae2216,"[0,1,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3625,3626,16384.0,16384.0,1.1710549592971802,0.29318687319755554,0.663330078125,0.5039658546447754,0,0,0,1,0.11272337548683185,0.10705343194244021,0.03530045453660057,7.015227656256669e-06,0.0454070629177952,1,1
19,11,19,"[""pcb3/Data/Images/Anomaly/001.JPG"",""pcb1/Data/Images/Anomaly/089.JPG"",""pcb4/Data/Images/Normal/0892.JPG"",""pcb3/Data/Images/Normal/0935.JPG"",""fryum/Data/Images/Anomaly/025.JPG"",""chewinggum/Data/Images/Anomaly/030.JPG""]",e90f95d6ee4fb198738dfd88abbfbb670bae865db5f439165a6bb4240b22f2fb,2b79af7cbdb6c411ecaae02ffb71af410e642199243fc5081d15a5e2c2e7a4be,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_STAGE23_CONVLORA,success,3626,3627,16384.0,16384.0,1.0739431381225586,0.2932155728340149,0.6123046875,0.4579750895500183,0,0,0,1,0.05339074223697075,0.05320780704363198,0.00441595133830509,2.72734441974187e-05,0.0999999458351556,1,1
