cohort,arm,checkpoint,checkpoint_sha256,pixel_ap,pixel_auroc,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,near_p95,near_p99,far_p95,far_p99,anomaly_vs_near_ap,anomaly_vs_near_auroc,interior_vs_near_auroc,boundary_vs_near_auroc,recall_at_1pct_fpr,recall_at_5pct_fpr
A,CONTROL,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,2d4e8d43b2b47edb05ebcc6e3faf25bfd8f7ffd93517d42eb05e8441683e5ba5,0.3683665289656957,0.8109180864108191,0.224125474691391,0.000227497992455028,0.3325909376144409,0.0032405806705355644,0.12688852846622467,9.290828165831044e-05,0.528762936592102,0.8819100856781006,4.629546523915451e-08,4.594453741901816e-07,0.6966388758251397,0.531627525191189,0.5445359853211112,0.5200553678782495,0.5988687014051288,0.6693250184885371
A,CANDIDATE,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,bc79ac7ed75de405a592458563e3a98d742aaa4ab12b4e7a2d5d9adeb21938a3,0.38583021088741515,0.8581913007440893,0.16292621195316315,3.6305602407082915e-05,0.2758904695510864,0.0004470585554372519,0.061656177043914795,1.9543844246072695e-05,0.14385820925235748,0.5572282075881958,2.311860214376793e-08,1.408625251997364e-07,0.6964411785920972,0.533738070662306,0.5488327610649536,0.5202060048565134,0.5970098538905878,0.701185265135616
B,CONTROL,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CONTROL/final.pth,2d4e8d43b2b47edb05ebcc6e3faf25bfd8f7ffd93517d42eb05e8441683e5ba5,0.6151667813404454,0.9899350656011325,0.4957643747329712,0.5231128334999084,0.656943678855896,0.9477026462554932,0.32189005613327026,0.03875426948070526,0.9721465706825256,0.9976049065589905,4.74835424313369e-08,2.8899291919515235e-06,0.7955103312124107,0.7005789646745274,0.7930984938214634,0.6007723541248295,0.9001088860483832,0.9759030440751787
B,CANDIDATE,/workspace/h2_s2_locr_r1/A_S2_LOCR_R1_CANDIDATE/final.pth,bc79ac7ed75de405a592458563e3a98d742aaa4ab12b4e7a2d5d9adeb21938a3,0.6260443412526058,0.9944121878397603,0.28337281942367554,0.04017879068851471,0.42267507314682007,0.3302372097969055,0.1330987811088562,0.0025777448900043964,0.4791204333305359,0.872954785823822,2.3338039056852722e-08,4.058128126871452e-07,0.793653141415116,0.6918089696769052,0.7798077085762029,0.596879218702512,0.9095298963215452,0.973867348388013
