arm,map,score_space,auroc,ap,pixel_count,positive_mean,positive_median,interior_mean,interior_median,boundary_mean,boundary_median,near_p95,near_p99,far_p95,far_p99,near_gt_positive_inversion,near_gt_interior_inversion,near_p95_over_interior_p95,near_p99_over_interior_p99,near_gt_far_p95,near_gt_interior_p95,local_ap_ge_baseline,local_auroc_ge_baseline,local_near_p95_le_baseline,local_near_p99_le_baseline,local_positive_mean_ge_baseline_minus_1e6,local_positive_median_ge_baseline_minus_1e6,local_interior_mean_ge_baseline_minus_1e6,local_interior_median_ge_baseline_minus_1e6,LOCAL_ORACLE_CAUSAL_SUPPORT,GLOBAL_WORSE_THAN_LOCAL
BASELINE,final_production_fused,anomaly_probability,0.8702495056911068,0.39096895266986886,25759104,0.13351122233112697,5.11704593009199e-06,0.23791767951710008,5.165383981875493e-06,0.03991307546602469,5.111466180096613e-06,0.05085538029670707,0.3168737697601336,1.538422189639732e-08,5.3546010683192163e-08,0.29284810286878354,0.1938897529910015,0.050971832283560094,0.31706352729626053,True,False,,,,,,,,,,
LOCAL_ORACLE,final_production_fused,anomaly_probability,0.870253529592339,0.418349414258046,25759104,0.13351122233112697,5.11704593009199e-06,0.23791767951710008,5.165383981875493e-06,0.03991307546602469,5.111466180096613e-06,0.0040029872674494735,0.045526189506053936,1.538422189639732e-08,5.3546010683192163e-08,0.24263550941005038,0.2001608615096404,0.0040121535703641735,0.045553452531189954,True,False,,,,,,,,,,
GLOBAL_STAGE2_REPLACEMENT,final_production_fused,anomaly_probability,0.8697944063129046,0.37521016858150696,25759104,0.061504556422309425,1.0601781923469389e-06,0.12013246509754018,6.751901082679979e-07,0.008945895258244099,1.1680681382131297e-06,0.0040029872674494735,0.045526189506053936,2.7616899878068915e-08,9.64768488387337e-08,0.2951406957889949,0.19886278027814952,0.004436166046497827,0.046285805329897,True,False,,,,,,,,,,
GATE,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,True
