checkpoint,stage,native_resolution,resized_resolution,resized_path,native_boundary_mean,native_boundary_p95,native_boundary_p99,native_interior_mean,native_interior_p95,native_interior_p99,native_near_mean,native_near_p95,native_near_p99,native_far_mean,native_far_p95,native_far_p99,native_near_p95_over_interior_p95,native_near_p99_over_interior_p99,native_interior_mean_minus_near_mean,resized_boundary_mean,resized_boundary_p95,resized_boundary_p99,resized_interior_mean,resized_interior_p95,resized_interior_p99,resized_near_mean,resized_near_p95,resized_near_p99,resized_far_mean,resized_far_p95,resized_far_p99,resized_near_p95_over_interior_p95,resized_near_p99_over_interior_p99,resized_interior_mean_minus_near_mean,delta_near_mean_resized_minus_native,delta_near_p95_resized_minus_native,delta_near_p99_resized_minus_native,delta_boundary_mean_resized_minus_native,delta_interior_mean_resized_minus_native,interpolation_amplification_ratio_p95,interpolation_amplification_ratio_p99
SAFE_ANCHOR_E10,1,37x37,518x518,existing_test_mode_gaussian7_sigma1_then_bilinear_align_corners_true,0.257870796585445,0.9999998807907104,1.0,,,,0.022862921456558754,5.902594930375901e-05,0.9999686217308045,0.0005774614582831746,5.747734732608478e-08,5.838591268911894e-06,,,,0.018864619218654458,0.07717949897050858,0.506312704086305,0.188716578978046,0.9991645395755768,0.9999099993705749,0.005158203369417952,0.008704146370291693,0.15817969173193,1.4129680175412627e-06,6.320698986428397e-08,5.275389088410522e-07,0.008711424420635487,0.1581939292851369,0.18355837560862806,-0.017704718087140803,0.008645120420987933,-0.8417889299988744,-0.23900617736679053,,,
SAFE_ANCHOR_E10,2,37x37,518x518,existing_test_mode_gaussian7_sigma1_then_bilinear_align_corners_true,0.4317083973247984,1.0,1.0,,,,0.052653035736499966,0.8523407816886641,1.0,0.0006317556459423584,4.792325647429152e-09,6.4993579407257585e-09,,,,0.2155221712423948,0.9958394765853882,0.9998879671096802,0.4145842729756967,0.9999995231628418,1.0,0.1267569888188917,0.9557069361209868,0.9997995615005493,0.00030421324715077224,4.794501684557417e-09,4.211067452075684e-08,0.9557073918377835,0.9997995615005493,0.28782728415680503,0.07410395308239173,0.10336615443232267,-0.000200438499450728,-0.21618622608240357,,,
SAFE_ANCHOR_E10,3,37x37,518x518,existing_test_mode_gaussian7_sigma1_then_bilinear_align_corners_true,0.22640155798458786,0.995974087715149,0.9991742527484894,,,,0.029807980746383248,0.0011794463032856087,0.9919175791740418,0.0001485616329073266,1.8086048214627226e-08,2.396012099836753e-08,,,,0.007466905784393716,0.04111959785223007,0.168552789092064,0.03157377240253766,0.22628932967782006,0.3537142542004579,0.0032612522891782873,0.016371519491076417,0.08413800165057189,2.1743531608355262e-06,1.677548944201135e-08,2.6473740497579062e-08,0.07234773073209154,0.23786997739392482,0.028312520113359375,-0.02654672845720496,0.015192073187790808,-0.9077795775234698,-0.21893465220019415,,,
