abnormal_norm,arm,category,comparison,cosine_distance,family,final_norm,hard_reference_available,kind,l2_distance,l2_drift,name,normal_abnormal_cos,normal_norm,normalized_drift,reference_norm,region,stage
,,,,,m_i_w,6.729570388793945,,H_image_adapter,,1.6857802867889404,m_i_w.0.i_w,,,0.27200205793960147,6.197674751281738,,
,,,,,m_i_w,6.325720310211182,,H_image_adapter,,1.6094201803207397,m_i_w.1.i_w,,,0.27271358276066854,5.901503562927246,,
,,,,,m_i_w,5.655172824859619,,H_image_adapter,,1.7324706315994263,m_i_w.2.i_w,,,0.28501255403033915,6.078576564788818,,
,,,,,conv_lora,46.08126449584961,,H_image_adapter,,7.421222686767578,lora_adapters.0.conv_lora_blocks.0.lora_A,,,0.16325075114449625,45.459041595458984,,
,,,,,conv_lora,8.277932167053223,,H_image_adapter,,6.117388725280762,lora_adapters.0.conv_lora_blocks.0.lora_B,,,1.595523512936717,3.834095001220703,,
,,,,,conv_lora,4.6161065101623535,,H_image_adapter,,1.6360841989517212,lora_adapters.0.conv_lora_blocks.0.conv_lora_A.weight,,,0.39296206768634795,4.163465976715088,,
,,,,,conv_lora,5.959664344787598,,H_image_adapter,,1.638840675354004,lora_adapters.0.conv_lora_blocks.0.conv_lora_B.weight,,,0.2968321704110777,5.521101951599121,,
,,,,,conv_lora,45.85226058959961,,H_image_adapter,,5.861684322357178,lora_adapters.0.conv_lora_blocks.1.lora_A,,,0.12892348552980312,45.46638107299805,,
,,,,,conv_lora,4.772279739379883,,H_image_adapter,,2.714923620223999,lora_adapters.0.conv_lora_blocks.1.lora_B,,,0.719429635177657,3.773716688156128,,
,,,,,conv_lora,4.610788822174072,,H_image_adapter,,1.9385002851486206,lora_adapters.0.conv_lora_blocks.1.conv_lora_A.weight,,,0.4658132548584736,4.161539554595947,,
,,,,,conv_lora,6.01186990737915,,H_image_adapter,,1.582940697669983,lora_adapters.0.conv_lora_blocks.1.conv_lora_B.weight,,,0.27281408404173485,5.802268981933594,,
,,,,,conv_lora,65.96817016601562,,H_image_adapter,,55.695167541503906,lora_adapters.0.fusion_conv.weight,,,1.5519687738672474,35.886783599853516,,
,,,,,conv_lora,45.640193939208984,,H_image_adapter,,6.761974811553955,lora_adapters.1.conv_lora_blocks.0.lora_A,,,0.1495435075147967,45.21744155883789,,
,,,,,conv_lora,6.712794780731201,,H_image_adapter,,4.036428928375244,lora_adapters.1.conv_lora_blocks.0.lora_B,,,1.0407217010386371,3.8784902095794678,,
,,,,,conv_lora,4.241511821746826,,H_image_adapter,,1.2481193542480469,lora_adapters.1.conv_lora_blocks.0.conv_lora_A.weight,,,0.31176945486059743,4.003340721130371,,
,,,,,conv_lora,5.958949565887451,,H_image_adapter,,1.1804101467132568,lora_adapters.1.conv_lora_blocks.0.conv_lora_B.weight,,,0.20679271822170422,5.7081804275512695,,
,,,,,conv_lora,45.60002136230469,,H_image_adapter,,5.631067276000977,lora_adapters.1.conv_lora_blocks.1.lora_A,,,0.12430364216326915,45.3009033203125,,
,,,,,conv_lora,4.899412631988525,,H_image_adapter,,2.6038320064544678,lora_adapters.1.conv_lora_blocks.1.lora_B,,,0.6840936919574168,3.80625057220459,,
,,,,,conv_lora,4.775217056274414,,H_image_adapter,,2.077772855758667,lora_adapters.1.conv_lora_blocks.1.conv_lora_A.weight,,,0.4887541484714198,4.251161575317383,,
,,,,,conv_lora,6.151284217834473,,H_image_adapter,,1.7898885011672974,lora_adapters.1.conv_lora_blocks.1.conv_lora_B.weight,,,0.3066951696143952,5.836050510406494,,
,,,,,conv_lora,62.14902114868164,,H_image_adapter,,50.30609130859375,lora_adapters.1.fusion_conv.weight,,,1.412476505923699,35.61552429199219,,
,,,,,conv_lora,45.55986022949219,,H_image_adapter,,2.695788860321045,lora_adapters.2.conv_lora_blocks.0.lora_A,,,0.059296543097812696,45.462833404541016,,
,,,,,conv_lora,4.871703147888184,,H_image_adapter,,3.335550546646118,lora_adapters.2.conv_lora_blocks.0.lora_B,,,0.9498539912222962,3.511645555496216,,
,,,,,conv_lora,4.2404255867004395,,H_image_adapter,,0.5546397566795349,lora_adapters.2.conv_lora_blocks.0.conv_lora_A.weight,,,0.13281989727148946,4.175878524780273,,
,,,,,conv_lora,5.978390216827393,,H_image_adapter,,0.5029669404029846,lora_adapters.2.conv_lora_blocks.0.conv_lora_B.weight,,,0.08510884115247323,5.909690856933594,,
,,,,,conv_lora,45.3782958984375,,H_image_adapter,,3.1352362632751465,lora_adapters.2.conv_lora_blocks.1.lora_A,,,0.06933902559276828,45.216041564941406,,
,,,,,conv_lora,3.0561904907226562,,H_image_adapter,,1.021544337272644,lora_adapters.2.conv_lora_blocks.1.lora_B,,,0.369663682612242,2.7634425163269043,,
,,,,,conv_lora,4.272279739379883,,H_image_adapter,,1.0561696290969849,lora_adapters.2.conv_lora_blocks.1.conv_lora_A.weight,,,0.25662817115540876,4.115563869476318,,
,,,,,conv_lora,5.743933200836182,,H_image_adapter,,0.9053300023078918,lora_adapters.2.conv_lora_blocks.1.conv_lora_B.weight,,,0.1602741763873537,5.648633003234863,,
,,,,,conv_lora,40.638641357421875,,H_image_adapter,,23.1457576751709,lora_adapters.2.fusion_conv.weight,,,0.83182618068174,27.825233459472656,,
,,,,,seg_layer_norms,27.25029945373535,,H_image_adapter,,1.0078811645507812,seg_layer_norms.0.weight,,,0.036560485906722125,27.5674991607666,,
,,,,,seg_layer_norms,0.39105725288391113,,H_image_adapter,,0.3690420985221863,seg_layer_norms.0.bias,,,1.6745314982495376,0.22038528323173523,,
,,,,,seg_layer_norms,26.74932098388672,,H_image_adapter,,2.165194511413574,seg_layer_norms.1.weight,,,0.07892634191269642,27.433103561401367,,
,,,,,seg_layer_norms,0.9963225722312927,,H_image_adapter,,0.9452801942825317,seg_layer_norms.1.bias,,,3.8117797971467,0.24798919260501862,,
,,,,,seg_layer_norms,27.135883331298828,,H_image_adapter,,1.2774152755737305,seg_layer_norms.2.weight,,,0.046266500225207174,27.609939575195312,,
,,,,,seg_layer_norms,0.6707623600959778,,H_image_adapter,,0.6900205612182617,seg_layer_norms.2.bias,,,2.824994657360662,0.24425552785396576,,
,,,,,seg_proj,22.293821334838867,,H_image_adapter,,17.144630432128906,seg_proj.0.fc.0.weight,,,1.2636047805341815,13.568032264709473,,
,,,,,seg_proj,0.40465548634529114,,H_image_adapter,,0.24223031103610992,seg_proj.0.fc.0.bias,,,0.6677406265830075,0.36276108026504517,,
,,,,,seg_proj,21.536108016967773,,H_image_adapter,,12.903769493103027,seg_proj.0.fc.2.weight,,,0.7554993009838712,17.079790115356445,,
,,,,,seg_proj,1.0736818313598633,,H_image_adapter,,0.385532408952713,seg_proj.0.fc.2.bias,,,0.3851396298964305,1.001019835472107,,
