ap,arm,auroc,count,difference_l2,linear_cka_to_e1,mean,median,metric,p95,p99,parameter_count,pooled_feature_cosine_to_e1_mean,pooled_feature_cosine_to_e1_median,record,reference_l2,relative_l2,stage,value
,A_GRADBUDGET_SHORT_R1_CONTROL,,,,0.8158039292180654,,,stage_2,,,,0.9892709255218506,0.9896228909492493,geometry,,,2,
,A_GRADBUDGET_SHORT_R1_CONTROL,,,,0.34862452002685396,,,stage_3,,,,0.9895269870758057,0.9895347952842712,geometry,,,3,
0.3886175441527322,A_GRADBUDGET_SHORT_R1_CANDIDATE,0.856353718901133,,,,,,final,,,,,,ranking,,,,
0.2998187227354478,A_GRADBUDGET_SHORT_R1_CANDIDATE,0.874592822860961,,,,,,stage_1,,,,,,ranking,,,,
0.3473149803745486,A_GRADBUDGET_SHORT_R1_CANDIDATE,0.7098129386758835,,,,,,stage_2,,,,,,ranking,,,,
0.23546245027721824,A_GRADBUDGET_SHORT_R1_CANDIDATE,0.813252824963329,,,,,,stage_3,,,,,,ranking,,,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,50031,,,0.20782673358917236,4.601781256496906e-06,positive,0.9986749887466431,0.9999040365219116,,,,coverage,,,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,25709073,,,8.320438064401969e-05,5.388156587571302e-09,negative,1.970905927350941e-08,1.6893528709260863e-07,,,,coverage,,,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,26381,,,0.10334962606430054,4.5481692723114975e-06,boundary,0.819604754447937,0.9715963006019592,,,,coverage,,,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,23650,,,0.3243683874607086,1.4944180293241516e-05,interior,0.9996822476387024,0.9999493360519409,,,,coverage,,,,
,A_GRADBUDGET_SHORT_R1_CANDIDATE,,35879,,,0.04354524612426758,4.2228334677929524e-06,near_background,0.3355250060558319,0.8225684762001038,,,,coverage,,,,
