attempt_index,epoch,batch,file_names,image_sha256,mask_sha256,labels,protocol_id,arm,status,global_step_before,global_step_after,scaler_before,scaler_after,base_task_loss,anchor_loss,classification_loss,segmentation_loss,natural_nonfinite_loss_skip,natural_nonfinite_grad_skip,forced_parity_skip,successful_update,selected_grad_norm_before_suppression,stage2_grad_norm_before_suppression,stage3_grad_norm_before_suppression,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,parameters_finite,optimizer_state_finite
10,11,10,"[""pcb1/Data/Images/Normal/0215.JPG"",""pcb3/Data/Images/Normal/1002.JPG"",""pcb2/Data/Images/Anomaly/059.JPG"",""pcb1/Data/Images/Normal/0784.JPG"",""pcb3/Data/Images/Normal/0569.JPG"",""pcb3/Data/Images/Normal/0735.JPG""]",c7361bc88d6c5b6b19b2e3c23e72e62e136b7045039159f0c4fdbf235520166b,53b293e1d77b7dd549cd5313687ae38b4e0bc593afe8e6e905ec4f248be250fc,"[0,0,1,0,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3617,3618,16384.0,16384.0,0.8648226857185364,0.29317131638526917,0.6819661259651184,0.17924071848392487,0,0,0,1,0.2179055446844139,0.21739759163514713,0.014869887539887407,9.384231065809807e-06,0.09999994566715908,1,1
11,11,11,"[""pcb1/Data/Images/Anomaly/086.JPG"",""pcb1/Data/Images/Normal/0619.JPG"",""pcb3/Data/Images/Anomaly/044.JPG"",""chewinggum/Data/Images/Anomaly/073.JPG"",""pipe_fryum/Data/Images/Normal/093.JPG"",""chewinggum/Data/Images/Normal/050.JPG""]",ed0aa29f58d98335cd6214be1dcfc263483134f5008fa92770086a4d0e559e0a,8a3b624a3edf986373c73dc61b91ac2bdf0fcf71d435d784a39f07a4be78860d,"[1,0,1,1,0,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3618,3619,16384.0,16384.0,1.1528301239013672,0.29320716857910156,0.6942545771598816,0.45483988523483276,0,0,0,1,0.02818908458462281,0.02801459436217642,0.0031316117961414794,1.0031384547844185e-05,0.060573530878323484,1,1
12,11,12,"[""chewinggum/Data/Images/Anomaly/063.JPG"",""cashew/Data/Images/Normal/050.JPG"",""macaroni1/Data/Images/Anomaly/044.JPG"",""pcb4/Data/Images/Normal/0964.JPG"",""pipe_fryum/Data/Images/Anomaly/040.JPG"",""candle/Data/Images/Anomaly/092.JPG""]",216898f1303562395163c514ce95a420524a3eeda3f1e731e6110e2c7faeaf95,62c2f45afe03ecdc2560bcfdcc15e434a67b7ad07ee918b700eb48ee3ba5f17a,"[1,0,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3619,3620,16384.0,16384.0,1.1129435300827026,0.29325026273727417,0.6519368290901184,0.4572112560272217,0,0,0,1,0.6253540241346675,0.6251259615095384,0.016887502722352593,6.688888674646287e-06,0.03789214595490081,1,1
13,11,13,"[""cashew/Data/Images/Normal/352.JPG"",""fryum/Data/Images/Normal/006.JPG"",""candle/Data/Images/Normal/0457.JPG"",""pcb1/Data/Images/Normal/0755.JPG"",""capsules/Data/Images/Anomaly/074.JPG"",""pcb3/Data/Images/Anomaly/096.JPG""]",dee111763ffdad70630e5de7a0a6793f2ee737cd9fb3af008812126d90a3fa32,54d269149f2e2a995ab88f6b5310ba2a979e0240c78be956810927ea7a0cb0e4,"[0,0,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3620,3621,16384.0,16384.0,0.834420382976532,0.2932807207107544,0.6689453125,0.16172145307064056,0,0,0,1,0.17678079707916822,0.16777365424538948,0.055708627312962486,1.4107824325013926e-06,0.043405330333159034,1,1
14,11,14,"[""pcb1/Data/Images/Anomaly/046.JPG"",""capsules/Data/Images/Anomaly/056.JPG"",""cashew/Data/Images/Anomaly/087.JPG"",""pcb4/Data/Images/Normal/0804.JPG"",""pcb3/Data/Images/Anomaly/054.JPG"",""candle/Data/Images/Normal/0024.JPG""]",02b9c4fb5056ee045d103cd6e38cd3f1516ddc15edae853fccf763154ea297aa,abd16a2bfa9eb48161593db7cfbacbb72d7b453c702593fe2ab6b5ac9c3b13b3,"[1,1,1,0,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3621,3622,16384.0,16384.0,1.4127941131591797,0.29330959916114807,0.6044921875,0.8045834898948669,0,0,0,1,0.10301666494930813,0.10257952551729706,0.009480200521308099,1.7216067776060256e-05,0.07253334745269889,1,1
15,11,15,"[""macaroni2/Data/Images/Normal/0900.JPG"",""macaroni2/Data/Images/Normal/0784.JPG"",""macaroni2/Data/Images/Anomaly/060.JPG"",""chewinggum/Data/Images/Anomaly/033.JPG"",""pcb4/Data/Images/Anomaly/057.JPG"",""chewinggum/Data/Images/Anomaly/054.JPG""]",0e44f9ebabbd4a929ac8d82fc0573ff023c7f417ec490e5023184bf32b38d03f,4bf93384a0ca9e659c161eb131e4872ca278fe15870cd2a3caaa244c5032adaa,"[0,0,1,1,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3622,3623,16384.0,16384.0,1.2145605087280273,0.293340265750885,0.6254069209098816,0.58541339635849,0,0,0,1,0.06787061060557162,0.06710151087269939,0.010188573137301208,2.0180483552228264e-05,0.09999994576084698,1,1
16,11,16,"[""pipe_fryum/Data/Images/Anomaly/024.JPG"",""pcb1/Data/Images/Normal/0974.JPG"",""capsules/Data/Images/Anomaly/059.JPG"",""pipe_fryum/Data/Images/Anomaly/057.JPG"",""pcb4/Data/Images/Anomaly/081.JPG"",""macaroni1/Data/Images/Normal/0187.JPG""]",e6bf100d6331f78da56860927431c7c39c57288e0c7e14a6c57ae4ffb3e2260b,24c1bc491d3fc557b048075d719c44aabd507da56c16ff2399f64d3ec1ea113e,"[1,0,1,1,1,0]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3623,3624,16384.0,16384.0,0.886764407157898,0.2933696210384369,0.5916340947151184,0.29142117500305176,0,0,0,1,0.2273017099013306,0.22405000190065394,0.0383101027456938,1.6121927855629277e-06,0.0332560933819985,1,1
17,11,17,"[""fryum/Data/Images/Anomaly/070.JPG"",""macaroni1/Data/Images/Normal/0170.JPG"",""capsules/Data/Images/Anomaly/019.JPG"",""chewinggum/Data/Images/Anomaly/089.JPG"",""macaroni2/Data/Images/Normal/0297.JPG"",""macaroni1/Data/Images/Anomaly/078.JPG""]",e4b10be98d68acbdf2ff0503fd50849f069ea234e2e41f0faea158b9f35a1dc2,6731fa3a517b8d0107032f412dd6bed43593fffd7adb3dafbad53cb2aa2cc10a,"[1,0,1,1,0,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3624,3625,16384.0,16384.0,0.9770102500915527,0.29339513182640076,0.5896809697151184,0.3835432827472687,0,0,0,1,0.05138101277028742,0.05108357930017157,0.005520543377559984,2.1944896172969294e-05,0.09999994576155083,1,1
18,11,18,"[""chewinggum/Data/Images/Normal/284.JPG"",""candle/Data/Images/Anomaly/083.JPG"",""cashew/Data/Images/Anomaly/035.JPG"",""fryum/Data/Images/Normal/324.JPG"",""pcb4/Data/Images/Anomaly/051.JPG"",""macaroni1/Data/Images/Anomaly/014.JPG""]",955e3cbb1536bd037287aed8af6a5134e8185d162fa3936d18682904fe6c3a68,a3a47011ed99a801517b91319324cc261e1f423e064c007b9b29d924b3ae2216,"[0,1,1,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3625,3626,16384.0,16384.0,1.1544512510299683,0.29342007637023926,0.6573079228401184,0.4933823347091675,0,0,0,1,0.12737744842835216,0.12478559487604454,0.02556500889006695,5.8888801596476145e-06,0.09245718962989025,1,1
19,11,19,"[""pcb3/Data/Images/Anomaly/001.JPG"",""pcb1/Data/Images/Anomaly/089.JPG"",""pcb4/Data/Images/Normal/0892.JPG"",""pcb3/Data/Images/Normal/0935.JPG"",""fryum/Data/Images/Anomaly/025.JPG"",""chewinggum/Data/Images/Anomaly/030.JPG""]",e90f95d6ee4fb198738dfd88abbfbb670bae865db5f439165a6bb4240b22f2fb,2b79af7cbdb6c411ecaae02ffb71af410e642199243fc5081d15a5e2c2e7a4be,"[1,1,0,0,1,1]",H2_LATE_CONVLORA_FREEZE_R1,A_LATE_FREEZE_R1_CONTROL,success,3626,3627,16384.0,16384.0,1.0721368789672852,0.29344403743743896,0.6079915165901184,0.46047982573509216,0,0,0,1,0.04331685994871307,0.043120457543071776,0.0041202544936650804,3.6346323328525094e-05,0.09999994573118655,1,1
