arm,category,stage,branch,hard_norm,soft_norm,main_norm,soft_hard_cos,main_hard_cos,normal_abnormal_cos,kg_loss
E1,candle,1,normal,1.0,1.0,1.0,0.9077931642532349,1.0,0.9470139145851135,0.6028369069099426
E1,candle,1,abnormal,0.9999999403953552,1.0,1.0,0.9143708944320679,1.0,0.9470139145851135,0.6028369069099426
E1,candle,2,normal,0.9999999403953552,1.0,1.0,0.4802672564983368,1.0000001192092896,-0.27079394459724426,0.6028369069099426
E1,candle,2,abnormal,0.9999999403953552,1.0,1.0,0.1940215677022934,1.0000001192092896,-0.27079394459724426,0.6028369069099426
E1,candle,3,normal,1.0,1.0,1.0,0.07523714751005173,1.0,-0.08892068266868591,0.6028369069099426
E1,candle,3,abnormal,0.9999999403953552,1.0,1.0,-0.18871158361434937,1.000000238418579,-0.08892068266868591,0.6028369069099426
E1,pcb3,1,normal,0.9999999403953552,1.0,0.9999999403953552,0.9464778900146484,1.000000238418579,0.9875802397727966,0.6066586077213287
E1,pcb3,1,abnormal,1.0,1.0,1.0,0.9487833976745605,1.0,0.9875802397727966,0.6066586077213287
E1,pcb3,2,normal,1.0,1.0,1.0,0.5201988816261292,1.0,-0.18875475227832794,0.6066586077213287
E1,pcb3,2,abnormal,1.0,1.0,1.0,0.1907418966293335,1.0,-0.18875475227832794,0.6066586077213287
E1,pcb3,3,normal,1.0,1.0,1.0,0.033684052526950836,1.0000001192092896,-0.003944240510463715,0.6066586077213287
E1,pcb3,3,abnormal,1.0,1.0,1.0,-0.2798377275466919,1.0,-0.003944240510463715,0.6066586077213287
E1,capsules,1,normal,1.0,1.0,1.0,0.9201658964157104,1.0,0.9568811655044556,0.6058288812637329
E1,capsules,1,abnormal,1.0,1.0,1.0,0.9341922998428345,1.0,0.9568811655044556,0.6058288812637329
E1,capsules,2,normal,1.0,1.0,1.0,0.4532923698425293,0.9999999403953552,-0.2713947296142578,0.6058288812637329
E1,capsules,2,abnormal,0.9999999403953552,0.9999999403953552,1.0,0.17251524329185486,1.0,-0.2713947296142578,0.6058288812637329
E1,capsules,3,normal,1.0,0.9999999403953552,1.0,0.07610976696014404,1.0,-0.03524848073720932,0.6058288812637329
E1,capsules,3,abnormal,1.0,1.0,1.0,-0.1912487894296646,1.0,-0.03524848073720932,0.6058288812637329
E1,pipe_fryum,1,normal,0.9999999403953552,1.0,1.0,0.9373457431793213,0.9999999403953552,0.9799195528030396,0.5901278555393219
E1,pipe_fryum,1,abnormal,1.0,1.0,1.0,0.9338028430938721,1.0000001192092896,0.9799195528030396,0.5901278555393219
E1,pipe_fryum,2,normal,1.0,1.0,1.0,0.4858778119087219,1.0,-0.299403578042984,0.5901278555393219
E1,pipe_fryum,2,abnormal,0.9999999403953552,0.9999998807907104,0.9999999403953552,0.14797049760818481,1.0000001192092896,-0.299403578042984,0.5901278555393219
E1,pipe_fryum,3,normal,1.0,1.0,1.0,0.08611109107732773,1.0,-0.01915932446718216,0.5901278555393219
E1,pipe_fryum,3,abnormal,1.0,1.0,1.0,-0.13187523186206818,1.0,-0.01915932446718216,0.5901278555393219
E1,pcb4,1,normal,0.9999999403953552,0.9999999403953552,1.0,0.9449558258056641,1.0000001192092896,0.9871389865875244,0.5986952781677246
E1,pcb4,1,abnormal,1.0,1.0,1.0,0.9450300931930542,1.0000001192092896,0.9871389865875244,0.5986952781677246
E1,pcb4,2,normal,0.9999999403953552,1.0,1.0,0.5206857919692993,1.0,-0.2107793241739273,0.5986952781677246
E1,pcb4,2,abnormal,1.0,1.0,1.0,0.19085896015167236,1.0,-0.2107793241739273,0.5986952781677246
E1,pcb4,3,normal,1.0,0.9999999403953552,1.0,0.04814612492918968,1.0000001192092896,-0.024561911821365356,0.5986952781677246
E1,pcb4,3,abnormal,1.0,1.0,1.0,-0.2418484389781952,1.0000001192092896,-0.024561911821365356,0.5986952781677246
E1,macaroni2,1,normal,1.0,1.0,1.0,0.9398534893989563,1.0,0.9805533289909363,0.5949323773384094
E1,macaroni2,1,abnormal,1.0,1.0,1.0,0.9377726316452026,0.9999998807907104,0.9805533289909363,0.5949323773384094
E1,macaroni2,2,normal,1.0,1.0,1.0,0.43063557147979736,1.0,-0.2506972849369049,0.5949323773384094
E1,macaroni2,2,abnormal,1.0,1.0,1.0,0.153424933552742,1.0,-0.2506972849369049,0.5949323773384094
E1,macaroni2,3,normal,1.0,1.0,1.0,0.0844118744134903,1.0,-0.010194055736064911,0.5949323773384094
E1,macaroni2,3,abnormal,0.9999999403953552,1.0,0.9999999403953552,-0.11569301784038544,1.000000238418579,-0.010194055736064911,0.5949323773384094
E1,pcb2,1,normal,1.0,1.0,1.0,0.9432823061943054,1.0,0.9830750823020935,0.6083758473396301
E1,pcb2,1,abnormal,1.0,1.0,1.0,0.9468886852264404,1.0,0.9830750823020935,0.6083758473396301
E1,pcb2,2,normal,0.9999999403953552,1.0,1.0,0.4914783239364624,1.0000001192092896,-0.15205171704292297,0.6083758473396301
E1,pcb2,2,abnormal,1.0,1.0,1.0,0.17704588174819946,1.0,-0.15205171704292297,0.6083758473396301
E1,pcb2,3,normal,1.0000001192092896,1.0,0.9999999403953552,0.049537479877471924,1.0,-0.020287320017814636,0.6083758473396301
E1,pcb2,3,abnormal,0.9999999403953552,1.0,1.0,-0.2584879398345947,1.0000001192092896,-0.020287320017814636,0.6083758473396301
E1,chewinggum,1,normal,0.9999999403953552,1.0,1.0,0.9207178354263306,1.0000001192092896,0.9672568440437317,0.613974004983902
E1,chewinggum,1,abnormal,0.9999998807907104,0.9999999403953552,1.0,0.9302959442138672,1.0,0.9672568440437317,0.613974004983902
E1,chewinggum,2,normal,1.0,1.0000001192092896,1.0,0.45080095529556274,1.0,-0.27898454666137695,0.613974004983902
E1,chewinggum,2,abnormal,1.0,1.0,1.0,0.15687774121761322,1.0,-0.27898454666137695,0.613974004983902
E1,chewinggum,3,normal,0.9999999403953552,1.0,1.0,0.014836013317108154,1.0000001192092896,0.05193096771836281,0.613974004983902
E1,chewinggum,3,abnormal,1.0,1.0000001192092896,1.0,-0.15737241506576538,1.0000001192092896,0.05193096771836281,0.613974004983902
E1,macaroni1,1,normal,0.9999999403953552,1.0,1.0,0.923467218875885,1.0000001192092896,0.9681391716003418,0.5838314592838287
E1,macaroni1,1,abnormal,1.0,1.0000001192092896,1.0,0.9274109601974487,1.0,0.9681391716003418,0.5838314592838287
E1,macaroni1,2,normal,1.0,1.0,1.0,0.46016693115234375,1.0,-0.2882910370826721,0.5838314592838287
E1,macaroni1,2,abnormal,0.9999999403953552,1.0,1.0,0.14645345509052277,1.0000001192092896,-0.2882910370826721,0.5838314592838287
E1,macaroni1,3,normal,0.9999999403953552,1.0,1.0,0.16300569474697113,1.0000001192092896,-0.016151905059814453,0.5838314592838287
E1,macaroni1,3,abnormal,1.0,0.9999999403953552,1.0,-0.12349304556846619,1.000000238418579,-0.016151905059814453,0.5838314592838287
E1,cashew,1,normal,1.0,1.0000001192092896,1.0,0.9242995381355286,1.0,0.9726772904396057,0.5947360992431641
E1,cashew,1,abnormal,1.0,1.0000001192092896,1.0,0.9304107427597046,0.9999999403953552,0.9726772904396057,0.5947360992431641
E1,cashew,2,normal,1.0,1.0,1.0,0.47046977281570435,1.0,-0.2935013175010681,0.5947360992431641
E1,cashew,2,abnormal,0.9999999403953552,1.0,1.0,0.14782553911209106,1.000000238418579,-0.2935013175010681,0.5947360992431641
E1,cashew,3,normal,1.0,1.0,1.0,0.055835507810115814,1.0,0.07684026658535004,0.5947360992431641
E1,cashew,3,abnormal,0.9999999403953552,1.0,1.0,-0.09725800901651382,1.0000001192092896,0.07684026658535004,0.5947360992431641
E1,fryum,1,normal,0.9999999403953552,1.0,1.0,0.943393349647522,1.0000001192092896,0.9831646680831909,0.601938009262085
E1,fryum,1,abnormal,1.0,1.0,1.0,0.9403676390647888,1.0000001192092896,0.9831646680831909,0.601938009262085
E1,fryum,2,normal,0.9999999403953552,1.0,1.0,0.49057137966156006,1.0000001192092896,-0.2865954637527466,0.601938009262085
E1,fryum,2,abnormal,1.0,1.0,1.0,0.13941051065921783,1.0,-0.2865954637527466,0.601938009262085
E1,fryum,3,normal,1.0,1.0,1.0,0.047865889966487885,1.0,-0.043730705976486206,0.601938009262085
E1,fryum,3,abnormal,1.0,0.9999999403953552,1.0,-0.17323672771453857,1.0,-0.043730705976486206,0.601938009262085
E1,pcb1,1,normal,0.9999998807907104,1.0,1.0,0.9525822997093201,1.0000001192092896,0.9915586709976196,0.6073677837848663
E1,pcb1,1,abnormal,1.0,1.0,1.0,0.9512954950332642,1.0,0.9915586709976196,0.6073677837848663
E1,pcb1,2,normal,1.0,1.0,1.0,0.5070826411247253,1.0,-0.16252121329307556,0.6073677837848663
E1,pcb1,2,abnormal,1.0,1.0,1.0,0.18687129020690918,1.0,-0.16252121329307556,0.6073677837848663
E1,pcb1,3,normal,1.0,1.0,1.0,0.010944642126560211,1.0000001192092896,0.05695338919758797,0.6073677837848663
E1,pcb1,3,abnormal,1.0,1.0,1.0,-0.2529832124710083,1.0,0.05695338919758797,0.6073677837848663
H,candle,1,normal,1.0,1.0,1.0,0.7164262533187866,0.9892358183860779,-0.355077862739563,0.2222312092781067
H,candle,1,abnormal,1.0,1.0,1.0,0.7228819131851196,0.9894665479660034,-0.355077862739563,0.2222312092781067
H,candle,2,normal,1.0,1.0,1.0,0.7117063999176025,0.9890676736831665,-0.9794782400131226,0.2222312092781067
H,candle,2,abnormal,1.0,1.0,0.9999999403953552,0.8780980706214905,0.995223879814148,-0.9794782400131226,0.2222312092781067
H,candle,3,normal,0.9999999403953552,1.0,1.0,0.7672404050827026,0.9910712838172913,-0.9949069023132324,0.2222312092781067
H,candle,3,abnormal,1.0,1.0000001192092896,1.0,0.8702590465545654,0.9949238896369934,-0.9949069023132324,0.2222312092781067
H,pcb3,1,normal,1.0,1.0,1.0,0.7034776210784912,0.9887755513191223,-0.2140066921710968,0.21286708116531372
H,pcb3,1,abnormal,1.0,1.0,1.0,0.8048504590988159,0.9924580454826355,-0.2140066921710968,0.21286708116531372
H,pcb3,2,normal,0.9999999403953552,1.0,1.0,0.700059175491333,0.9886546730995178,-0.9718058705329895,0.21286708116531372
H,pcb3,2,abnormal,1.0,1.0,1.0,0.8825374245643616,0.9953941106796265,-0.9718058705329895,0.21286708116531372
H,pcb3,3,normal,0.9999999403953552,1.0,1.0,0.7637255191802979,0.9909428954124451,-0.9960958361625671,0.21286708116531372
H,pcb3,3,abnormal,1.0,1.0,1.0,0.8681473731994629,0.9948433041572571,-0.9960958361625671,0.21286708116531372
H,capsules,1,normal,1.0,1.0,1.0,0.6899261474609375,0.988297164440155,-0.06449972093105316,0.22186052799224854
H,capsules,1,abnormal,0.9999999403953552,1.0,1.0,0.7693265080451965,0.9911476373672485,-0.06449972093105316,0.22186052799224854
H,capsules,2,normal,1.0,1.0,0.9999999403953552,0.6913007497787476,0.9883455038070679,-0.968704342842102,0.22186052799224854
H,capsules,2,abnormal,1.0,1.0,1.0,0.8848414421081543,0.9954826235771179,-0.968704342842102,0.22186052799224854
H,capsules,3,normal,1.0,1.0,1.0,0.7617872953414917,0.9908722043037415,-0.9951220750808716,0.22186052799224854
