K_per_anomalous_sample,anchor_loss,anomaly_sample_count,arm,attempt_index,batch,consecutive_nonfinite_grad_skips,epoch,existing_task_loss,file_names,global_step_after,global_step_before,hard_background_max,hard_background_mean,image_sha256,labels,mask_sha256,nonfinite_grad_skip,nonfinite_loss_skip,optimizer_state_finite,paired_control_skip,parameters_finite,safe_anchor_effective_ratio,safe_anchor_max_family_ratio,status,successful_step,thbr_enabled,thbr_grad_norm,thbr_raw,thbr_weighted,total_loss,violation_fraction,weak_anomaly_mean,weak_anomaly_min
[1014],0.29313376545906067,1,A_THBR_R1_CONTROL,10,10,,11,0.8648533225059509,"[""pcb1/Data/Images/Normal/0215.JPG"",""pcb3/Data/Images/Normal/1002.JPG"",""pcb2/Data/Images/Anomaly/059.JPG"",""pcb1/Data/Images/Normal/0784.JPG"",""pcb3/Data/Images/Normal/0569.JPG"",""pcb3/Data/Images/Normal/0735.JPG""]",3618,3617,0.00024441309506073594,4.450243977771606e-06,c7361bc88d6c5b6b19b2e3c23e72e62e136b7045039159f0c4fdbf235520166b,"[0,0,1,0,0,0]",53b293e1d77b7dd549cd5313687ae38b4e0bc593afe8e6e905ec4f248be250fc,0,0,1,0,1,1.1584484600376296e-05,0.09999994563895162,success,1,False,,0.6931494474411011,0.0,0.8648533225059509,0.9980276226997375,1.0747819523260205e-08,5.825986360008528e-09
"[733, 3864, 243]",0.2931596636772156,3,A_THBR_R1_CONTROL,11,11,,11,1.1528615951538086,"[""pcb1/Data/Images/Anomaly/086.JPG"",""pcb1/Data/Images/Normal/0619.JPG"",""pcb3/Data/Images/Anomaly/044.JPG"",""chewinggum/Data/Images/Anomaly/073.JPG"",""pipe_fryum/Data/Images/Normal/093.JPG"",""chewinggum/Data/Images/Normal/050.JPG""]",3619,3618,0.9961680769920349,0.023716402522666158,ed0aa29f58d98335cd6214be1dcfc263483134f5008fa92770086a4d0e559e0a,"[1,0,1,1,0,0]",8a3b624a3edf986373c73dc61b91ac2bdf0fcf71d435d784a39f07a4be78860d,0,0,1,0,1,1.1674762911766452e-05,0.06751396879131769,success,1,False,,0.6628388166427612,0.0,1.1528615951538086,0.734535147746404,0.10795648552941743,4.466938818836752e-09
"[5484, 318, 1051, 793]",0.2931936979293823,4,A_THBR_R1_CONTROL,12,12,,11,1.1127792596817017,"[""chewinggum/Data/Images/Anomaly/063.JPG"",""cashew/Data/Images/Normal/050.JPG"",""macaroni1/Data/Images/Anomaly/044.JPG"",""pcb4/Data/Images/Normal/0964.JPG"",""pipe_fryum/Data/Images/Anomaly/040.JPG"",""candle/Data/Images/Anomaly/092.JPG""]",3620,3619,0.9999890327453613,0.30602015857584774,216898f1303562395163c514ce95a420524a3eeda3f1e731e6110e2c7faeaf95,"[1,0,1,0,1,1]",62c2f45afe03ecdc2560bcfdcc15e434a67b7ad07ee918b700eb48ee3ba5f17a,0,0,1,0,1,6.864426695660299e-06,0.03557108639874869,success,1,False,,0.598971962928772,0.0,1.1127792596817017,0.2765680365264416,0.5927059948444366,1.0385943660651265e-08
"[4669, 354]",0.29321596026420593,2,A_THBR_R1_CONTROL,13,13,,11,0.8354960680007935,"[""cashew/Data/Images/Normal/352.JPG"",""fryum/Data/Images/Normal/006.JPG"",""candle/Data/Images/Normal/0457.JPG"",""pcb1/Data/Images/Normal/0755.JPG"",""capsules/Data/Images/Anomaly/074.JPG"",""pcb3/Data/Images/Anomaly/096.JPG""]",3621,3620,0.9955229759216309,0.07931372174061835,dee111763ffdad70630e5de7a0a6793f2ee737cd9fb3af008812126d90a3fa32,"[0,0,0,0,1,1]",54d269149f2e2a995ab88f6b5310ba2a979e0240c78be956810927ea7a0cb0e4,0,0,1,0,1,1.3044516624860143e-06,0.04083024776525595,success,1,False,,0.5730088949203491,0.0,0.8354960680007935,0.2524539828300476,0.41607676446437836,6.105581373816449e-09
"[16987, 4323, 433, 537]",0.29323747754096985,4,A_THBR_R1_CONTROL,14,14,,11,1.4136666059494019,"[""pcb1/Data/Images/Anomaly/046.JPG"",""capsules/Data/Images/Anomaly/056.JPG"",""cashew/Data/Images/Anomaly/087.JPG"",""pcb4/Data/Images/Normal/0804.JPG"",""pcb3/Data/Images/Anomaly/054.JPG"",""candle/Data/Images/Normal/0024.JPG""]",3622,3621,0.10534851998090744,0.0008778892911465164,02b9c4fb5056ee045d103cd6e38cd3f1516ddc15edae853fccf763154ea297aa,"[1,1,1,0,1,0]",abd16a2bfa9eb48161593db7cfbacbb72d7b453c702593fe2ab6b5ac9c3b13b3,0,0,1,0,1,1.4439254960727617e-05,0.07388770996067186,success,1,False,,0.6900167465209961,0.0,1.4136666059494019,0.7178708463907242,0.008453850194490187,5.430416560869844e-09
"[268, 207, 9455, 950]",0.29326191544532776,4,A_THBR_R1_CONTROL,15,15,,11,1.2154371738433838,"[""macaroni2/Data/Images/Normal/0900.JPG"",""macaroni2/Data/Images/Normal/0784.JPG"",""macaroni2/Data/Images/Anomaly/060.JPG"",""chewinggum/Data/Images/Anomaly/033.JPG"",""pcb4/Data/Images/Anomaly/057.JPG"",""chewinggum/Data/Images/Anomaly/054.JPG""]",3623,3622,0.9993371367454529,0.11620343354024953,0e44f9ebabbd4a929ac8d82fc0573ff023c7f417ec490e5023184bf32b38d03f,"[0,0,1,1,1,1]",4bf93384a0ca9e659c161eb131e4872ca278fe15870cd2a3caaa244c5032adaa,0,0,1,0,1,1.8699206720254624e-05,0.0966665199428988,success,1,False,,0.6604368686676025,0.0,1.2154371738433838,0.6047928482294083,0.22629145835662712,4.295813038623919e-09
"[271, 4796, 122, 4687]",0.2932845652103424,4,A_THBR_R1_CONTROL,16,16,,11,0.8874394297599792,"[""pipe_fryum/Data/Images/Anomaly/024.JPG"",""pcb1/Data/Images/Normal/0974.JPG"",""capsules/Data/Images/Anomaly/059.JPG"",""pipe_fryum/Data/Images/Anomaly/057.JPG"",""pcb4/Data/Images/Anomaly/081.JPG"",""macaroni1/Data/Images/Normal/0187.JPG""]",3624,3623,0.9999967813491821,0.4050214681774378,e6bf100d6331f78da56860927431c7c39c57288e0c7e14a6c57ae4ffb3e2260b,"[1,0,1,1,1,0]",24c1bc491d3fc557b048075d719c44aabd507da56c16ff2399f64d3ec1ea113e,0,0,1,0,1,1.5920922398389788e-06,0.03175126725835939,success,1,False,,0.6599363088607788,0.0,0.8874394297599792,0.3896259143948555,0.597963385283947,1.022492401858699e-08
"[1090, 370, 480, 112]",0.29330337047576904,4,A_THBR_R1_CONTROL,17,17,,11,0.977415919303894,"[""fryum/Data/Images/Anomaly/070.JPG"",""macaroni1/Data/Images/Normal/0170.JPG"",""capsules/Data/Images/Anomaly/019.JPG"",""chewinggum/Data/Images/Anomaly/089.JPG"",""macaroni2/Data/Images/Normal/0297.JPG"",""macaroni1/Data/Images/Anomaly/078.JPG""]",3625,3624,0.9995187520980835,0.25029547314625233,e4b10be98d68acbdf2ff0503fd50849f069ea234e2e41f0faea158b9f35a1dc2,"[1,0,1,1,0,1]",6731fa3a517b8d0107032f412dd6bed43593fffd7adb3dafbad53cb2aa2cc10a,0,0,1,0,1,2.1252821543880545e-05,0.09999994569957041,success,1,False,,0.6455973386764526,0.0,0.977415919303894,0.4897180199623108,0.4534546335307823,8.280396812665458e-09
"[233, 1788, 1591, 359]",0.2933226525783539,4,A_THBR_R1_CONTROL,18,18,,11,1.1557930707931519,"[""chewinggum/Data/Images/Normal/284.JPG"",""candle/Data/Images/Anomaly/083.JPG"",""cashew/Data/Images/Anomaly/035.JPG"",""fryum/Data/Images/Normal/324.JPG"",""pcb4/Data/Images/Anomaly/051.JPG"",""macaroni1/Data/Images/Anomaly/014.JPG""]",3626,3625,0.9994218349456787,0.2662465237081051,955e3cbb1536bd037287aed8af6a5134e8185d162fa3936d18682904fe6c3a68,"[0,1,1,0,1,1]",a3a47011ed99a801517b91319324cc261e1f423e064c007b9b29d924b3ae2216,0,0,1,0,1,4.710452731071397e-06,0.07820831440563594,success,1,False,,0.6902399063110352,0.0,1.1557930707931519,0.5789143610745668,0.33401944425685404,4.94445018262013e-09
"[4483, 986, 55, 1794]",0.29334163665771484,4,A_THBR_R1_CONTROL,19,19,,11,1.0733320713043213,"[""pcb3/Data/Images/Anomaly/001.JPG"",""pcb1/Data/Images/Anomaly/089.JPG"",""pcb4/Data/Images/Normal/0892.JPG"",""pcb3/Data/Images/Normal/0935.JPG"",""fryum/Data/Images/Anomaly/025.JPG"",""chewinggum/Data/Images/Anomaly/030.JPG""]",3627,3626,0.9999988079071045,0.45194294698740123,e90f95d6ee4fb198738dfd88abbfbb670bae865db5f439165a6bb4240b22f2fb,"[1,1,0,0,1,1]",2b79af7cbdb6c411ecaae02ffb71af410e642199243fc5081d15a5e2c2e7a4be,0,0,1,0,1,2.736311424613978e-05,0.08810776483558311,success,1,False,,0.7780781984329224,0.0,1.0733320713043213,0.4763084128499031,0.399780087696854,5.263340430161634e-09
