arm,background_count,category,far_background_count,file_name,near_background_count,near_background_fraction_of_background,top_background_1pct_count,top_background_1pct_far_fraction,top_background_1pct_near_fraction,top_background_1pct_near_score_mass_fraction
A_SAFE_ANCHOR_E10,268238,chewinggum,267482,chewinggum/Data/Images/Anomaly/072.JPG,756,0.002818392621477941,2683,0.9321654863958255,0.06783451360417443,0.057037677615880966
A_SAFE_ANCHOR_E10,263552,chewinggum,261100,chewinggum/Data/Images/Anomaly/021.JPG,2452,0.009303666828557553,2636,0.5250379362670713,0.47496206373292865,0.8354461789131165
A_SAFE_ANCHOR_E10,267385,chewinggum,266550,chewinggum/Data/Images/Anomaly/091.JPG,835,0.003122837855526675,2674,0.7849663425579656,0.2150336574420344,0.7833744883537292
A_SAFE_ANCHOR_E10,268232,macaroni1,268064,macaroni1/Data/Images/Anomaly/037.JPG,168,0.0006263234811655582,2683,0.937383525903839,0.06261647409616102,0.3330099582672119
A_SAFE_ANCHOR_E10,268201,macaroni1,267438,macaroni1/Data/Images/Anomaly/073.JPG,763,0.002844881264424816,2683,0.778606038017145,0.22139396198285502,0.4332975149154663
A_SAFE_ANCHOR_E10,268095,macaroni1,267819,macaroni1/Data/Images/Anomaly/065.JPG,276,0.0010294858165948637,2681,0.897053338306602,0.10294666169339799,0.544891357421875
A_SAFE_ANCHOR_E10,268129,macaroni1,267875,macaroni1/Data/Images/Anomaly/052.JPG,254,0.0009473052150270952,2682,0.9052945563012678,0.0947054436987323,0.4850418269634247
A_SAFE_ANCHOR_E10,267904,cashew,267518,cashew/Data/Images/Anomaly/004.JPG,386,0.0014408146201624462,2680,0.8559701492537314,0.14402985074626865,0.6815327405929565
A_SAFE_ANCHOR_E10,268267,cashew,268049,cashew/Data/Images/Anomaly/062.JPG,218,0.0008126232447524295,2683,0.9187476705180768,0.08125232948192322,0.22055210173130035
A_SAFE_ANCHOR_E10,267090,cashew,265460,cashew/Data/Images/Anomaly/092.JPG,1630,0.006102811786289266,2671,0.8341445151628604,0.16585548483713966,0.16610366106033325
A_SAFE_ANCHOR_E10,267688,cashew,267286,cashew/Data/Images/Anomaly/016.JPG,402,0.0015017483039956965,2677,0.8498319013821442,0.15016809861785582,0.7871741056442261
A_SAFE_ANCHOR_E10,268276,fryum,268072,fryum/Data/Images/Anomaly/026.JPG,204,0.0007604109200972134,2683,0.9239657100260902,0.0760342899739098,0.3242884576320648
