metric_type,dataset,epoch,prompt_config,score_rule,pixel_auc,pixel_ap,image_auc,image_ap
pixel,Brain,13,current_shared,,93.62,26.91,,
pixel,Liver,13,current_shared,,94.75,5.140000000000001,,
pixel,Retina,13,current_shared,,90.66,42.14,,
pixel,Colon_clinicDB,13,current_shared,,89.49000000000001,53.63,,
pixel,Colon_colonDB,13,current_shared,,81.2,27.43,,
pixel,Colon_Kvasir,13,current_shared,,89.12,62.45,,
image,Brain,13,current_shared,cls_only,,,80.74,93.96
image,Liver,13,current_shared,cls_only,,,67.00,59.92
image,Retina,13,current_shared,cls_only,,,78.62,73.22
