epoch,parameter_group,n,median_cosine,negative_cosine_rate,median_norm_ratio,conflict_flag,norm_imbalance_flag
4,hard_text_adapter,3,0.09628852222235698,0.0,14.254708779557472,False,True
4,m_i_w,3,0.03960892888167966,0.3333333333333333,175.92905570322011,False,True
4,shared_image_lora,3,0.1703543823587824,0.0,209.81782534679925,False,True
4,soft_prompt,3,0.2884823733925596,0.0,8.953372367308315,False,False
5,hard_text_adapter,3,0.1027112219318816,0.3333333333333333,12.129372302357625,False,True
5,m_i_w,3,0.08678110344372496,0.3333333333333333,11.563348361796972,False,True
5,shared_image_lora,3,0.4029976878949895,0.3333333333333333,12.206201403942849,False,True
5,soft_prompt,3,0.38341138560592364,0.3333333333333333,8.63113247687977,False,False
6,hard_text_adapter,3,0.3622166824849057,0.3333333333333333,7.338253722747866,False,False
6,m_i_w,3,0.08056551691261549,0.0,2.87028472888293,False,False
6,shared_image_lora,3,0.262490766528746,0.3333333333333333,1.99753568701758,False,False
6,soft_prompt,3,0.43183630982559873,0.0,3.3723770184793866,False,False
10,hard_text_adapter,3,-0.10394553463646478,0.6666666666666666,1.6706076689737768,True,False
10,m_i_w,3,0.01406650806083541,0.3333333333333333,5.123973895205113,False,False
10,shared_image_lora,3,0.21488491544489222,0.0,9.723011679727641,False,False
10,soft_prompt,3,0.21589808213833606,0.3333333333333333,3.191466505645376,False,False
11,hard_text_adapter,3,0.11945947755219467,0.3333333333333333,7.260766336270525,False,False
11,m_i_w,3,0.05684436459683699,0.0,3.6809236842272166,False,False
11,shared_image_lora,3,-0.0780942925989517,0.6666666666666666,2.7227828869249064,True,False
11,soft_prompt,3,0.3193485779891221,0.0,2.446499439168187,False,False
12,hard_text_adapter,3,0.010068028753614743,0.3333333333333333,2.924403439242205,False,False
12,m_i_w,3,0.04650222208512309,0.3333333333333333,4.2712651469007605,False,False
12,shared_image_lora,3,0.4448823330849452,0.3333333333333333,6.242650630143019,False,False
12,soft_prompt,3,0.15117604096060522,0.3333333333333333,1.827587154630935,False,False
13,hard_text_adapter,3,0.00889502984823497,0.0,6.892543664556627,False,False
13,m_i_w,3,0.08328622106685532,0.3333333333333333,9.124219869575576,False,False
13,shared_image_lora,3,0.19462907044312158,0.3333333333333333,9.746952312819598,False,False
13,soft_prompt,3,0.09731925481937734,0.3333333333333333,3.086295651867901,False,False
