class_name,n,b_minus_a_pixel_auc,b_minus_a_pixel_ap,b_minus_a_image_auc,b_minus_a_image_ap
candle,40,1.7019450664520264,3.1089425086975098,-0.4999995231628418,-0.3689110279083252
capsules,32,0.022143125534057617,1.8433094024658203,0.4166603088378906,0.2380967140197754
cashew,30,0.7068812847137451,0.6352782249450684,1.0000050067901611,0.5555570125579834
chewinggum,30,0.7690608501434326,-0.2637147903442383,0.0,0.0
fryum,30,-0.20094513893127441,-5.987143516540527,0.5000114440917969,0.24999380111694336
macaroni1,40,2.225261926651001,-2.2380292415618896,-1.250004768371582,-1.0881006717681885
macaroni2,40,6.749463081359863,2.835192531347275,-0.25000572204589844,-0.10557770729064941
pcb1,40,3.3776402473449707,0.3843158483505249,0.7499992847442627,0.6521701812744141
pcb2,40,0.33818483352661133,-5.574040114879608,-0.5000114440917969,0.4573822021484375
pcb3,40,1.1648058891296387,0.739055871963501,-0.24999380111694336,-0.27777552604675293
pcb4,40,0.11496543884277344,-1.9472450017929077,-0.24999380111694336,-0.2380967140197754
pipe_fryum,30,0.06871819496154785,1.6644537448883057,0.0,0.0
