epoch,total,task,cls,seg,center,router_teacher,router_teacher_weighted,router_teacher_scheduled_weight,router_teacher_effective_weight,vae_rec,vae_kl_raw,vae_kl_effective,kg,orth,balance,concept_key_diversity_raw,concept_key_diversity_weighted,dynamic_mean_anchor_raw,dynamic_mean_anchor_weighted,route_raw,route_weight,route_weighted,factor_role_raw,factor_role_weight,factor_role_weighted,actual_local_raw,actual_local_weight,actual_local_weighted,dynamic_mean_anchor_weight,expert,advantage,etf,expert_anchor,expert_radius,expert_weight,advantage_weight,etf_weight,balance_weight,expert_delta_norm,loss_component_sum,loss_component_residual,expert_assigned_normal,expert_assigned_abnormal,selected_expert_loss,nonselected_expert_loss,expert_advantage_margin_satisfied_fraction,expert_assigned_raw,expert_assigned_weight,expert_assigned_weighted,expert_advantage_raw,expert_advantage_weight,expert_advantage_weighted,expert_etf_raw,expert_etf_weight,expert_etf_weighted,expert_balance_dense_raw,expert_balance_prediction_raw,expert_balance_weight,expert_balance_weighted,expert_anchor_raw,expert_anchor_weight,expert_anchor_weighted,expert_radius_raw,expert_radius_weight,expert_radius_weighted,legacy_pre_expert_orth_raw,legacy_pre_expert_orth_weight,legacy_pre_expert_orth_weighted,delta_t_diversity_raw,delta_t_diversity_weight,delta_t_diversity_weighted,functional_factor_diversity_raw,functional_factor_diversity_weight,functional_factor_diversity_weighted,cluster_resp_raw,cluster_resp_weight,cluster_resp_weighted,cluster_target_entropy,cluster_router_entropy,task_rolling_median,weight_center,weight_center_factor_aware,weight_center_detach_assignment,weight_center_margin,weight_router_teacher,weight_router_teacher_temperature,weight_router_teacher_start_epoch,weight_router_teacher_warmup_epochs,weight_teacher_confidence_gate,weight_teacher_entropy_threshold,weight_teacher_prob_std_threshold,weight_router_teacher_mode,weight_vae_rec,weight_vae_kl_zero_epochs,weight_vae_kl_warmup_epochs,weight_vae_kl_free_bits,weight_vae_class_ratio,weight_orth,weight_delta_t_diversity,weight_functional_factor_diversity,weight_balance,weight_concept_key_diversity,weight_concept_key_cosine_margin,weight_concept_key_diversity_start_epoch,weight_concept_key_diversity_warmup_epochs,weight_kg,weight_k,weight_dynamic_mean_anchor,weight_dynamic_mean_anchor_min_cosine,weight_dynamic_mean_anchor_start_epoch,weight_dynamic_mean_anchor_warmup_epochs,weight_cluster_responsibility,weight_cluster_temperature,weight_cluster_loss_weight
11,1.4529373912307866,0.7728008143982878,0.42276965743352923,0.3500311569440817,0.9819504805012614,0.0,0.0,0.0,0.0,0.000511967602294028,5.623844351402374e-07,6.08314748829322e-07,0.7263648661609935,0.13855636308691657,0.05226599221237548,0.04678067994354832,0.0,0.09755356999408801,0.0,0.9311347600213915,0.023563731461763382,0.021941009452299428,1.3188728472179363,0.28360477089881897,0.374038631367436,1.331736580799545,0.21270453929901123,0.28326641608504094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4529373912307866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05226599221237548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13855636308691657,0.0010000000474974513,0.00013855636980249756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264642789008769,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
12,1.4577253943138604,0.7798660189726637,0.4228115092401257,0.3570545090364153,0.9820409057925522,0.0,0.0,0.0,0.0,0.0004955946027247836,-1.1165532439423313e-07,0.0,0.7343450478113547,0.14463243412954954,0.05311944870111101,0.04442967361771432,0.0,0.10340953075174487,0.0,0.9314343818186831,0.023563731461763382,0.02194806964849152,1.314022592215469,0.28360477089881897,0.3726630763994628,1.3274021835850809,0.21270453929901123,0.2823444698271376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4577253943138604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05311944870111101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14463243412954954,0.0010000000474974513,0.00014463244104845352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136096740835911,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
13,1.4342902775967594,0.7594482468012083,0.4109617028106263,0.34848654284301345,0.9817476675369252,0.0,0.0,0.0,0.0,0.0004873262284266281,-8.940696716308594e-08,0.0,0.7425958526068325,0.14929587491180585,0.054395817700087695,0.04721196772225691,0.0,0.10718278547922953,0.0,0.9242566303176862,0.023563731461763382,0.021778935062544805,1.3080672594264389,0.28360477089881897,0.37097411541299785,1.3218933847264596,0.21270453929901123,0.2811727231644868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4342902775967594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054395817700087695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14929587491180585,0.0010000000474974513,0.00014929588199380972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7860220786973241,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
14,1.4196794020713313,0.7401405597221068,0.402830081541267,0.33731047820496296,0.9814339649555972,0.0,0.0,0.0,0.0,0.00047422753432985296,-8.940696716308594e-08,0.0,0.7479114626206037,0.15469997633975704,0.05475809610604716,0.04798217892309067,0.0,0.1119771617517275,0.0,0.9167595794915492,0.023563731461763382,0.021602276555856104,1.317943410788319,0.28360477089881897,0.3737750396492,1.3315898303283253,0.21270453929901123,0.2832352013211843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4196794020713313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05475809610604716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15469997633975704,0.0010000000474974513,0.00015469998373584536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7798660189726637,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
15,1.4029054998882824,0.7404057182075248,0.39942745408120806,0.34097826356459393,0.9813551719711403,0.0,0.0,0.0,0.0,0.0004663523598350102,-8.940696716308594e-08,0.0,0.747947724823815,0.1590132940074672,0.05506680494176084,0.04962989766491882,0.0,0.10990294927488202,0.0,0.9159724423170751,0.023563731461763382,0.021583728645613743,1.2834943347072287,0.28360477089881897,0.36400511654719125,1.2974836204011875,0.21270453929901123,0.2759806555991447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4029054998882824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05506680494176084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590132940074672,0.0010000000474974513,0.0001590133014883093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7728008143982878,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
16,1.3914269623066626,0.7297020414146309,0.3916152805145089,0.33808676107932195,0.9812390838476599,0.0,0.0,0.0,0.0,0.0004562054901211725,-8.940696716308594e-08,0.0,0.7493721327221471,0.16348922760617832,0.055448215429832214,0.04812190535923709,0.0,0.10989468578493893,0.0,0.9173876302149646,0.023563731461763382,0.02161707578504339,1.2817899118450915,0.28360477089881897,0.3635217342916105,1.295931154512908,0.21270453929901123,0.2756504390220081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3914269623066626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055448215429832214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16348922760617832,0.0010000000474974513,0.00016348923535883567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7594482468012083,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
17,1.3806727234477472,0.7135905920080737,0.38234029722698964,0.3312502945708688,0.9812803712848378,0.0,0.0,0.0,0.0,0.0004482242248008574,-8.940696716308594e-08,0.0,0.7496177709896624,0.1653435578936785,0.05549587264043605,0.05003907847856615,0.0,0.1082997196229049,0.0,0.9096151954536632,0.023563731461763382,0.021433928174162276,1.2928908232033682,0.28360477089881897,0.3666700058573675,1.3071691993642065,0.21270453929901123,0.27804082213707354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3806727234477472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05549587264043605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1653435578936785,0.0010000000474974513,0.00016534356562985896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7404057182075248,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
18,1.3737331295487618,0.7071892628851144,0.3777421072787096,0.32944715484135906,0.9813332250281466,0.0,0.0,0.0,0.0,0.00044109881138047817,-8.940696716308594e-08,0.0,0.7558437572321772,0.1700701700122019,0.05601907769092303,0.05038037782433295,0.0,0.11306009323755753,0.0,0.9060342351834494,0.023563731461763382,0.02134954739985755,1.2920019729095222,0.28360477089881897,0.36641792316429334,1.3061706605653824,0.21270453929901123,0.2778284285206431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3737331295487618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05601907769092303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700701700122019,0.0010000000474974513,0.00017007017836422048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7401405597221068,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
19,1.358408019677232,0.6950261367555574,0.37278247343429693,0.32224366377615243,0.9815493493472724,0.0,0.0,0.0,0.0,0.0004353142175407758,-8.940696716308594e-08,0.0,0.7568325567697618,0.17288947837370397,0.05644755579348547,0.05046019848577409,0.0,0.11170164711780288,0.0,0.9057111941643273,0.023563731461763382,0.02134193536359386,1.285488441145064,0.28360477089881897,0.36457065513184567,1.3000089519538303,0.21270453929901123,0.276517805380826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358408019677232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05644755579348547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17288947837370397,0.0010000000474974513,0.0001728894864311304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7297020414146309,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
20,1.353209454783348,0.6939381240047756,0.36874261223448307,0.32519551102764677,0.9813316305901142,0.0,0.0,0.0,0.0,0.0004296936893433541,-8.940696716308594e-08,0.0,0.7578223663331402,0.1773568199849261,0.0566881306367779,0.05034969090574544,0.0,0.11163101847749635,0.0,0.9033658949728921,0.023563731461763382,0.021286671368661962,1.2773350403128514,0.28360477089881897,0.3622583113341783,1.2917904104892282,0.21270453929901123,0.27476968405337293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.353209454783348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0566881306367779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1773568199849261,0.0010000000474974513,0.00017735682845244463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7135905920080737,0.0,False,True,0.0,0.0,0.15,3,3,True,0.98,0.0,raw_cosine,0.05,0,4,0.0,0.25,0.001,0.0,0.0,0.0,0.0,0.5,1,3,0.001,0.0,0.0,0.7,4,3,False,0.1,0.0
