method,image_path,teacher_norm_l2,student_norm_l2,student_to_teacher_norm_ratio,directional_cosine,sign_agreement,score_delta_abs_mean_global,score_delta_abs_mean_normal,score_delta_abs_mean_anomaly
p30,candle/Data/Images/Anomaly/004.JPG,16.502193476251843,69.48123647116472,4.21042430336031,0.949938420887889,0.12345679012345678,0.01930318772792816,0.016254834830760956,0.9322077035903931
p30,candle/Data/Images/Anomaly/011.JPG,17.892738110287407,54.36216580035199,3.0382250869192866,0.9844802683396127,0.13580246913580246,0.010079708881676197,0.006643534172326326,0.7880063652992249
p30,candle/Data/Images/Anomaly/010.JPG,21.47172462601233,63.84996263822175,2.973676486185441,0.9402046225078958,0.20987654320987653,0.009431214071810246,0.007604555226862431,0.5883350372314453
p30,candle/Data/Images/Anomaly/071.JPG,18.32638558504057,109.17863470162223,5.957455942144008,0.4557919540664232,0.12345679012345678,0.06793317943811417,0.06741998344659805,0.9334718585014343
p30,candle/Data/Images/Normal/0994.JPG,77.32048800295263,13.143518547598477,0.16998752707169368,0.9993228325527078,1.0,2.188577097328448e-09,2.188577097328448e-09,
p30,candle/Data/Images/Normal/0214.JPG,77.32048800295263,13.173424750233583,0.17037430945508944,0.9992064824403297,1.0,2.107953367413984e-09,2.107953367413984e-09,
p30,candle/Data/Images/Anomaly/026.JPG,16.315071924350388,80.9928723525921,4.964297597224167,0.9720695507570049,0.14814814814814814,0.030910486355423927,0.029118133708834648,0.9852429628372192
p30,candle/Data/Images/Anomaly/023.JPG,17.35330122674259,82.6611207514732,4.763423378145879,0.9857766725116106,0.13580246913580246,0.0317658968269825,0.029369041323661804,0.9935868382453918
p30,candle/Data/Images/Anomaly/045.JPG,21.963827218742964,51.916668197671854,2.363735048569698,-0.5401203952418557,0.2839506172839506,0.0065415482968091965,0.0064976089634001255,0.988994836807251
p30,candle/Data/Images/Normal/0844.JPG,77.32048800295263,13.379716353971082,0.17304231646158458,0.9994947603387028,1.0,2.1621477941380363e-09,2.1621477941380363e-09,
p30,candle/Data/Images/Normal/0659.JPG,77.32048800295263,13.212166897466025,0.1708753687245416,0.9993071217085984,1.0,2.156577139089677e-09,2.156577139089677e-09,
p30,candle/Data/Images/Anomaly/033.JPG,5.279197999824502,13.117689404885425,2.484788296502897,-0.1535892992683541,0.0,2.1189985321967697e-09,2.116905983839956e-09,3.4255598357901818e-09
p30,candle/Data/Images/Anomaly/085.JPG,14.792776065875934,148.6348186219071,10.047797516841941,0.6179806445582399,0.08641975308641975,0.08695874363183975,0.08480899780988693,0.4881865680217743
p30,candle/Data/Images/Anomaly/044.JPG,10.445950487236296,16.044319443039583,1.535936769243146,0.5363007934425404,0.13580246913580246,1.0094703384311288e-06,9.969446637114743e-07,0.00014103592548053712
p30,candle/Data/Images/Normal/0518.JPG,77.32048800295263,13.083129059794237,0.16920649879104013,0.999328473408078,1.0,2.1599146915463052e-09,2.1599146915463052e-09,
p30,candle/Data/Images/Normal/0685.JPG,77.32048800295263,13.262172548357324,0.171522100944977,0.9994220268620255,1.0,2.1372850156353707e-09,2.1372850156353707e-09,
p30,candle/Data/Images/Normal/0705.JPG,77.32048800295263,13.146792085571136,0.1700298643364628,0.9993818677745563,1.0,2.1485087042805162e-09,2.1485087042805162e-09,
p30,candle/Data/Images/Anomaly/014.JPG,17.199502632610535,100.0137987900125,5.814923892065618,0.9694189901651146,0.14814814814814814,0.047995105385780334,0.04619370028376579,0.9976903200149536
p30,candle/Data/Images/Anomaly/077.JPG,16.73668215215019,136.2394838116586,8.140172739921196,0.905093153596858,0.13580246913580246,0.08504106849431992,0.08433141559362411,0.8429505228996277
p30,candle/Data/Images/Anomaly/027.JPG,14.923917575057436,57.260800699059764,3.8368478257184018,0.9506755220005617,0.1111111111111111,0.012084062211215496,0.01150925550609827,0.8878408074378967
p30,candle/Data/Images/Anomaly/097.JPG,18.57917416780902,240.38852915255785,12.938601413676617,0.466407736295739,0.13580246913580246,0.1497078686952591,0.14562031626701355,0.4078214764595032
p30,candle/Data/Images/Normal/0237.JPG,77.32048800295263,13.266982548489615,0.1715843095556121,0.9991563114587143,1.0,2.0903645481240574e-09,2.0903645481240574e-09,
p30,candle/Data/Images/Normal/0552.JPG,77.32048800295263,13.099232534058297,0.16941476796626112,0.9992187871363561,1.0,2.1907196057213696e-09,2.1907196057213696e-09,
p30,candle/Data/Images/Anomaly/048.JPG,24.773557023152264,43.01922846766349,1.7364978483897016,-0.5315643587962879,0.35802469135802467,0.0016624806448817253,0.0016331321094185114,0.7891218662261963
p30,candle/Data/Images/Normal/0363.JPG,77.32048800295263,12.960111002515813,0.16761548377735155,0.9991156011699399,1.0,2.1870181221572693e-09,2.1870181221572693e-09,
p30,candle/Data/Images/Normal/0796.JPG,77.32048800295263,13.150545384618129,0.17007840643887231,0.9990363850024335,1.0,2.1285386786473737e-09,2.1285386786473737e-09,
p30,candle/Data/Images/Normal/0402.JPG,77.32048800295263,12.909979078243381,0.16696711844020423,0.9993748498780668,1.0,2.1057031673876736e-09,2.1057031673876736e-09,
p30,candle/Data/Images/Anomaly/094.JPG,21.063601769024732,187.5875797564038,8.905769384239992,0.9716325257763095,0.1728395061728395,0.11504773050546646,0.10749305039644241,0.6650018095970154
p30,candle/Data/Images/Anomaly/018.JPG,15.646299658506765,70.46393765001963,4.503552864763712,0.9816680584135924,0.1111111111111111,0.022443166002631187,0.02029394544661045,0.9911486506462097
p30,candle/Data/Images/Anomaly/095.JPG,13.88689327228523,94.84393475918938,6.829744630390023,0.8436593960460712,0.1111111111111111,0.044939685612916946,0.04286438971757889,0.9129435420036316
p30,candle/Data/Images/Anomaly/076.JPG,17.441544958365697,114.7340578466275,6.578204976709717,0.9737082315006481,0.16049382716049382,0.06352892518043518,0.06296046823263168,0.976313591003418
p30,candle/Data/Images/Anomaly/054.JPG,25.931088013604263,24.614511088127006,0.9492278563557943,-0.48737212689876463,0.37037037037037035,2.418986514385324e-05,2.372596281929873e-05,0.010396687313914299
p30,candle/Data/Images/Normal/0168.JPG,77.32048800295263,13.265082122746282,0.17155973100221159,0.9993078317946625,1.0,2.1415806905622503e-09,2.1415806905622503e-09,
p30,candle/Data/Images/Normal/0320.JPG,77.32048800295263,13.214236076046546,0.1709021297892214,0.999343504604589,1.0,2.0840085213080783e-09,2.0840085213080783e-09,
p30,candle/Data/Images/Normal/0215.JPG,77.32048800295263,13.29049530255482,0.171888404300388,0.9992178643057769,1.0,2.086027128811452e-09,2.086027128811452e-09,
p30,candle/Data/Images/Normal/0923.JPG,77.32048800295263,13.161700330167834,0.17022267538799327,0.999378306447794,1.0,2.1102342095957738e-09,2.1102342095957738e-09,
p30,candle/Data/Images/Anomaly/059.JPG,77.24561321031096,7.54173092823026,0.0976331291163026,0.8836745569445145,0.9753086419753086,2.5074484710785327e-09,2.5036497319774753e-09,2.573613073764136e-07
p30,candle/Data/Images/Normal/0784.JPG,77.32048800295263,13.19386009017098,0.1706386034406191,0.9993715341438404,1.0,2.128702991655018e-09,2.128702991655018e-09,
p30,candle/Data/Images/Anomaly/032.JPG,15.096999353950325,96.95540418414532,6.422163895686707,-0.6004945755354755,0.04938271604938271,0.050903916358947754,0.05075816810131073,0.29068031907081604
p30,candle/Data/Images/Anomaly/073.JPG,12.130284370413243,115.91527020512103,9.55585760939355,-0.1765392178096644,0.04938271604938271,0.0637955591082573,0.06356297433376312,0.8154388070106506
p30,candle/Data/Images/Normal/0811.JPG,77.32048800295263,13.240064049648272,0.17123616769131972,0.9993227267877515,1.0,2.1345420986307317e-09,2.1345420986307317e-09,
