epoch,batch,parameter_group,cls_grad_norm,seg_grad_norm,cosine
1,0,shared_image_lora,0.011085720744270002,0.0009059147244693924,0.034360382082702735
1,0,m_i_w,0.015219610371674309,0.0004907795907576533,0.08936506129935447
1,0,hard_text_adapter,0.32574624254905477,0.034193752195582225,0.3272014421839215
1,0,soft_prompt,NA,NA,NA
1,1,shared_image_lora,0.019184197001395537,1.1872774646349402,-0.16860786373954834
1,1,m_i_w,0.023873751022512064,0.9022305753566372,0.19160221246017878
1,1,hard_text_adapter,0.3165522430182306,0.0756965533397894,0.38776766915150995
1,1,soft_prompt,NA,NA,NA
1,2,shared_image_lora,0.013108581238793462,0.5931746258553691,0.01968539555656988
1,2,m_i_w,0.014131160922112312,0.40748788289994187,-0.06953744633956273
1,2,hard_text_adapter,0.24300331277435797,0.07230106772950427,0.2375351719464871
1,2,soft_prompt,NA,NA,NA
2,0,shared_image_lora,0.03881974276905511,0.002880093600322069,0.19316546108464241
2,0,m_i_w,0.07956260447411173,0.0013843878205093013,0.06364668812939032
2,0,hard_text_adapter,0.2994920629396758,0.025591524586456468,0.06325601747987962
2,0,soft_prompt,NA,NA,NA
2,1,shared_image_lora,0.011224831974599699,0.0001488891977547417,-0.12158776102530551
2,1,m_i_w,0.02670568104839606,0.0002282195680779492,0.05103123651492752
2,1,hard_text_adapter,0.2049365761716298,0.02178105927032466,-0.242683739432656
2,1,soft_prompt,NA,NA,NA
2,2,shared_image_lora,0.02177353247128952,1.4087656984642478,0.19653316791169795
2,2,m_i_w,0.03522403327501447,0.9625494141255903,0.16212065345414495
2,2,hard_text_adapter,0.22813387914156197,0.30665108787099726,-0.2621209207226285
2,2,soft_prompt,NA,NA,NA
3,0,shared_image_lora,0.0479319286350489,0.0009848075900151555,0.14236998167683343
3,0,m_i_w,0.15210431644265082,0.002462407988050311,0.11855067042847584
3,0,hard_text_adapter,0.24120638417005394,0.014906346304856464,0.19780813845900183
3,0,soft_prompt,NA,NA,NA
3,1,shared_image_lora,0.09968136376734414,0.0002355693954324932,0.3263770011329663
3,1,m_i_w,0.20368891164437397,0.0005803457821918098,-0.05700666696897809
3,1,hard_text_adapter,0.1652427929788237,0.0103422708858133,0.49485363292957113
3,1,soft_prompt,NA,NA,NA
3,2,shared_image_lora,0.1270719127612039,0.2586978469507393,0.6129569830843795
3,2,m_i_w,0.1391220617856428,0.22045795077985128,0.2602816519414443
3,2,hard_text_adapter,0.16814025811262706,0.11995503099187632,0.26024746515732444
3,2,soft_prompt,NA,NA,NA
