epoch,intended_image_lr,actual_anchor_image_lr,lr_ratio,source_parent_pixel_auroc,medical_parent_pixel_auroc_macro,source_parent_pixel_ap,medical_parent_pixel_ap_macro,source_parent_image_auroc,medical_parent_image_auroc_macro,source_parent_image_ap,medical_parent_image_ap_macro,source_old_cir_alpha0_pixel_auroc,medical_old_cir_alpha0_pixel_auroc_macro,source_old_cir_alpha0_pixel_ap,medical_old_cir_alpha0_pixel_ap_macro,source_old_cir_alpha0_image_auroc,medical_old_cir_alpha0_image_auroc_macro,source_old_cir_alpha0_image_ap,medical_old_cir_alpha0_image_ap_macro,source_old_cir_alpha05_pixel_auroc,medical_old_cir_alpha05_pixel_auroc_macro,source_old_cir_alpha05_pixel_ap,medical_old_cir_alpha05_pixel_ap_macro,source_old_cir_alpha05_image_auroc,medical_old_cir_alpha05_image_auroc_macro,source_old_cir_alpha05_image_ap,medical_old_cir_alpha05_image_ap_macro,source_anchor_alpha0_pixel_auroc,medical_anchor_alpha0_pixel_auroc_macro,source_anchor_alpha0_pixel_ap,medical_anchor_alpha0_pixel_ap_macro,source_anchor_alpha0_image_auroc,medical_anchor_alpha0_image_auroc_macro,source_anchor_alpha0_image_ap,medical_anchor_alpha0_image_ap_macro,source_anchor_alpha05_pixel_auroc,medical_anchor_alpha05_pixel_auroc_macro,source_anchor_alpha05_pixel_ap,medical_anchor_alpha05_pixel_ap_macro,source_anchor_alpha05_image_auroc,medical_anchor_alpha05_image_auroc_macro,source_anchor_alpha05_image_ap,medical_anchor_alpha05_image_ap_macro
10,0.0003486784401000001,0.0003486784401,0.9999999999999997,0.9718331156740962,0.8791183736658615,0.4949767817164079,0.31809332672430074,0.9691840277777778,0.699124648588714,0.9739874960951798,0.7221927152721377,0.9275117531454271,0.8649981174325292,0.4626210940744351,0.2995771207621866,0.9592013888888888,0.716896710229062,0.9671114455979801,0.7171434247235994,0.927392559874315,0.8649195939920071,0.4627000914353844,0.29952808341406506,0.9592013888888888,0.716892273541231,0.9671114455979801,0.7171512248559582,0.9363427821187615,0.8928308767181323,0.5241297136356572,0.33546450560177193,0.9565972222222222,0.7249728932113394,0.9621669207389834,0.7350188600018522,0.935898332156053,0.8926590785542562,0.5240725148188079,0.33530702329367984,0.9565972222222222,0.7249750951083584,0.9621669207389834,0.735025401462022
12,0.0002824295364810001,0.00028242953648100003,0.9999999999999998,0.9605990320026057,0.8878002215875263,0.4573300920889267,0.3274349979736307,0.9861111111111112,0.7022255735339968,0.986964447863963,0.7240453591351899,0.9372797640037236,0.8681865202848463,0.4595460803652942,0.3015308288938933,0.9670138888888888,0.7053553632954317,0.9730585310338221,0.7207898708835734,0.9387040172066397,0.8680833731289619,0.45962888427739906,0.30144382870196296,0.9670138888888888,0.7053611836021205,0.9730585310338221,0.7207821788035682,0.9622300274477298,0.8964411735823175,0.5400545272313739,0.33882565011047183,0.94140625,0.7443595337102885,0.9594091520679859,0.7459116881538193,0.9625702423608328,0.8963442288290633,0.5401075925385356,0.33871816630776,0.94140625,0.7443746761682314,0.9594091520679859,0.7459274545760659
14,0.0002287679245496101,0.00022876792454961005,0.9999999999999998,0.961153083092938,0.8822626562213105,0.4756023564118824,0.3233083578750997,0.9852430555555556,0.6779740167280497,0.986690049743004,0.7048566721417806,0.9378951387732162,0.8682751291403945,0.513409215690459,0.3101505837760948,0.9822048611111112,0.712141332543194,0.9844964527264322,0.7254293412332075,0.9392449564117534,0.8682153884187115,0.5135118723113324,0.31013724174378404,0.9822048611111112,0.7121418665887914,0.9844964527264322,0.7254275924966288,0.9585668986124577,0.897154342637277,0.5402163539878451,0.33873796975571097,0.9769965277777778,0.7252245531820921,0.981158068657559,0.7320427982728828,0.9588193757406576,0.8971459273596549,0.5401751577807383,0.33870159279974854,0.9769965277777778,0.7252431943229536,0.981158068657559,0.7320529229523766
16,0.00018530201888518417,0.00018530201888518417,1.0,0.954717579317569,0.8815486899597714,0.4709689477631647,0.322745266039576,0.9908854166666666,0.681336082843712,0.9918278100290037,0.7100127764641091,0.9513386568857485,0.8708857400649649,0.4800598905252289,0.30862988724182205,0.9921875,0.7084252572577553,0.9932369608741389,0.7208030226992943,0.9516691849666578,0.8707714552203258,0.4801926644926457,0.3086269395998107,0.9921875,0.7084383807165504,0.9932369608741389,0.7208160008894983,0.9637195270321032,0.8970948421034908,0.5423002845050447,0.3376763863954483,0.9835069444444444,0.7298368648574083,0.9860975174351163,0.740355571768981,0.9640327313577209,0.897044898835791,0.5423272221865045,0.33762580698103645,0.9835069444444444,0.7298462215383649,0.9860975174351163,0.740366239038329
18,0.00015009463529699917,0.0001500946352969992,1.0000000000000002,0.9692251299971568,0.8849673502064086,0.48556153984230804,0.32938851138195085,0.9709201388888888,0.6840452398666014,0.9768491037042383,0.7096873564169832,0.9569664721157103,0.8772082843993494,0.36762411828863056,0.30642704423490696,0.9939236111111112,0.7096385086826549,0.9946653189577717,0.7211645890389664,0.9568007997639306,0.8772003353107696,0.36764893164199075,0.30648175242494774,0.9939236111111112,0.7096358062158588,0.9946653189577717,0.721165260771894,0.9684995872272184,0.8957106175050913,0.5139898163693117,0.33151069483419315,0.9787326388888888,0.7436255681049165,0.9817828032099363,0.7521155266111056,0.9683533477998791,0.8956175549564717,0.5139919176649518,0.33138225871741783,0.9787326388888888,0.7436257239969112,0.9817828032099363,0.7521148854829967
20,0.00012157665459056935,0.00012157665459056936,1.0000000000000002,0.9610675116753277,0.8794565011252627,0.47466737499420975,0.32751053321707435,0.9839409722222222,0.6894104518324536,0.9862724224800008,0.709636289230577,0.9597833100867541,0.8725483150042435,0.5489931900084172,0.30243126366473194,0.9978298611111112,0.6992754549831149,0.9980345911949685,0.7218284091769421,0.9598483967623433,0.872532352210677,0.5490750703135155,0.30241380507947746,0.9978298611111112,0.6992727935155966,0.9980345911949685,0.7218264781227075,0.9713990943650904,0.8945538026933935,0.5380940796113636,0.3305612993814239,0.9917534722222222,0.7387622888645073,0.9926053839044036,0.7450617670587691,0.9711176169271775,0.894448571918055,0.5379383128662353,0.3304386762018511,0.9917534722222222,0.7387651860783329,0.9926053839044036,0.7450559351948278
