epoch,method,n_images,pixel_auroc,pixel_ap,image_auroc,image_ap,recomputed,source,checkpoint_sha256,config_sha256,evaluator_git_sha,evaluator_sha256,evaluation_seconds
10,P,96,0.9718331156740962,0.4949767817164079,0.9691840277777778,0.9739874960951798,False,frozen_SOURCE_BOUNDED_METRICS.csv,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
10,C_OLD_0,96,0.9275117531454271,0.4626210940744351,0.9592013888888888,0.9671114455979801,False,frozen_SOURCE_BOUNDED_METRICS.csv,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
10,C_OLD_05,96,0.927392559874315,0.4627000914353844,0.9592013888888888,0.9671114455979801,False,frozen_SOURCE_BOUNDED_METRICS.csv,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
10,A0,96,0.9363427821187615,0.5241297136356572,0.9565972222222222,0.9621669207389834,True,matched_horizon_anchor_e14_source_eval.csv,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,21.915420001838356
10,A05,96,0.935898332156053,0.5240725148188079,0.9565972222222222,0.9621669207389834,True,matched_horizon_anchor_e14_source_eval.csv,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,23.37900390289724
12,P,96,0.9605990320026057,0.4573300920889267,0.9861111111111112,0.986964447863963,False,frozen_SOURCE_BOUNDED_METRICS.csv,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
12,C_OLD_0,96,0.9372797640037236,0.4595460803652942,0.9670138888888888,0.9730585310338221,False,frozen_SOURCE_BOUNDED_METRICS.csv,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
12,C_OLD_05,96,0.9387040172066397,0.45962888427739906,0.9670138888888888,0.9730585310338221,False,frozen_SOURCE_BOUNDED_METRICS.csv,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
12,A0,96,0.9622300274477298,0.5400545272313739,0.94140625,0.9594091520679859,True,matched_horizon_anchor_e14_source_eval.csv,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,20.882996262051165
12,A05,96,0.9625702423608328,0.5401075925385356,0.94140625,0.9594091520679859,True,matched_horizon_anchor_e14_source_eval.csv,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,22.389985404908657
14,P,96,0.961153083092938,0.4756023564118824,0.9852430555555556,0.986690049743004,False,frozen_SOURCE_BOUNDED_METRICS.csv,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
14,C_OLD_0,96,0.9378951387732162,0.513409215690459,0.9822048611111112,0.9844964527264322,False,frozen_SOURCE_BOUNDED_METRICS.csv,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
14,C_OLD_05,96,0.9392449564117534,0.5135118723113324,0.9822048611111112,0.9844964527264322,False,frozen_SOURCE_BOUNDED_METRICS.csv,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
14,A0,96,0.9585668986124577,0.5402163539878451,0.9769965277777778,0.981158068657559,True,matched_horizon_anchor_e14_source_eval.csv,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,20.732928793877363
14,A05,96,0.9588193757406576,0.5401751577807383,0.9769965277777778,0.981158068657559,True,matched_horizon_anchor_e14_source_eval.csv,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,22.27516647009179
16,P,96,0.954717579317569,0.4709689477631647,0.9908854166666666,0.9918278100290037,False,frozen_SOURCE_BOUNDED_METRICS.csv,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
16,C_OLD_0,96,0.9513386568857485,0.4800598905252289,0.9921875,0.9932369608741389,False,frozen_SOURCE_BOUNDED_METRICS.csv,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
16,C_OLD_05,96,0.9516691849666578,0.4801926644926457,0.9921875,0.9932369608741389,False,frozen_SOURCE_BOUNDED_METRICS.csv,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,
16,A0,96,0.9637195270321032,0.5423002845050447,0.9835069444444444,0.9860975174351163,True,new_anchor_checkpoint,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,36.28287745406851
