epoch,base_grad_l2,anchor_grad_l2,anchor_to_base_ratio,probe_batch,source
16,2.193866729736328,0.00020838134514633566,9.498359327021663e-05,1,first_batch_bounded_probe
18,0.9307919144630432,6.776950613129884e-05,7.280843879095558e-05,1,first_batch_bounded_probe
20,0.6929508447647095,0.0001345622877124697,0.00019418734926019196,1,first_batch_bounded_probe
