epoch,target,anchor_train_effect_pixel_auroc,anchor_rmt_inference_effect_pixel_auroc,anchor_total_effect_pixel_auroc,anchor_vs_old_cir_pixel_auroc,old_cir_rmt_inference_effect_pixel_auroc,anchor_train_effect_pixel_ap,anchor_rmt_inference_effect_pixel_ap,anchor_total_effect_pixel_ap,anchor_vs_old_cir_pixel_ap,old_cir_rmt_inference_effect_pixel_ap,anchor_train_effect_image_auroc,anchor_rmt_inference_effect_image_auroc,anchor_total_effect_image_auroc,anchor_vs_old_cir_image_auroc,old_cir_rmt_inference_effect_image_auroc,anchor_train_effect_image_ap,anchor_rmt_inference_effect_image_ap,anchor_total_effect_image_ap,anchor_vs_old_cir_image_ap,old_cir_rmt_inference_effect_image_ap
10,Brain,-0.00600628042307072,-6.249770697530632e-05,-0.006068778130046026,0.010463772029351559,-5.4004984305078274e-05,-0.045696436061183676,-0.0001079222229727339,-0.04580435828415641,0.013612354198598076,7.228927598756929e-05,0.022711382113821177,6.605691056926766e-06,0.022717987804878104,-0.04906173780487799,1.3973577235870671e-05,0.011602352207267685,2.4735210739645908e-06,0.01160482572834165,-0.012931854594241177,7.779961758935805e-06
10,Liver,0.0078100801258342845,-0.00011933218771609244,0.007690747938118192,-0.017448385753824125,-2.2523678660624213e-05,0.004367145237959995,-3.480376374543487e-05,0.00433234147421456,-0.037184553599593044,-5.0928542231848395e-05,-0.053032121939684984,0.0,-0.053032121939684984,0.01213030666812176,-2.7283640729014458e-05,-0.04751616659687996,1.986750025073647e-05,-0.047496299096629224,-0.007880357327966825,1.5620435317331705e-05
10,Retina,0.011497796665471682,-0.00045212236217406776,0.011045674303297615,0.0176784097629612,-0.00013285610249569313,0.02612852375545427,-0.0005369782316121952,0.025591545523842074,0.04945645181819219,-0.0002279254591763813,0.10786547369374,0.0,0.10786547369374,0.06115998008358858,0.0,0.07439224857875604,-2.7166408154144506e-06,0.07438953193794062,0.07443851775696675,0.0
10,Colon_clinicDB,0.022308700260139314,-0.00011754351591142242,0.02219115674422789,0.06387500745021146,-0.00012326715151711465,0.06577801523609911,-7.795828834611385e-05,0.065700056947753,0.12196116102973986,-6.021672299899583e-05,,,,,,,,,,
10,Colon_colonDB,0.01997648009844666,-0.0001885491833272246,0.019787930915119434,0.030580058139709876,-6.915649539274149e-05,0.010627072240139146,-8.94769975091636e-05,0.010537595242629982,0.00978068332812898,-3.994704710380548e-05,,,,,,,,,,
10,Colon_Kvasir,0.026688241586803274,-9.074402715292251e-05,0.02659749755965035,0.06184769408520885,-6.933223076099893e-05,0.04302275285635837,-9.775434436698482e-05,0.042924998511991386,0.057698212262445925,1.2504406794011658e-05,,,,,,,,,,
12,Brain,0.008214863031870467,-3.742136246509542e-05,0.008177441669405372,0.00808189979551932,-2.860829200312942e-06,0.03194915419954075,-3.2599876998329336e-05,0.03191655432254242,0.05787512483290999,5.597781168739657e-05,0.04802642276422764,3.074186991869343e-05,0.04805716463414633,0.02160467479674799,3.201219512194431e-05,0.021576381831398872,9.691772292264034e-06,0.021586073603691136,0.012256982487974133,1.3548554998021878e-05
12,Liver,0.004149810780467167,-4.7778679367338484e-05,0.004102032101099828,-0.02049346723836798,-2.3125255019684765e-05,-0.001706639177329626,-2.199688188039145e-05,-0.0017286360592100175,-0.06028605033113393,-2.1579476491104255e-05,-0.03480483102331844,1.0913456291561374e-05,-0.03479391756702688,0.013574520717377858,-1.4551275055452173e-05,-0.02748350170353764,2.38884454806243e-05,-0.027459613258057014,0.009050702248356135,-1.232397490519288e-05
12,Retina,0.020396926989373454,-0.00014201215776721288,0.02025491483160624,0.06487760570269352,-0.00029915831073290544,-0.00939170203524936,-0.00033744167384763823,-0.009729143709096999,0.0687161548618827,-0.0003958064310742859,0.11318028878796571,3.7720476182556695e-06,0.11318406083558397,0.0818333157304445,0.0,0.07150610692802717,1.3719048967075764e-05,0.07151982597699424,0.05405776707440746,-2.4300820108180687e-05
12,Colon_clinicDB,0.008247599227310887,-0.00012096848066256438,0.008126630746648322,0.05223187219514058,-0.0001262918860941431,0.026170519903040756,-7.96173560550506e-05,0.026090902546985706,0.10661286978020407,-8.402812895264011e-05,,,,,,,,,,
12,Colon_colonDB,0.0026732922115898505,-0.00015018822234302842,0.002523103989246822,0.016783157811493865,-8.929935854640192e-05,0.009619000235091935,-9.669456998723236e-05,0.009522305665104702,-0.014642547468334266,-3.9539345629113765e-05,,,,,,,,,,
12,Colon_Kvasir,0.008163219728135607,-8.329961691977417e-05,0.008079920111215833,0.04804685151834742,-7.814729571375967e-05,0.01170357969595237,-7.655245750204376e-05,0.011627027238450327,0.06549337562394247,-3.7025581122229756e-05,,,,,,,,,,
