epoch,method,cohort,stat,value,n,checkpoint_sha256,source
10,P,normal,p10,2.6777757788920553e-09,12879552,,
10,P,normal,p50,2.846017421731517e-09,12879552,,
10,P,normal,p90,4.789328489351874e-09,12879552,,
10,P,normal,p95,6.432360688535245e-09,12879552,,
10,P,normal,p99,1.3887223815345351e-08,12879552,,
10,P,normal,p99.5,1.939285938945539e-08,12879552,,
10,P,normal,p99.9,4.381086756310856e-08,12879552,,
10,P,anomaly,p10,2.8061082346653166e-09,12879552,,
10,P,anomaly,p50,3.7072012126770915e-09,12879552,,
10,P,anomaly,p90,1.6935850055688206e-08,12879552,,
10,P,anomaly,p95,6.3632521829504e-08,12879552,,
10,P,anomaly,p99,1.1920548668058709e-05,12879552,,
10,P,anomaly,p99.5,0.0006910210175556077,12879552,,
10,P,anomaly,p99.9,0.24137196135519212,12879552,,
10,P,all,top_precision_0.001,0.611824993206258,25759,,
10,P,all,top_precision_0.005,0.23461132333302276,128796,,
10,P,all,top_precision_0.01,0.12932128839905122,257591,,
10,P,all,top_precision_0.02,0.0664056585827921,515182,,
10,P,all,top_precision_0.05,0.02802194176038759,1287955,,
10,C_OLD_0,normal,p10,2.5550783711025815e-09,12879552,,
10,C_OLD_0,normal,p50,2.8039039978722258e-09,12879552,,
10,C_OLD_0,normal,p90,4.629129524147402e-09,12879552,,
10,C_OLD_0,normal,p95,6.331700941331064e-09,12879552,,
10,C_OLD_0,normal,p99,3.210351977145369e-08,12879552,,
10,C_OLD_0,normal,p99.5,5.457972960698447e-08,12879552,,
10,C_OLD_0,normal,p99.9,1.0462194482130172e-07,12879552,,
10,C_OLD_0,anomaly,p10,2.9688369540536996e-09,12879552,,
10,C_OLD_0,anomaly,p50,8.197830858591715e-09,12879552,,
10,C_OLD_0,anomaly,p90,1.3593866441397045e-07,12879552,,
10,C_OLD_0,anomaly,p95,9.395101699283206e-07,12879552,,
10,C_OLD_0,anomaly,p99,5.576595871389165e-05,12879552,,
10,C_OLD_0,anomaly,p99.5,0.0013657817064085837,12879552,,
10,C_OLD_0,anomaly,p99.9,0.24268630063532082,12879552,,
10,C_OLD_0,all,top_precision_0.001,0.640824566171047,25759,,
10,C_OLD_0,all,top_precision_0.005,0.22780986987173515,128796,,
10,C_OLD_0,all,top_precision_0.01,0.12111059780815324,257591,,
10,C_OLD_0,all,top_precision_0.02,0.0630903253607463,515182,,
10,C_OLD_0,all,top_precision_0.05,0.026818483565031387,1287955,,
10,C_OLD_05,normal,p10,2.654348740804835e-09,12879552,,
10,C_OLD_05,normal,p50,2.9093603082230857e-09,12879552,,
10,C_OLD_05,normal,p90,4.720728252749495e-09,12879552,,
10,C_OLD_05,normal,p95,6.441870148421458e-09,12879552,,
10,C_OLD_05,normal,p99,3.2047540869939454e-08,12879552,,
10,C_OLD_05,normal,p99.5,5.436401737668419e-08,12879552,,
10,C_OLD_05,normal,p99.9,1.0410515459824302e-07,12879552,,
10,C_OLD_05,anomaly,p10,3.073448162638215e-09,12879552,,
10,C_OLD_05,anomaly,p50,8.365356407580293e-09,12879552,,
10,C_OLD_05,anomaly,p90,1.3752560334978625e-07,12879552,,
10,C_OLD_05,anomaly,p95,9.468059801065452e-07,12879552,,
10,C_OLD_05,anomaly,p99,5.599132604402298e-05,12879552,,
10,C_OLD_05,anomaly,p99.5,0.0013713613798608394,12879552,,
10,C_OLD_05,anomaly,p99.9,0.24309613919253437,12879552,,
10,C_OLD_05,all,top_precision_0.001,0.6408633875538646,25759,,
10,C_OLD_05,all,top_precision_0.005,0.22779434143917512,128796,,
10,C_OLD_05,all,top_precision_0.01,0.12109506931530993,257591,,
10,C_OLD_05,all,top_precision_0.02,0.0630903253607463,515182,,
10,C_OLD_05,all,top_precision_0.05,0.02681304859253623,1287955,,
12,P,normal,p10,2.5925244173663486e-09,12879552,,
12,P,normal,p50,2.8470055202234335e-09,12879552,,
12,P,normal,p90,6.9531105317821584e-09,12879552,,
12,P,normal,p95,1.124006132613431e-08,12879552,,
12,P,normal,p99,3.7213751760134575e-08,12879552,,
12,P,normal,p99.5,6.641778735882988e-08,12879552,,
12,P,normal,p99.9,3.2458905118913226e-07,12879552,,
12,P,anomaly,p10,2.8752733527426244e-09,12879552,,
12,P,anomaly,p50,5.420554671786704e-09,12879552,,
12,P,anomaly,p90,2.1000136598559068e-07,12879552,,
12,P,anomaly,p95,4.930897102894942e-06,12879552,,
12,P,anomaly,p99,0.0018489812244661288,12879552,,
12,P,anomaly,p99.5,0.033326464835551635,12879552,,
12,P,anomaly,p99.9,0.8825421146750091,12879552,,
12,P,all,top_precision_0.001,0.5782833184518033,25759,,
12,P,all,top_precision_0.005,0.22316686853628995,128796,,
12,P,all,top_precision_0.01,0.12449192712478309,257591,,
12,P,all,top_precision_0.02,0.06481398806635325,515182,,
12,P,all,top_precision_0.05,0.027470680264450233,1287955,,
12,C_OLD_0,normal,p10,2.473700355665187e-09,12879552,,
12,C_OLD_0,normal,p50,2.7368367572222496e-09,12879552,,
12,C_OLD_0,normal,p90,5.552879489556517e-09,12879552,,
12,C_OLD_0,normal,p95,8.889636582409821e-09,12879552,,
12,C_OLD_0,normal,p99,4.129184912216035e-08,12879552,,
12,C_OLD_0,normal,p99.5,7.264148855767656e-08,12879552,,
12,C_OLD_0,normal,p99.9,1.7543405461139642e-07,12879552,,
12,C_OLD_0,anomaly,p10,3.5343403759213743e-09,12879552,,
12,C_OLD_0,anomaly,p50,8.641476867410347e-09,12879552,,
12,C_OLD_0,anomaly,p90,1.8438826430156054e-07,12879552,,
12,C_OLD_0,anomaly,p95,9.357945714327791e-07,12879552,,
12,C_OLD_0,anomaly,p99,0.00020752616823301775,12879552,,
12,C_OLD_0,anomaly,p99.5,0.0027242776262568482,12879552,,
12,C_OLD_0,anomaly,p99.9,0.3194576301275323,12879552,,
12,C_OLD_0,all,top_precision_0.001,0.5792926744050623,25759,,
12,C_OLD_0,all,top_precision_0.005,0.22951023323705705,128796,,
12,C_OLD_0,all,top_precision_0.01,0.1257419707986692,257591,,
12,C_OLD_0,all,top_precision_0.02,0.06787310115648451,515182,,
12,C_OLD_0,all,top_precision_0.05,0.027707489780310648,1287955,,
12,C_OLD_05,normal,p10,2.5757664889880516e-09,12879552,,
12,C_OLD_05,normal,p50,2.8288398290499117e-09,12879552,,
12,C_OLD_05,normal,p90,5.6814391413695415e-09,12879552,,
12,C_OLD_05,normal,p95,9.056880578839355e-09,12879552,,
12,C_OLD_05,normal,p99,4.154761054309134e-08,12879552,,
12,C_OLD_05,normal,p99.5,7.285117629152046e-08,12879552,,
12,C_OLD_05,normal,p99.9,1.7557023345204529e-07,12879552,,
12,C_OLD_05,anomaly,p10,3.619259336673508e-09,12879552,,
12,C_OLD_05,anomaly,p50,8.81058692669967e-09,12879552,,
12,C_OLD_05,anomaly,p90,1.8721571564128687e-07,12879552,,
12,C_OLD_05,anomaly,p95,9.452714579083416e-07,12879552,,
12,C_OLD_05,anomaly,p99,0.00020818990873522187,12879552,,
12,C_OLD_05,anomaly,p99.5,0.002731711290543781,12879552,,
12,C_OLD_05,anomaly,p99.9,0.31989783504603947,12879552,,
12,C_OLD_05,all,top_precision_0.001,0.57933149578788,25759,,
12,C_OLD_05,all,top_precision_0.005,0.22951023323705705,128796,,
12,C_OLD_05,all,top_precision_0.01,0.1257574992915125,257591,,
12,C_OLD_05,all,top_precision_0.02,0.06787310115648451,515182,,
12,C_OLD_05,all,top_precision_0.05,0.027708266204952814,1287955,,
14,P,normal,p10,2.5182691487657394e-09,12879552,,
14,P,normal,p50,2.7118325363062468e-09,12879552,,
14,P,normal,p90,5.026071114855313e-09,12879552,,
14,P,normal,p95,7.040957816784034e-09,12879552,,
14,P,normal,p99,1.7724328671420153e-08,12879552,,
14,P,normal,p99.5,2.6897153571070432e-08,12879552,,
14,P,normal,p99.9,1.185845211750755e-07,12879552,,
14,P,anomaly,p10,2.7872890662195005e-09,12879552,,
14,P,anomaly,p50,4.456250479734081e-09,12879552,,
14,P,anomaly,p90,8.059263478799039e-08,12879552,,
14,P,anomaly,p95,1.0019706223829345e-06,12879552,,
14,P,anomaly,p99,0.00041842681122944035,12879552,,
14,P,anomaly,p99.5,0.004492158256471111,12879552,,
14,P,anomaly,p99.9,0.38200528433912145,12879552,,
14,P,all,top_precision_0.001,0.634846073217128,25759,,
14,P,all,top_precision_0.005,0.22177707382216838,128796,,
14,P,all,top_precision_0.01,0.1254003439561165,257591,,
14,P,all,top_precision_0.02,0.06565446774149718,515182,,
14,P,all,top_precision_0.05,0.027151569736520297,1287955,,
14,C_OLD_0,normal,p10,2.3847723795711318e-09,12879552,,
14,C_OLD_0,normal,p50,2.611129312768412e-09,12879552,,
14,C_OLD_0,normal,p90,4.7383004186940525e-09,12879552,,
14,C_OLD_0,normal,p95,7.48753770096755e-09,12879552,,
14,C_OLD_0,normal,p99,2.8188822653874037e-08,12879552,,
14,C_OLD_0,normal,p99.5,4.421318918090812e-08,12879552,,
