epoch,reference,comparison,signal,axis,n_images,mean_cosine,median_cosine,norm_ratio,linear_cka,pairwise_geometry_corr,mean_abs_delta,geometry_rows
10,P_E10,C_OLD_E10,Seg_stage0_pooled,feature,96,0.8939092351471801,0.8951905842019283,0.9996982687961903,0.32104992938904,0.07765326226273982,0.012720344027411599,96
10,P_E10,C_OLD_E10,Seg_stage0_patch_subsample,patch_feature,96,0.8657891052233513,0.8870884210589987,0.9999999999475798,0.5337794760588007,0.7327147187974324,0.014429386108496959,96
10,P_E10,C_OLD_E10,Det_stage0,feature,96,0.37255683264032813,0.7380420465898807,0.9604189625528745,0.7376897333278989,0.30356825772182244,0.016046583308662626,96
10,P_E10,C_OLD_E10,DFG_native_weights_stage0,group_class,96,0.9926681329648298,0.9976361569446238,1.0834616090749964,0.5496735014047646,0.3660137692354164,0.13991910597703988,96
10,P_E10,C_OLD_E10,DFG_group_margins_stage0,patch_group,96,0.9949971543104107,0.9986864332144532,0.9964570884690123,0.5775252255906019,0.5645745965181548,0.09309237085456358,96
10,P_E10,C_OLD_E10,DFG_native_fused_margin_stage0,patch,96,0.9979036142606784,0.9983423659280733,0.9860687663765937,0.6876316691589995,0.6432976359369252,0.536073684332564,96
10,P_E10,C_OLD_E10,DFG_transported_margin_stage0,patch,96,0.9979027342127337,0.9983326506408773,0.986586536422169,0.6858279222135507,0.6438711483921821,0.5228837670815965,96
10,P_E10,C_OLD_E10,Seg_stage1_pooled,feature,96,0.8780036427640706,0.8796761838316827,0.9922727402020525,0.32257754047917175,0.2496253311523479,0.01384415474267239,96
10,P_E10,C_OLD_E10,Seg_stage1_patch_subsample,patch_feature,96,0.8632204614266072,0.8782551527333053,1.000000000201639,0.4467807700567518,0.8174984874857932,0.014706398227188226,96
10,P_E10,C_OLD_E10,Det_stage1,feature,96,0.724684090777958,0.8868834100095204,0.879723178773227,0.9207343726785293,0.7799914560156166,0.009262005722138207,96
