epoch,method,branch,image_auroc,image_ap,mean_score,n_images,checkpoint_sha256,source
10,P,classification_only,0.96875,0.9734244330321167,0.5338115644020339,96,,
10,P,pixel_max_only,0.9379340277777778,0.9582585588803931,0.10653778165578842,96,,
10,P,fused,0.9691840277777778,0.9739874960951798,0.4910841869213985,96,,
10,C_OLD_0,classification_only,0.9592013888888888,0.9671114455979801,0.5048416391946375,96,,
10,C_OLD_0,pixel_max_only,0.9453125,0.9627596330784756,0.09556537121534348,96,,
10,C_OLD_0,fused,0.9592013888888888,0.9671114455979801,0.46391401260397114,96,,
12,P,classification_only,0.984375,0.9852020326281784,0.5490867686457932,96,,
12,P,pixel_max_only,0.9444444444444444,0.9600429198242111,0.16623179614543915,96,,
12,P,fused,0.9861111111111112,0.986964447863963,0.5108012714349578,96,,
12,C_OLD_0,classification_only,0.9670138888888888,0.9730585310338221,0.5163983108165363,96,,
12,C_OLD_0,pixel_max_only,0.9652777777777778,0.9730000552194082,0.13053546845912933,96,,
12,C_OLD_0,fused,0.9670138888888888,0.9730585310338221,0.4778120272095772,96,,
14,P,classification_only,0.9852430555555556,0.986690049743004,0.5270083599413434,96,,
14,P,pixel_max_only,0.9440104166666666,0.9589561854228051,0.11467402428388596,96,,
14,P,fused,0.9852430555555556,0.986690049743004,0.48577492621924184,96,,
14,C_OLD_0,classification_only,0.9822048611111112,0.9844964527264322,0.48783868830651045,96,,
14,C_OLD_0,pixel_max_only,0.9622395833333334,0.9719498470829494,0.1335028111934662,96,,
14,C_OLD_0,fused,0.9822048611111112,0.9844964527264322,0.45240510095384684,96,,
16,P,classification_only,0.9908854166666666,0.9918278100290037,0.5675318329595029,96,,
16,P,pixel_max_only,0.9600694444444444,0.975200561031464,0.13215197622776031,96,,
16,P,fused,0.9908854166666666,0.9918278100290037,0.5239938466542801,96,,
16,C_OLD_0,classification_only,0.9921875,0.9932369608741389,0.5632717817400893,96,,
16,C_OLD_0,pixel_max_only,0.9704861111111112,0.976919571695793,0.1488034874200821,96,,
16,C_OLD_0,fused,0.9921875,0.9932369608741389,0.5218249527091868,96,,
18,P,classification_only,0.9704861111111112,0.9763409736229376,0.4961514229265352,96,,
18,P,pixel_max_only,0.9557291666666666,0.9715862633405902,0.12762080132961273,96,,
18,P,fused,0.9709201388888888,0.9768491037042383,0.4592983609112646,96,,
18,C_OLD_0,classification_only,0.9939236111111112,0.9946653189577717,0.5436132699251175,96,,
18,C_OLD_0,pixel_max_only,0.9743923611111112,0.9783942483953982,0.17777127027511597,96,,
18,C_OLD_0,fused,0.9939236111111112,0.9946653189577717,0.507029069215318,96,,
20,P,classification_only,0.9830729166666666,0.9853144415074849,0.4968484826385975,96,,
20,P,pixel_max_only,0.9774305555555556,0.9826744301179745,0.1260991245508194,96,,
20,P,fused,0.9839409722222222,0.9862724224800008,0.45977354615863136,96,,
20,C_OLD_0,classification_only,0.9978298611111112,0.9980345911949685,0.5584216291705767,96,,
20,C_OLD_0,pixel_max_only,0.9817708333333334,0.9874060596207335,0.11740151047706604,96,,
20,C_OLD_0,fused,0.9978298611111112,0.9980345911949685,0.5143196171547143,96,,
10,A0,classification_only,0.9509548611111112,0.9524183987997745,0.534018320341905,96,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,A0,pixel_max_only,0.9466145833333334,0.9610655478315779,0.1146857962012291,96,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
10,A0,fused,0.9565972222222222,0.9621669207389834,0.49208506704774296,96,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,new_CIR_checkpoint
12,A0,classification_only,0.9383680555555556,0.9552898771531833,0.540059978608042,96,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,A0,pixel_max_only,0.9674479166666666,0.9750112729957525,0.12874527275562286,96,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
12,A0,fused,0.94140625,0.9594091520679859,0.498928508856638,96,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9,new_CIR_checkpoint
14,A0,classification_only,0.9735243055555556,0.9771840911477052,0.5767169015792509,96,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,A0,pixel_max_only,0.9631076388888888,0.9741804909297489,0.14787639677524567,96,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
14,A0,fused,0.9769965277777778,0.981158068657559,0.5338328515989786,96,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,new_CIR_checkpoint
16,A0,classification_only,0.9826388888888888,0.9851701871725991,0.5338800172321498,96,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9,new_CIR_checkpoint
16,A0,pixel_max_only,0.9791666666666666,0.9829885143077994,0.11719855666160583,96,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9,new_CIR_checkpoint
16,A0,fused,0.9835069444444444,0.9860975174351163,0.4922118711919266,96,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9,new_CIR_checkpoint
18,A0,classification_only,0.9769965277777778,0.9798217474698108,0.5309464251622558,96,25779178f390b1bc9fc22d97a520bf43504fc805d21b68fe17e1986637b55050,new_CIR_checkpoint
18,A0,pixel_max_only,0.984375,0.9872024200916403,0.14225398004055023,96,25779178f390b1bc9fc22d97a520bf43504fc805d21b68fe17e1986637b55050,new_CIR_checkpoint
18,A0,fused,0.9787326388888888,0.9817828032099363,0.49207717943278134,96,25779178f390b1bc9fc22d97a520bf43504fc805d21b68fe17e1986637b55050,new_CIR_checkpoint
20,A0,classification_only,0.9917534722222222,0.9926053839044036,0.525450831434379,96,91f121852b6c20b8dddf31225518db10f79219b61e8b326e3afe37d06b4dbde6,new_CIR_checkpoint
20,A0,pixel_max_only,0.9926215277777778,0.9931879956220844,0.1254311054944992,96,91f121852b6c20b8dddf31225518db10f79219b61e8b326e3afe37d06b4dbde6,new_CIR_checkpoint
20,A0,fused,0.9917534722222222,0.9926053839044036,0.4854488594914062,96,91f121852b6c20b8dddf31225518db10f79219b61e8b326e3afe37d06b4dbde6,new_CIR_checkpoint
