row_type,epoch,target,comparison,source_feature_mean_drift,source_image_parameter_normalized_l2,anchor_train_effect_pixel_auroc,anchor_train_effect_pixel_ap,anchor_rmt_inference_effect_pixel_auroc,anchor_rmt_inference_effect_pixel_ap,association_metric,correlation_across_epochs,n_epochs,diagnostic_only
domain_epoch,10,Brain,C_OLD,0.10849465372055522,0.725920249780022,-0.00600628042307072,-0.045696436061183676,-6.249770697530632e-05,-0.0001079222229727339,,,,True
domain_epoch,10,Liver,C_OLD,0.10849465372055522,0.725920249780022,0.0078100801258342845,0.004367145237959995,-0.00011933218771609244,-3.480376374543487e-05,,,,True
domain_epoch,10,Retina,C_OLD,0.10849465372055522,0.725920249780022,0.011497796665471682,0.02612852375545427,-0.00045212236217406776,-0.0005369782316121952,,,,True
domain_epoch,10,Colon_clinicDB,C_OLD,0.10849465372055522,0.725920249780022,0.022308700260139314,0.06577801523609911,-0.00011754351591142242,-7.795828834611385e-05,,,,True
domain_epoch,10,Colon_colonDB,C_OLD,0.10849465372055522,0.725920249780022,0.01997648009844666,0.010627072240139146,-0.0001885491833272246,-8.94769975091636e-05,,,,True
domain_epoch,10,Colon_Kvasir,C_OLD,0.10849465372055522,0.725920249780022,0.026688241586803274,0.04302275285635837,-9.074402715292251e-05,-9.775434436698482e-05,,,,True
domain_epoch,10,Brain,A,0.12238698093800626,0.7016634737304807,-0.00600628042307072,-0.045696436061183676,-6.249770697530632e-05,-0.0001079222229727339,,,,True
domain_epoch,10,Liver,A,0.12238698093800626,0.7016634737304807,0.0078100801258342845,0.004367145237959995,-0.00011933218771609244,-3.480376374543487e-05,,,,True
domain_epoch,10,Retina,A,0.12238698093800626,0.7016634737304807,0.011497796665471682,0.02612852375545427,-0.00045212236217406776,-0.0005369782316121952,,,,True
domain_epoch,10,Colon_clinicDB,A,0.12238698093800626,0.7016634737304807,0.022308700260139314,0.06577801523609911,-0.00011754351591142242,-7.795828834611385e-05,,,,True
domain_epoch,10,Colon_colonDB,A,0.12238698093800626,0.7016634737304807,0.01997648009844666,0.010627072240139146,-0.0001885491833272246,-8.94769975091636e-05,,,,True
domain_epoch,10,Colon_Kvasir,A,0.12238698093800626,0.7016634737304807,0.026688241586803274,0.04302275285635837,-9.074402715292251e-05,-9.775434436698482e-05,,,,True
domain_epoch,12,Brain,C_OLD,0.11137175310641867,0.7393223622085061,0.008214863031870467,0.03194915419954075,-3.742136246509542e-05,-3.2599876998329336e-05,,,,True
domain_epoch,12,Liver,C_OLD,0.11137175310641867,0.7393223622085061,0.004149810780467167,-0.001706639177329626,-4.7778679367338484e-05,-2.199688188039145e-05,,,,True
domain_epoch,12,Retina,C_OLD,0.11137175310641867,0.7393223622085061,0.020396926989373454,-0.00939170203524936,-0.00014201215776721288,-0.00033744167384763823,,,,True
domain_epoch,12,Colon_clinicDB,C_OLD,0.11137175310641867,0.7393223622085061,0.008247599227310887,0.026170519903040756,-0.00012096848066256438,-7.96173560550506e-05,,,,True
domain_epoch,12,Colon_colonDB,C_OLD,0.11137175310641867,0.7393223622085061,0.0026732922115898505,0.009619000235091935,-0.00015018822234302842,-9.669456998723236e-05,,,,True
domain_epoch,12,Colon_Kvasir,C_OLD,0.11137175310641867,0.7393223622085061,0.008163219728135607,0.01170357969595237,-8.329961691977417e-05,-7.655245750204376e-05,,,,True
domain_epoch,12,Brain,A,0.12674356608951165,0.7121290865391966,0.008214863031870467,0.03194915419954075,-3.742136246509542e-05,-3.2599876998329336e-05,,,,True
domain_epoch,12,Liver,A,0.12674356608951165,0.7121290865391966,0.004149810780467167,-0.001706639177329626,-4.7778679367338484e-05,-2.199688188039145e-05,,,,True
domain_epoch,12,Retina,A,0.12674356608951165,0.7121290865391966,0.020396926989373454,-0.00939170203524936,-0.00014201215776721288,-0.00033744167384763823,,,,True
