epoch,reference,comparison,component,parameter_count,l2_distance,normalized_l2,cosine_flattened,relative_update_magnitude,max_abs_delta,diagnostic_reference,diagnostic_l2_to_p_e14,diagnostic_normalized_l2_to_p_e14,parent_checkpoint_sha256,old_cir_checkpoint_sha256,anchor_checkpoint_sha256
12,P_E12,A_E12,soft_prompt,6144,1.0235644805917854,0.8324095309142626,0.654813026429909,0.8293840710230609,0.057727960869669914,P_E14,1.0536447504325457,0.8376297806863059,6a531e91ce77d84d1baf4493183de2f09a0e4124f996986f862c2ea3b32d9bac,32ea4b7083a6727fe217e22dec33b622900d2ea6f0e5193fe795d342fd81abfb,bbbbfc6e24ac9dd1bfa87b596e3f6fe17a1b06cee6f5d4522ef67c4147a7e2f9
14,P_E14,C_OLD_E14,image_adapter,14015247,178.19113500672566,0.7494139548686117,0.7067267468451589,0.7856493090872566,0.8847395926713943,P_E14,178.19113500672566,0.7494139548686117,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81
14,P_E14,A_E14,image_adapter,14015247,170.7118495198909,0.7179585128452548,0.7374420677121202,0.7319179064008539,0.6572423130273819,P_E14,170.7118495198909,0.7179585128452548,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81
14,P_E14,C_OLD_E14,text_adapter,80640,7.0525501720017605,0.08361082440207518,0.9965147433627954,0.08342668769864883,0.43688538670539856,P_E14,7.0525501720017605,0.08361082440207518,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81
14,P_E14,A_E14,text_adapter,80640,7.602653810520738,0.09013252472343539,0.9959475444413101,0.08996196313156478,0.37834834307432175,P_E14,7.602653810520738,0.09013252472343539,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81
14,P_E14,C_OLD_E14,soft_prompt,6144,1.0327753566713676,0.821038965127214,0.667184871944471,0.8109048873462777,0.060947272926568985,P_E14,1.0327753566713676,0.821038965127214,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81
14,P_E14,A_E14,soft_prompt,6144,1.0801970927453761,0.8587384443597816,0.6320111632263175,0.8570497258695527,0.06452035158872604,P_E14,1.0801970927453761,0.8587384443597816,3eb6e2fe12f96b84745baf0f8a013f88c7f3a739283493a2ba5e31a35ad2f6c2,c78444c94bd669bae68b02d462b584df9c603a28a21834be76ea341fd867e15c,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81
16,P_E16,C_OLD_E16,image_adapter,14015247,181.08425867539543,0.7564990393193414,0.7022953792877817,0.7894640549034855,0.9007527157664299,P_E14,179.68215560022554,0.7556847025111537,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9
16,P_E16,A_E16,image_adapter,14015247,172.44924125753016,0.7204253218747425,0.736088132488082,0.7330763782962252,0.6603488326072693,P_E14,171.33920603044348,0.7205969702728257,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9
16,P_E16,C_OLD_E16,text_adapter,80640,7.262462493761897,0.08609178149019328,0.9963046950770541,0.08590217305920715,0.4636022076010704,P_E14,7.236399161046655,0.08579042825665771,7be7d0be6b2dbac57c48a2aedd264a04fcb1e6724240f8ab1fc1af561264f3bb,dfacf3c857c47832ac0a771443320d2c26b727e066824ecd58976093ec6b56a0,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9
