epoch,phase,elapsed_seconds,images_per_sec,batches,mean_loss,mean_cls,mean_seg,mean_image_anchor,anchor_reference_distance,rmt_delta_abs_mean,mad_p50,delta_p50,delta_saturation_percent,image_lr,text_lr,soft_prompt_lr,scheduler_last_epoch,scheduler_step_count,beta,peak_vram_bytes,peak_reserved_vram_bytes,host_rss_bytes,checkpoint_sha256,checkpoint_saved,gradient_probe
14,resume_cursor,952.6466850116849,2.2736656035006644,361,0.7578427287184961,0.41391810527138434,0.3431553412693194,0.3051457301071146,nan,0.7067876945241997,0.0023662447929382324,0.8342928886413574,37.01606350757409,0.00022876792454961005,0.00011438396227480502,9e-05,14,15,0.1,10424083968,11819548672,0,9b8fc5e7760037e772c9bd63d98ce56fcbbaa04f021258ca0d23aa8f2bf5ab81,True,{}
15,extension,932.1197955938987,2.3237356509738496,361,0.7569974080512398,0.41092423260872385,0.34531955707849227,0.3086940214409392,0.3116288185119629,0.7069413868344061,0.0026244521141052246,0.8329039216041565,36.980968210175426,0.00020589113209464906,0.00010294556604732453,9e-05,15,16,0.1,9428070400,11731468288,3782258688,,False,{}
16,extension,934.296895835083,2.318320878144425,361,0.7447481452593182,0.403404209546105,0.34060630306003004,0.31097770810457476,0.31156793236732483,0.7113118472191766,0.002507418394088745,0.8413159847259521,37.859967301426835,0.00018530201888518417,9.265100944259208e-05,9e-05,16,17,0.1,10897393152,11767119872,3791224832,2d030907f5234ca7367fadf4f3f4f83a9b8f5d792e65e1abbe23f54a32a354a9,True,"{""anchor_grad_l2"": 0.00020838134514633566, ""anchor_to_base_ratio"": 9.498359327021663e-05, ""base_grad_l2"": 2.193866729736328}"
17,extension,935.451821340248,2.3154586378341873,361,0.7381262978193173,0.3999723878758766,0.3374310076917803,0.3120539056297154,0.3132506012916565,0.7095973189517731,0.002641916275024414,0.8383222818374634,37.59793233012889,0.00016677181699666576,8.338590849833288e-05,9e-05,17,18,0.1,10897393152,11767119872,3791224832,,False,{}
18,extension,932.7864297488704,2.3220749476202625,361,0.7163658695207739,0.38635450238336155,0.3292998343117927,0.3146537262481996,0.3161073625087738,0.7130427426578596,0.002690553665161133,0.84531569480896,38.279792707712694,0.0001500946352969992,7.50473176484996e-05,9e-05,18,19,0.1,10897393152,11767119872,3791224832,25779178f390b1bc9fc22d97a520bf43504fc805d21b68fe17e1986637b55050,True,"{""anchor_grad_l2"": 6.776950613129884e-05, ""anchor_to_base_ratio"": 7.280843879095558e-05, ""base_grad_l2"": 0.9307919144630432}"
19,extension,934.6617889851332,2.317415802727817,361,0.7195002661187233,0.3871321497366369,0.33167015127528077,0.31681836254048545,0.3177128732204437,0.7131236565410265,0.0027853846549987793,0.8460736870765686,38.307611161321816,0.0001350851717672993,6.754258588364964e-05,9e-05,19,20,0.1,10897393152,11767119872,3791343616,,False,{}
20,extension,931.760471734684,2.3246317757690433,361,0.7092424837506048,0.3850264246691627,0.32353163747390384,0.31733711769706324,0.31787967681884766,0.7102536139725978,0.002580314874649048,0.8383726477622986,37.49211794616773,0.00012157665459056936,6.078832729528468e-05,9e-05,20,21,0.1,10897393152,11767119872,3791343616,91f121852b6c20b8dddf31225518db10f79219b61e8b326e3afe37d06b4dbde6,True,"{""anchor_grad_l2"": 0.0001345622877124697, ""anchor_to_base_ratio"": 0.00019418734926019196, ""base_grad_l2"": 0.6929508447647095}"
