target,epoch,method,alpha,n_images,target_count,image_metric_support,pixel_auroc,pixel_ap,image_auroc,image_ap,checkpoint_sha256,config_sha256,evaluator_git_sha,evaluator_sha256,source,status
Retina,10,A0,,1805,,,0.9031805970916739,0.3347594545201356,0.8140191921782821,0.7953812450726239,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Retina,10,A05,0.5,1805,,,0.9027284747294998,0.3342224762885234,0.8140191921782821,0.7953785284318085,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_clinicDB,10,P,,612,1,0,0.8572029362612525,0.44813780506804984,,,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_clinicDB,10,C_OLD_0,,612,1,0,0.8156366290711804,0.3919546592744091,,,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_clinicDB,10,C_OLD_05,0.5,612,1,0,0.8155133619196633,0.3918944425514101,,,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_clinicDB,10,A0,,612,,,0.8795116365213919,0.513915820304149,,,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_clinicDB,10,A05,0.5,612,,,0.8793940930054804,0.5138378620158028,,,58af2ea6e3d92232498e3cb9bcf40b251e7116cfbac9a34d1abd4b07487aeaf0,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,617eccb26d869c72c46046f586cd957e4e7301ed,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,new_anchor_checkpoint,COMPLETE
Colon_colonDB,10,P,,380,1,0,0.818144705850949,0.28927565452151943,,,31ca8344c646693d0ee51941d39f28aa07b6a102c49d1efdc5e3cdf2ec8bcc50,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_colonDB,10,C_OLD_0,,380,1,0,0.8075411278096858,0.2901220434335296,,,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
Colon_colonDB,10,C_OLD_05,0.5,380,1,0,0.807471971314293,0.2900820963864258,,,e4a2bfaef8f44a64dba87999c90f19accf7863eeba2e99eb587ef8cc65601722,064e8acd4369645f631030b5d60abf8615e878b50e9caff6a4a8b2439b64f81c,042174cdc63d9cb635566a1dae5b774056045383,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,frozen_corrected_medical_decomposition.csv,COMPLETE
