lineage,evaluator,epoch,target,pixel_auroc,pixel_ap,image_auroc,image_ap,pixel_auroc_support,pixel_ap_support,image_auroc_support,image_ap_support,precision,source,status
H1,CURRENT_EXACT_EVALUATOR,9,Retina,0.8939727463510221,0.4232669406001758,0.8210792079705881,0.807911101030194,1,1,1,1,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H1,CURRENT_EXACT_EVALUATOR,9,Colon_clinicDB,0.8957889752467181,0.5285448999971535,,,1,1,0,0,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H1,CURRENT_EXACT_EVALUATOR,9,Colon_colonDB,0.841982898411485,0.3103888548986118,,,1,1,0,0,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H1,CURRENT_EXACT_EVALUATOR,9,Colon_Kvasir,0.8822495480505048,0.6054590761063129,,,1,1,0,0,current evaluator,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,COMPLETE
H1,CURRENT_EXACT_EVALUATOR,9,ALL_MEDICAL_MACRO,0.9071193452097503,0.39848969615183755,0.7380945010066978,0.7505650121631279,6,6,3,3,,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h1_current_evaluator/same_checkpoint_current_evaluator.csv,
C2,CURRENT_EXACT_EVALUATOR,10,Brain,0.9427886775835665,0.33925961276193944,0.7355106707317073,0.9167754069939646,1,1,1,1,FP32,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv,COMPLETE
C2,CURRENT_EXACT_EVALUATOR,10,Liver,0.9408065356277716,0.034955286505307465,0.6557095565498927,0.5288137423285806,1,1,1,1,FP32,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv,COMPLETE
C2,CURRENT_EXACT_EVALUATOR,10,Retina,0.8916828004262022,0.30863093076468134,0.7061537184845421,0.7209889964938678,1,1,1,1,FP32,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv,COMPLETE
C2,CURRENT_EXACT_EVALUATOR,10,Colon_clinicDB,0.8572029362612525,0.44813780506804984,,,1,1,0,0,FP32,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv,COMPLETE
C2,CURRENT_EXACT_EVALUATOR,10,Colon_colonDB,0.818144705850949,0.28927565452151943,,,1,1,0,0,FP32,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv,COMPLETE
C2,CURRENT_EXACT_EVALUATOR,10,Colon_Kvasir,0.8240845862454276,0.48830067072430694,,,1,1,0,0,FP32,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv,COMPLETE
C2,CURRENT_EXACT_EVALUATOR,10,ALL_MEDICAL_MACRO,0.8791183736658614,0.31809332672430074,0.699124648588714,0.7221927152721377,6,6,3,3,,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/corrective_matched_retrain_20260830/corrected_medical_decomposition.csv,
