lineage,method,epoch,target,pixel_auroc,pixel_ap,image_auroc,image_ap,evaluator_sha256,evaluator_git_sha,checkpoint_sha256,config_sha256,selection_rule,comparability,source
H2,H2,10,Colon_clinicDB,0.8897592833311395,0.5745580947454461,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Colon_colonDB,0.8379044940342908,0.35714364916681673,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,Colon_Kvasir,0.8834224212399449,0.6349704025559091,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
H2,H2,10,ALL_MEDICAL_MACRO,0.9092218791379595,0.40373064551722954,0.7162927247483871,0.7071733314009654,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,1564a0c9f32a7e93fb333ca8b0950a2fb2c73cc2,ae27443f99020588298a9ecc6dfc833a83ebe7a752f00e8524042d5a84a2c0cb,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,fixed historical E10,same evaluator implementation hash; historical selection provenance remains separate,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/runs/phase2b_historical_gain_forensics_20260901/h2_current_evaluator/same_checkpoint_current_evaluator.csv
C2,P,18,Brain,0.9222838880959305,0.2594028636916403,0.7432367886178862,0.9190578703050072,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C2_E18_SHA_IN_FINAL_MATRIX,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max current P pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C2,P,18,Liver,0.9480955251455315,0.03762255582469893,0.6489050165520753,0.5173741683833233,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C2_E18_SHA_IN_FINAL_MATRIX,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max current P pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C2,P,18,Retina,0.9122030642315315,0.3684744679180612,0.6599939144298425,0.6926300305626191,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C2_E18_SHA_IN_FINAL_MATRIX,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max current P pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C2,P,18,Colon_clinicDB,0.8578278424277869,0.4538048008251949,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C2_E18_SHA_IN_FINAL_MATRIX,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max current P pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C2,P,18,Colon_colonDB,0.820236762918231,0.3094835609144706,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C2_E18_SHA_IN_FINAL_MATRIX,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max current P pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
C2,P,18,Colon_Kvasir,0.8491570184194398,0.547542819117639,,,cbcfaf4b2eda645fc6b440ed9bb486b5fb6b6f3af908e1c0ec70bafe13db0797,042174cdc63d9cb635566a1dae5b774056045383,C2_E18_SHA_IN_FINAL_MATRIX,d24cf942684b0be3c12838699ec6fe452697bd7f0a58eabbf316fb79b1b18cdb,max current P pixel AP among frozen candidates,SAME_EVALUATOR_SOURCE_HASH; legacy bridge bypass recorded where applicable,/home/ai4/caohuy/ACD-CLIP-cir-dfg-rmt-v2/research_artifacts/cir_rmt_v2/final_extension_anchor_e20_20260831/FINAL_MEDICAL_MATRIX.csv
